date;followers;following;fans
2013-04-17;9354;6328;3026
2013-04-18;9349;6326;3023
2013-04-19;9358;6327;3031
2013-04-20;9390;6279;3111
2013-04-21;9399;6279;3120
2013-04-22;9397;6279;3118
2013-04-23;9405;6278;3127
2013-04-24;9417;6276;3141
2013-04-26;9413;6276;3137
2013-04-27;9424;6277;3147
2013-04-28;9425;6277;3148
2013-04-29;9424;6275;3149
2013-04-30;9427;6274;3153
2013-05-01;9480;6418;3062
2013-05-02;9490;6418;3072
2013-05-03;9507;6416;3091
2013-05-04;9556;6469;3087
2013-05-06;9555;6469;3086
2013-05-07;9597;6550;3047
2013-05-08;9618;6549;3069
2013-05-09;9629;6548;3081
2013-05-10;9581;6502;3079
2013-05-11;9554;6548;3006
2013-05-12;9559;6547;3012
2013-05-13;9569;6547;3022
2013-05-15;9716;6819;2897
2013-05-16;9734;6820;2914
2013-05-17;9744;6829;2915
2013-05-18;9770;6844;2926
2013-05-19;9769;6846;2923
2013-05-20;9770;6847;2923
2013-05-21;9776;6845;2931
2013-05-22;9898;6912;2986
2013-05-24;9911;6909;3002
2013-05-25;9962;6904;3058
2013-05-26;9978;6903;3075
2013-05-27;9992;6904;3088
2013-05-28;10034;6901;3133
2013-05-29;10056;6903;3153
2013-05-30;10065;6903;3162
2013-05-31;10133;7519;2614
2013-06-01;10160;7518;2642
2013-06-03;10174;7519;2655
2013-06-04;10181;7519;2662
2013-06-05;10196;7516;2680
2013-06-06;10207;7515;2692
2013-06-07;10218;7516;2702
2013-06-08;10230;7514;2716
2013-06-09;10243;7511;2732
2013-06-10;10250;7512;2738
2013-06-20;10296;7500;2796
2013-06-21;10304;7500;2804
2013-06-22;10303;7499;2804
2013-06-23;10312;7499;2813
2013-06-24;10314;7498;2816
2013-06-25;10323;7498;2825
2013-06-26;10327;7497;2830
2013-06-27;10340;7499;2841
2013-06-29;10344;7495;2849
2013-06-30;10341;7493;2848
2013-07-01;10347;7490;2857
2013-07-02;10347;7488;2859
2013-07-03;10346;7488;2858
2013-07-04;10347;7488;2859
2013-07-05;10349;7489;2860
2013-07-06;10344;7487;2857
2013-07-07;10346;7486;2860
2013-07-08;10354;7486;2868
2013-07-10;10360;7487;2873
2013-07-11;10370;7486;2884
2013-07-12;10379;7486;2893
2013-07-13;10378;7486;2892
2013-07-14;10386;7485;2901
2013-07-15;10386;7485;2901
2013-07-16;10391;7485;2906
2013-07-17;10399;7484;2915
2013-07-18;10394;7482;2912
2013-07-20;10400;7482;2918
2013-07-21;10398;7481;2917
2013-07-22;10395;7481;2914
2013-07-23;10395;7481;2914
2013-07-24;10396;7481;2915
2013-07-25;10398;7480;2918
2013-07-26;10400;7475;2925
2013-07-27;10381;7460;2921
2013-07-29;10384;7458;2926
2013-07-30;10390;7465;2925
2013-07-31;10398;7465;2933
2013-08-01;10395;7465;2930
2013-08-02;10391;7466;2925
2013-08-03;10397;7464;2933
2013-08-04;10399;7465;2934
2013-08-06;10408;7465;2943
2013-08-07;10413;7467;2946
2013-08-08;10409;7468;2941
2013-08-09;10412;7468;2944
2013-08-10;10407;7468;2939
2013-08-11;10411;7467;2944
2013-08-12;10410;7466;2944
2013-08-13;10416;7468;2948
2013-08-15;10420;7468;2952
2013-08-16;10425;7469;2956
2013-08-17;10425;7467;2958
2013-08-18;10424;7468;2956
2013-08-19;10431;7467;2964
2013-08-20;10438;7466;2972
2013-08-22;10449;7467;2982
2013-08-23;10460;7467;2993
2013-08-24;10463;7467;2996
2013-08-25;10462;7462;3000
2013-08-26;10465;7461;3004
2013-08-27;10471;7459;3012
2013-08-28;10476;7459;3017
2013-08-30;10478;7459;3019
2013-08-31;10485;7458;3027
2013-09-01;10486;7458;3028
2013-09-02;10486;7459;3027
2013-09-03;10491;7458;3033
2013-09-04;10508;7460;3048
2013-09-06;10506;7459;3047
2013-09-07;10513;7458;3055
2013-09-08;10513;7457;3056
2013-09-09;10520;7456;3064
2013-09-10;10530;7458;3072
2013-09-11;10524;7457;3067
2013-09-13;10529;7457;3072
2013-09-14;10535;7456;3079
2013-09-15;10536;7456;3080
2013-09-16;10540;7456;3084
2013-09-17;10540;7458;3082
2013-09-18;10543;7455;3088
2013-09-19;10543;7455;3088
2013-09-21;10548;7453;3095
2013-09-22;10547;7450;3097
2013-09-23;10547;7449;3098
2013-09-24;10548;7447;3101
2013-09-25;10547;7446;3101
2013-09-27;10553;7443;3110
2013-09-28;10560;7446;3114
2013-09-29;10563;7445;3118
2013-09-30;10559;7445;3114
2013-10-01;10571;7443;3128
2013-10-02;10578;7441;3137
2013-10-04;10575;7443;3132
2013-10-05;10574;7442;3132
2013-10-06;10571;7441;3130
2013-10-07;10568;7440;3128
2013-10-09;10569;7441;3128
2013-10-10;10577;7440;3137
2013-10-11;10577;7440;3137
2013-10-12;10574;7439;3135
2013-10-13;10571;7439;3132
2013-10-15;10577;7439;3138
2013-10-16;10584;7439;3145
2013-10-17;10590;7438;3152
2013-10-18;10591;7438;3153
2013-10-19;10597;7438;3159
2013-10-20;10593;7438;3155
2013-10-22;10600;7437;3163
2013-10-23;10600;7437;3163
2013-10-24;10603;7434;3169
2013-10-25;10605;7434;3171
2013-10-27;10601;7430;3171
2013-10-28;10599;7430;3169
2013-10-29;10598;7431;3167
2013-10-30;10604;7431;3173
2013-10-31;10608;7430;3178
2013-11-01;10616;7431;3185
2013-11-03;10617;7429;3188
2013-11-04;10619;7429;3190
2013-11-05;10626;7428;3198
2013-11-06;10631;7427;3204
2013-11-07;10622;7423;3199
2013-11-09;10621;7423;3198
2013-11-10;10618;7419;3199
2013-11-11;10619;7418;3201
2013-11-12;10617;7420;3197
2013-11-14;10622;7419;3203
2013-11-15;10632;7416;3216
2013-11-16;10634;7417;3217
2013-11-17;10641;7417;3224
2013-11-19;10643;7417;3226
2013-11-20;10650;7415;3235
2013-11-21;10655;7415;3240
2013-11-22;10664;7411;3253
2013-11-24;10662;7409;3253
2013-11-25;10670;7409;3261
2013-11-26;10673;7409;3264
2013-11-27;10676;7407;3269
2013-11-29;10695;7409;3286
2013-11-30;10702;7410;3292
2013-12-01;10700;7409;3291
2013-12-02;10700;7407;3293
2013-12-03;10705;7409;3296
2013-12-05;10717;7407;3310
2013-12-06;10727;7409;3318
2013-12-07;10732;7409;3323
2013-12-08;10752;7409;3343
2013-12-10;10755;7410;3345
2013-12-11;10767;7410;3357
2013-12-12;10770;7408;3362
2013-12-13;10770;7409;3361
2013-12-15;10769;7409;3360
2013-12-16;10769;7408;3361
2013-12-17;10782;7409;3373
2013-12-18;10794;7409;3385
2013-12-20;10802;7408;3394
2013-12-21;10802;7404;3398
2013-12-22;10800;7404;3396
2013-12-23;10807;7401;3406
2013-12-25;10808;7402;3406
2013-12-26;10807;7402;3405
2013-12-27;10807;7402;3405
2013-12-28;10809;7402;3407
2013-12-30;10812;7402;3410
2013-12-31;10809;7400;3409
2014-01-01;10805;7400;3405
2014-01-02;10810;7399;3411
2014-01-04;10808;7400;3408
2014-01-05;10809;7398;3411
2014-01-06;10808;7400;3408
2014-01-08;10812;7398;3414
2014-01-09;10815;7399;3416
2014-01-10;10824;7397;3427
2014-01-11;10833;7398;3435
2014-01-13;10832;7398;3434
2014-01-14;10831;7397;3434
2014-01-15;10827;7394;3433
