date;followers;following;fans
2013-08-19;112281;72;112209
2013-08-20;112108;75;112033
2013-08-21;111901;74;111827
2013-08-22;111708;75;111633
2013-08-23;111584;75;111509
2013-08-24;111281;76;111205
2013-08-25;110905;78;110827
2013-08-26;110748;79;110669
2013-08-27;110649;81;110568
2013-08-28;110518;83;110435
2013-08-29;110380;86;110294
2013-08-30;110297;93;110204
2013-08-31;110217;93;110124
2013-09-01;110072;97;109975
2013-09-02;109926;106;109820
2013-09-03;109811;107;109704
2013-09-04;109609;109;109500
2013-09-05;109516;109;109407
2013-09-06;109283;111;109172
2013-09-07;109082;112;108970
2013-09-08;108825;115;108710
2013-09-09;108728;117;108611
2013-09-10;108604;118;108486
2013-09-11;108386;120;108266
2013-09-12;108230;121;108109
2013-09-13;108184;121;108063
2013-09-14;108102;121;107981
2013-09-15;108062;121;107941
2013-09-16;107967;121;107846
2013-09-17;107848;122;107726
2013-09-18;107801;123;107678
2013-09-19;107643;123;107520
2013-09-20;107535;123;107412
2013-09-21;107478;125;107353
2013-09-22;107413;125;107288
2013-09-23;107205;126;107079
2013-09-24;107137;126;107011
2013-09-25;107078;126;106952
2013-09-26;107031;126;106905
2013-09-27;106976;126;106850
2013-09-28;106908;126;106782
2013-09-29;106765;128;106637
2013-09-30;106628;129;106499
2013-10-01;106412;130;106282
2013-10-02;106296;130;106166
2013-10-03;106236;130;106106
2013-10-04;106127;130;105997
2013-10-05;106034;131;105903
2013-10-06;105957;131;105826
2013-10-07;105858;131;105727
2013-10-08;105776;131;105645
2013-10-09;105702;132;105570
2013-10-10;105599;134;105465
2013-10-11;105535;141;105394
2013-10-12;105450;143;105307
2013-10-13;105366;143;105223
2013-10-14;105269;142;105127
2013-10-15;105217;142;105075
2013-10-16;105189;143;105046
2013-10-17;105113;141;104972
2013-10-18;105025;142;104883
2013-10-19;104934;145;104789
2013-10-20;104851;145;104706
2013-10-21;104771;146;104625
2013-10-22;104715;149;104566
2013-10-23;104625;150;104475
2013-10-24;104489;150;104339
2013-10-25;104415;150;104265
2013-10-26;104289;152;104137
2013-10-27;104248;152;104096
2013-10-28;104178;153;104025
