date;followers;following;fans
2013-04-17;4194;635;3559
2013-04-18;4196;635;3561
2013-04-19;4200;635;3565
2013-04-20;4201;636;3565
2013-04-21;4204;636;3568
2013-04-22;4207;636;3571
2013-04-23;4211;636;3575
2013-04-24;4216;637;3579
2013-04-25;4226;638;3588
2013-04-27;4227;639;3588
2013-04-28;4226;639;3587
2013-04-29;4228;639;3589
2013-04-30;4232;639;3593
2013-05-01;4239;639;3600
2013-05-02;4243;639;3604
2013-05-03;4242;641;3601
2013-05-04;4240;641;3599
2013-05-05;4233;641;3592
2013-05-07;4235;641;3594
2013-05-08;4238;641;3597
2013-05-09;4242;641;3601
2013-05-10;4243;641;3602
2013-05-11;4241;641;3600
2013-05-12;4243;641;3602
2013-05-13;4244;641;3603
2013-05-14;4248;641;3607
2013-05-15;4260;641;3619
2013-05-17;4262;641;3621
2013-05-18;4270;641;3629
2013-05-19;4272;641;3631
2013-05-20;4278;641;3637
2013-05-21;4278;641;3637
2013-05-22;4282;642;3640
2013-05-23;4282;642;3640
2013-05-24;4284;642;3642
2013-05-25;4287;642;3645
2013-05-26;4293;642;3651
2013-05-28;4301;642;3659
2013-05-29;4304;642;3662
2013-05-30;4308;642;3666
2013-05-31;4310;644;3666
2013-06-01;4309;646;3663
2013-06-02;4307;646;3661
2013-06-03;4308;646;3662
2013-06-04;4314;646;3668
2013-06-06;4315;646;3669
2013-06-07;4316;646;3670
2013-06-08;4320;646;3674
2013-06-09;4319;646;3673
2013-06-10;4321;646;3675
2013-06-11;4323;646;3677
2013-06-20;4348;649;3699
2013-06-21;4351;652;3699
2013-06-22;4353;652;3701
2013-06-23;4354;652;3702
2013-06-24;4356;652;3704
2013-06-26;4361;652;3709
2013-06-27;4364;652;3712
2013-06-28;4367;652;3715
2013-06-29;4365;652;3713
2013-06-30;4365;652;3713
2013-07-01;4368;652;3716
2013-07-02;4371;652;3719
2013-07-04;4374;652;3722
2013-07-05;4377;652;3725
2013-07-06;4382;652;3730
2013-07-07;4386;652;3734
2013-07-08;4386;652;3734
2013-07-09;4388;652;3736
2013-07-10;4389;652;3737
2013-07-11;4390;652;3738
2013-07-13;4394;653;3741
2013-07-14;4396;653;3743
2013-07-15;4400;653;3747
2013-07-16;4401;654;3747
2013-07-17;4405;654;3751
2013-07-18;4407;654;3753
2013-07-19;4409;654;3755
2013-07-20;4410;654;3756
2013-07-21;4410;654;3756
2013-07-23;4411;655;3756
2013-07-24;4416;655;3761
2013-07-25;4424;655;3769
2013-07-26;4424;655;3769
2013-07-27;4423;655;3768
