date;followers;following;fans
2013-04-18;11581;5882;5699
2013-04-20;11583;5876;5707
2013-04-21;11598;5878;5720
2013-04-22;11602;5879;5723
2013-04-23;11608;5878;5730
2013-04-25;11610;5881;5729
2013-04-26;11618;5884;5734
2013-04-27;11623;5885;5738
2013-04-28;11631;5885;5746
2013-04-29;11572;4141;7431
2013-05-01;11557;4142;7415
2013-05-02;11554;4146;7408
2013-05-03;11558;4146;7412
2013-05-04;11556;4114;7442
2013-05-06;11552;4117;7435
2013-05-07;11555;4108;7447
2013-05-08;11551;4108;7443
2013-05-09;11546;4108;7438
2013-05-11;11520;4099;7421
2013-05-12;11520;4101;7419
2013-05-13;11522;4102;7420
2013-05-14;11527;4108;7419
2013-05-15;11537;4110;7427
2013-05-16;11535;4109;7426
2013-05-17;11542;4111;7431
2013-05-18;11552;4113;7439
2013-05-19;11548;4113;7435
2013-05-20;11553;4113;7440
2013-05-21;11553;4115;7438
2013-05-22;11557;4115;7442
2013-05-23;11554;4112;7442
2013-05-24;11546;4110;7436
2013-05-25;11546;4109;7437
2013-05-26;11546;4111;7435
2013-05-27;11550;4113;7437
2013-05-28;11551;4113;7438
2013-05-29;11562;4126;7436
2013-05-30;11561;4128;7433
2013-05-31;11565;4128;7437
2013-06-01;11569;4129;7440
2013-06-02;11567;4135;7432
2013-06-03;11570;4136;7434
2013-06-04;11571;4137;7434
2013-06-05;11572;4137;7435
2013-06-06;11572;4139;7433
2013-06-07;11568;4151;7417
2013-06-08;11578;4157;7421
2013-06-09;11570;4162;7408
2013-06-10;11576;4163;7413
2013-06-11;11575;4165;7410
2013-06-20;11570;4185;7385
2013-06-21;11569;4198;7371
2013-06-22;11575;4205;7370
2013-06-23;11578;4205;7373
2013-06-24;11582;4201;7381
2013-06-25;11583;4202;7381
2013-06-26;11585;4215;7370
2013-06-27;11582;4216;7366
2013-06-28;11582;4218;7364
2013-06-29;11577;4218;7359
2013-06-30;11579;4230;7349
2013-07-02;11576;4231;7345
2013-07-03;11571;4231;7340
2013-07-04;11568;4231;7337
2013-07-05;11571;4232;7339
2013-07-06;11574;4233;7341
2013-07-07;11572;4234;7338
2013-07-08;11571;4228;7343
2013-07-10;11568;4231;7337
2013-07-11;11572;4239;7333
2013-07-12;11573;4238;7335
2013-07-13;11577;4248;7329
2013-07-14;11573;4249;7324
2013-07-15;11576;4251;7325
2013-07-16;11582;4255;7327
2013-07-17;11584;4258;7326
2013-07-18;11583;4260;7323
2013-07-19;11600;4272;7328
2013-07-20;11604;4285;7319
2013-07-21;11612;4309;7303
2013-07-22;11619;4311;7308
2013-07-23;11612;4311;7301
2013-07-24;11612;4314;7298
2013-07-25;11619;4316;7303
2013-07-26;11622;4322;7300
2013-07-27;11615;4320;7295
2013-07-28;11615;4317;7298
2013-07-29;11615;4316;7299
2013-07-30;11617;4317;7300
2013-07-31;11622;4317;7305
2013-08-01;11627;4317;7310
2013-08-02;11628;4318;7310
2013-08-03;11626;4317;7309
2013-08-04;11625;4317;7308
2013-08-05;11621;4316;7305
2013-08-06;11620;4316;7304
2013-08-07;11620;4317;7303
2013-08-08;11611;4316;7295
2013-08-09;11613;4317;7296
2013-08-10;11617;4317;7300
2013-08-11;11618;4317;7301
2013-08-12;11620;4317;7303
2013-08-13;11618;4318;7300
2013-08-14;11618;4317;7301
2013-08-15;11618;4316;7302
2013-08-16;11619;4316;7303
2013-08-17;11619;4316;7303
2013-08-18;11621;4316;7305
2013-08-19;11625;4316;7309
2013-08-20;11629;4317;7312
2013-08-21;11627;4317;7310
2013-08-22;11632;4317;7315
2013-08-23;11638;4317;7321
2013-08-24;11638;4318;7320
2013-08-25;11641;4318;7323
2013-08-26;11641;4318;7323
2013-08-27;11643;4318;7325
2013-08-28;11644;4317;7327
2013-08-29;11645;4316;7329
2013-08-30;11644;4316;7328
2013-08-31;11644;4316;7328
2013-09-01;11649;4318;7331
2013-09-02;11646;4319;7327
2013-09-03;11645;4325;7320
2013-09-04;11646;4325;7321
2013-09-05;11648;4327;7321
2013-09-06;11647;4329;7318
2013-09-07;11650;4334;7316
2013-09-08;11642;4330;7312
2013-09-09;11646;4333;7313
2013-09-10;11650;4335;7315
2013-09-11;11647;4336;7311
2013-09-12;11649;4336;7313
2013-09-13;11652;4341;7311
2013-09-14;11654;4344;7310
2013-09-15;11664;4363;7301
2013-09-16;11667;4367;7300
2013-09-17;11674;4372;7302
2013-09-18;11671;4372;7299
2013-09-19;11675;4370;7305
2013-09-20;11678;4373;7305
2013-09-21;11676;4376;7300
2013-09-22;11682;4380;7302
2013-09-23;11680;4388;7292
2013-09-24;11686;4389;7297
2013-09-25;11689;4390;7299
2013-09-26;11690;4394;7296
2013-09-27;11698;4400;7298
2013-09-28;11705;4400;7305
2013-09-29;11708;4404;7304
2013-10-01;11718;4410;7308
2013-10-02;11719;4410;7309
2013-10-03;11714;4412;7302
2013-10-04;11716;4416;7300
2013-10-05;11720;4419;7301
2013-10-06;11725;4425;7300
2013-10-07;11725;4426;7299
2013-10-08;11725;4429;7296
2013-10-09;11724;4429;7295
2013-10-10;11725;4431;7294
2013-10-11;11726;4431;7295
2013-10-12;11728;4433;7295
2013-10-13;11729;4440;7289
2013-10-14;11733;4443;7290
