date;followers;following;fans
2013-07-01;1370;369;1001
2013-07-03;1383;375;1008
2013-07-05;1408;361;1047
2013-07-07;1441;364;1077
2013-07-09;1441;363;1078
2013-07-11;1434;362;1072
2013-07-13;1446;364;1082
2013-07-15;1465;367;1098
2013-07-16;1474;367;1107
2013-07-19;1488;366;1122
2013-07-21;1502;366;1136
2013-07-23;1510;366;1144
2013-07-25;1515;367;1148
2013-07-27;1530;355;1175
2013-07-29;1539;357;1182
2013-07-31;1546;357;1189
2013-08-02;1558;356;1202
2013-08-03;1569;356;1213
2013-08-06;1582;356;1226
2013-08-08;1590;359;1231
2013-08-10;1595;359;1236
2013-08-12;1611;359;1252
2013-08-14;1632;358;1274
2013-08-16;1657;362;1295
2013-08-18;1659;360;1299
2013-08-20;1665;362;1303
2013-08-22;1681;359;1322
2013-08-24;1680;361;1319
2013-08-26;1681;360;1321
2013-08-28;1681;360;1321
2013-08-30;1684;360;1324
2013-09-01;1680;360;1320
2013-09-03;1683;358;1325
2013-09-05;1685;357;1328
2013-09-07;1688;356;1332
2013-09-09;1692;356;1336
2013-09-11;1693;355;1338
2013-09-13;1688;351;1337
2013-09-15;1686;350;1336
2013-09-17;1696;352;1344
2013-09-19;1697;352;1345
2013-09-21;1700;352;1348
2013-09-23;1695;351;1344
2013-09-25;1695;351;1344
2013-09-27;1695;351;1344
2013-09-29;1695;351;1344
2013-10-01;1696;352;1344
2013-10-03;1693;350;1343
2013-10-05;1685;349;1336
2013-10-07;1678;349;1329
2013-10-09;1681;349;1332
2013-10-11;1679;350;1329
2013-10-13;1681;347;1334
2013-10-15;1685;347;1338
2013-10-17;1687;349;1338
2013-10-19;1685;348;1337
2013-10-21;1688;349;1339
2013-10-23;1690;347;1343
2013-10-25;1696;348;1348
2013-10-27;1696;349;1347
2013-10-28;1702;349;1353
2013-10-31;1698;349;1349
2013-11-01;1699;349;1350
2013-11-04;1699;348;1351
2013-11-06;1700;348;1352
2013-11-08;1706;348;1358
2013-11-10;1702;347;1355
2013-11-12;1701;347;1354
2013-11-14;1696;345;1351
2013-11-16;1701;346;1355
2013-11-18;1700;346;1354
2013-11-19;1698;344;1354
2013-11-21;1701;345;1356
2013-11-23;1698;345;1353
2013-11-26;1706;346;1360
2013-11-28;1709;345;1364
2013-11-30;1714;346;1368
2013-12-02;1712;346;1366
2013-12-04;1716;344;1372
2013-12-06;1713;344;1369
2013-12-08;1717;345;1372
2013-12-10;1712;346;1366
2013-12-12;1712;347;1365
2013-12-14;1715;347;1368
2013-12-16;1717;347;1370
2013-12-18;1714;347;1367
2013-12-20;1728;347;1381
2013-12-22;1731;347;1384
2013-12-24;1736;347;1389
2013-12-26;1736;346;1390
2013-12-28;1741;347;1394
2013-12-30;1750;346;1404
2014-01-01;1771;345;1426
2014-01-03;1778;346;1432
2014-01-05;1787;345;1442
2014-01-07;1795;346;1449
2014-01-09;1801;345;1456
2014-01-11;1803;325;1478
2014-01-13;1813;325;1488
2014-01-15;1829;327;1502
2014-01-17;1826;327;1499
2014-01-19;1830;327;1503
2014-01-21;1844;327;1517
2014-01-23;1846;326;1520
2014-01-25;1862;329;1533
2014-01-26;1867;328;1539
2014-01-29;1886;329;1557
2014-02-01;1910;331;1579
2014-02-03;1925;333;1592
2014-02-04;1944;328;1616
2014-02-07;1943;327;1616
2014-02-09;1961;325;1636
2014-02-11;1981;325;1656
2014-02-13;1979;323;1656
2014-02-15;2000;322;1678
2014-02-17;2004;322;1682
2014-02-19;2001;322;1679
2014-02-21;2008;321;1687
2014-02-23;2003;322;1681
2014-02-25;2008;323;1685
2014-02-27;2014;322;1692
2014-03-01;2030;323;1707
2014-03-03;2061;323;1738
2014-03-05;2076;322;1754
2014-03-07;2079;322;1757
2014-03-09;2100;323;1777
2014-03-11;2110;324;1786
2014-03-13;2116;324;1792
2014-03-15;2120;323;1797
2014-03-17;2122;323;1799
2014-03-19;2122;324;1798
2014-03-21;2125;325;1800
2014-03-23;2125;325;1800
2014-03-25;2119;323;1796
2014-03-27;2114;323;1791
2014-03-29;2109;323;1786
2014-03-31;2114;322;1792
2014-04-02;2113;322;1791
2014-04-04;2113;323;1790
2014-04-06;2112;323;1789
2014-04-08;2110;323;1787
2014-04-10;2110;322;1788
2014-04-12;2110;322;1788
2014-04-14;2106;322;1784
2014-04-16;2108;322;1786
2014-04-18;2110;323;1787
2014-04-20;2104;324;1780
2014-04-22;2100;323;1777
2014-04-24;2099;323;1776
2014-04-26;2095;324;1771
2014-04-28;2089;324;1765
2014-04-30;2090;322;1768
2014-05-02;2086;321;1765
2014-05-04;2082;321;1761
