date;followers;following;fans
2013-04-18;7188;1377;5811
2013-04-20;7185;1378;5807
2013-04-22;7186;1379;5807
2013-04-23;7181;1382;5799
2013-04-25;7176;1389;5787
2013-04-26;7178;1389;5789
2013-04-27;7176;1389;5787
2013-04-28;7173;1388;5785
2013-04-29;7191;1582;5609
2013-05-01;7228;1585;5643
2013-05-02;7229;1585;5644
2013-05-03;7233;1585;5648
2013-05-05;7238;1388;5850
2013-05-06;7237;1093;6144
2013-05-07;7242;1097;6145
2013-05-08;7255;1217;6038
2013-05-09;7255;1217;6038
2013-05-11;7222;1217;6005
2013-05-12;7221;1217;6004
2013-05-13;7223;1218;6005
2013-05-14;7239;1219;6020
2013-05-15;7243;1219;6024
2013-05-16;7244;1221;6023
2013-05-17;7248;1222;6026
2013-05-18;7252;1224;6028
2013-05-19;7249;1224;6025
2013-05-20;7251;1224;6027
2013-05-21;7243;1224;6019
2013-05-22;7245;1224;6021
2013-05-23;7246;1224;6022
2013-05-24;7243;1223;6020
2013-05-25;7244;1224;6020
2013-05-26;7244;1225;6019
2013-05-27;7241;1228;6013
2013-05-28;7241;1228;6013
2013-05-29;7243;1228;6015
2013-05-30;7238;1229;6009
2013-05-31;7232;1229;6003
2013-06-01;7231;1229;6002
2013-06-02;7231;1229;6002
2013-06-03;7229;1229;6000
2013-06-04;7231;1229;6002
2013-06-05;7237;1230;6007
2013-06-06;7236;1230;6006
2013-06-07;7236;1230;6006
2013-06-08;7238;1230;6008
2013-06-09;7237;1230;6007
2013-06-10;7236;1229;6007
2013-06-11;7254;1579;5675
2013-06-20;7255;1180;6075
2013-06-21;7259;1180;6079
2013-06-22;7264;1182;6082
2013-06-23;7265;1182;6083
2013-06-24;7264;1182;6082
2013-06-25;7259;1183;6076
2013-06-26;7259;1183;6076
2013-06-27;7260;1187;6073
2013-06-28;7257;1187;6070
2013-06-29;7255;1187;6068
2013-06-30;7255;1187;6068
2013-07-01;7253;1186;6067
2013-07-02;7255;1186;6069
2013-07-03;7254;1186;6068
2013-07-04;7251;1186;6065
2013-07-05;7251;1186;6065
2013-07-06;7252;1186;6066
2013-07-07;7248;1186;6062
2013-07-08;7247;1185;6062
2013-07-10;7246;1186;6060
2013-07-11;7246;1188;6058
2013-07-12;7255;1188;6067
2013-07-13;7259;1188;6071
2013-07-14;7260;1189;6071
2013-07-15;7261;1191;6070
2013-07-16;7260;1191;6069
2013-07-17;7261;1191;6070
2013-07-18;7262;1191;6071
2013-07-19;7259;1193;6066
2013-07-20;7257;1193;6064
2013-07-21;7255;1193;6062
2013-07-22;7252;1194;6058
2013-07-23;7254;1195;6059
2013-07-24;7253;1195;6058
2013-07-25;7249;1195;6054
2013-07-26;7246;1196;6050
2013-07-27;7237;1196;6041
2013-07-28;7232;1196;6036
2013-07-29;7230;1197;6033
2013-07-30;7229;1198;6031
2013-07-31;7230;1199;6031
2013-08-01;7230;1200;6030
2013-08-02;7230;1200;6030
2013-08-03;7231;1200;6031
2013-08-04;7233;1200;6033
2013-08-05;7233;1200;6033
2013-08-06;7234;1202;6032
2013-08-07;7229;1202;6027
2013-08-08;7229;1202;6027
2013-08-09;7226;1201;6025
2013-08-10;7226;1201;6025
2013-08-11;7227;1203;6024
2013-08-12;7223;1203;6020
2013-08-13;7218;1204;6014
2013-08-14;7216;1206;6010
2013-08-15;7216;1207;6009
2013-08-16;7214;1211;6003
2013-08-17;7215;1211;6004
2013-08-18;7214;1212;6002
2013-08-19;7216;1215;6001
