date;followers;following;fans
2013-04-18;2372;555;1817
2013-04-20;2375;555;1820
2013-04-22;2372;555;1817
2013-04-24;2371;555;1816
2013-04-26;2366;552;1814
2013-04-28;2368;552;1816
2013-04-30;2370;552;1818
2013-05-02;2370;551;1819
2013-05-04;2371;551;1820
2013-05-06;2372;551;1821
2013-05-08;2372;551;1821
2013-05-10;2372;551;1821
2013-05-12;2373;551;1822
2013-05-14;2372;551;1821
2013-05-16;2372;551;1821
2013-05-18;2372;551;1821
2013-05-20;2377;551;1826
2013-05-22;2375;550;1825
2013-05-24;2373;550;1823
2013-05-26;2373;550;1823
2013-05-28;2378;550;1828
2013-05-30;2379;550;1829
2013-06-01;2380;550;1830
2013-06-03;2382;549;1833
2013-06-05;2382;549;1833
2013-06-07;2385;549;1836
2013-06-09;2385;549;1836
2013-06-11;2382;549;1833
2013-06-20;2382;549;1833
2013-06-22;2378;549;1829
2013-06-24;2376;549;1827
2013-06-26;2374;549;1825
2013-06-28;2376;549;1827
2013-06-30;2373;549;1824
2013-07-02;2372;549;1823
2013-07-04;2368;549;1819
2013-07-06;2364;549;1815
2013-07-08;2359;549;1810
2013-07-10;2357;549;1808
2013-07-12;2354;549;1805
2013-07-14;2355;549;1806
2013-07-16;2352;549;1803
2013-07-18;2353;549;1804
2013-07-20;2354;549;1805
2013-07-22;2352;548;1804
2013-07-24;2352;548;1804
2013-07-26;2353;549;1804
2013-07-28;2354;548;1806
2013-07-30;2353;549;1804
2013-08-01;2352;549;1803
2013-08-03;2352;549;1803
2013-08-05;2350;549;1801
2013-08-07;2350;549;1801
2013-08-09;2349;549;1800
2013-08-11;2348;549;1799
2013-08-13;2345;549;1796
2013-08-15;2344;549;1795
2013-08-17;2346;548;1798
2013-08-19;2351;548;1803
2013-08-21;2346;548;1798
2013-08-23;2344;548;1796
2013-08-25;2341;548;1793
2013-08-27;2341;548;1793
2013-08-29;2341;548;1793
2013-08-31;2342;548;1794
2013-09-02;2341;547;1794
2013-09-04;2342;547;1795
2013-09-06;2342;547;1795
2013-09-08;2339;546;1793
2013-09-10;2338;545;1793
2013-09-12;2339;545;1794
2013-09-14;2340;545;1795
2013-09-16;2343;545;1798
2013-09-18;2340;543;1797
2013-09-20;2339;543;1796
2013-09-22;2341;543;1798
2013-09-24;2342;543;1799
2013-09-26;2341;542;1799
2013-09-28;2342;542;1800
2013-09-30;2342;542;1800
2013-10-02;2344;542;1802
2013-10-04;2343;542;1801
2013-10-06;2347;542;1805
2013-10-08;2346;542;1804
2013-10-10;2348;541;1807
2013-10-12;2349;540;1809
2013-10-14;2347;541;1806
2013-10-16;2344;541;1803
2013-10-18;2345;540;1805
2013-10-20;2345;540;1805
2013-10-22;2346;540;1806
2013-10-24;2346;539;1807
2013-10-26;2345;539;1806
2013-10-28;2347;539;1808
2013-10-30;2345;539;1806
2013-11-01;2344;539;1805
2013-11-03;2345;539;1806
2013-11-05;2344;537;1807
2013-11-07;2344;537;1807
2013-11-09;2341;537;1804
2013-11-11;2340;537;1803
2013-11-13;2339;536;1803
2013-11-15;2341;536;1805
2013-11-17;2342;536;1806
2013-11-19;2340;536;1804
2013-11-21;2337;536;1801
2013-11-23;2332;536;1796
2013-11-25;2326;536;1790
2013-11-27;2324;536;1788
2013-11-29;2324;536;1788
2013-12-01;2323;536;1787
2013-12-03;2324;536;1788
2013-12-05;2324;536;1788
2013-12-07;2324;536;1788
2013-12-09;2323;536;1787
2013-12-11;2323;536;1787
2013-12-13;2321;536;1785
2013-12-15;2321;536;1785
2013-12-17;2318;536;1782
2013-12-19;2318;536;1782
2013-12-21;2321;536;1785
2013-12-23;2322;536;1786
2013-12-25;2325;536;1789
2013-12-27;2325;536;1789
2013-12-29;2324;535;1789
2013-12-31;2324;535;1789
2014-01-02;2322;535;1787
2014-01-04;2320;535;1785
2014-01-06;2322;535;1787
2014-01-08;2320;535;1785
2014-01-10;2319;535;1784
2014-01-12;2317;535;1782
2014-01-14;2317;535;1782
2014-01-16;2318;535;1783
2014-01-18;2318;535;1783
2014-01-20;2317;535;1782
2014-01-22;2318;535;1783
2014-01-24;2318;535;1783
2014-01-26;2317;535;1782
2014-01-28;2317;534;1783
2014-01-30;2317;534;1783
2014-02-01;2317;534;1783
2014-02-03;2319;534;1785
2014-02-05;2319;534;1785
2014-02-07;2316;534;1782
2014-02-09;2313;534;1779
2014-02-11;2310;534;1776
2014-02-13;2307;533;1774
2014-02-15;2306;533;1773
2014-02-17;2306;533;1773
2014-02-19;2306;533;1773
2014-02-21;2308;533;1775
2014-02-23;2312;533;1779
2014-02-25;2314;533;1781
2014-02-27;2313;533;1780
2014-03-01;2309;533;1776
2014-03-03;2308;533;1775
2014-03-05;2307;533;1774
2014-03-07;2306;533;1773
2014-03-09;2306;533;1773
2014-03-11;2305;532;1773
2014-03-13;2305;532;1773
2014-03-15;2302;532;1770
2014-03-17;2299;532;1767
2014-03-19;2299;532;1767
2014-03-21;2299;532;1767
2014-03-23;2297;532;1765
2014-03-25;2297;532;1765
2014-03-27;2296;532;1764
2014-03-29;2295;532;1763
2014-03-31;2294;532;1762
2014-04-02;2293;532;1761
2014-04-04;2292;532;1760
2014-04-06;2290;531;1759
2014-04-08;2289;531;1758
2014-04-10;2288;531;1757
2014-04-12;2289;531;1758
2014-04-14;2287;531;1756
2014-04-16;2291;531;1760
2014-04-18;2293;531;1762
2014-04-20;2294;531;1763
2014-04-22;2296;531;1765
2014-04-24;2295;531;1764
2014-04-26;2294;530;1764
2014-04-28;2294;529;1765
2014-04-30;2292;529;1763
2014-05-02;2293;529;1764
2014-05-04;2293;529;1764
