date;followers;following;fans
2013-09-13;4497;283;4214
2013-09-14;4509;283;4226
2013-09-15;4522;283;4239
2013-09-16;4534;283;4251
2013-09-17;4546;283;4263
2013-09-18;4564;283;4281
2013-09-20;4573;283;4290
2013-09-21;4579;283;4296
2013-09-22;4587;283;4304
2013-09-23;4596;283;4313
2013-09-24;4605;283;4322
2013-09-25;4611;283;4328
2013-09-27;4623;283;4340
2013-09-28;4631;283;4348
2013-09-29;4636;283;4353
2013-09-30;4640;283;4357
2013-10-01;4653;283;4370
2013-10-02;4662;284;4378
2013-10-04;4667;283;4384
2013-10-05;4676;283;4393
2013-10-06;4698;283;4415
2013-10-07;4711;283;4428
2013-10-09;4733;283;4450
2013-10-10;4743;283;4460
2013-10-11;4755;283;4472
2013-10-12;4776;288;4488
2013-10-13;4793;292;4501
2013-10-15;4809;295;4514
2013-10-16;4823;295;4528
2013-10-17;4835;295;4540
2013-10-18;4851;296;4555
2013-10-19;4862;296;4566
2013-10-21;4874;296;4578
2013-10-22;4886;296;4590
2013-10-23;4904;300;4604
2013-10-24;4921;300;4621
2013-10-26;4953;300;4653
2013-10-27;4969;303;4666
2013-10-28;4981;303;4678
2013-10-29;4988;304;4684
2013-10-30;5005;304;4701
2013-10-31;5031;304;4727
2013-11-02;5035;305;4730
2013-11-03;5041;305;4736
2013-11-04;5052;306;4746
2013-11-05;5073;307;4766
2013-11-06;5086;307;4779
2013-11-08;5093;307;4786
2013-11-09;5110;307;4803
2013-11-10;5120;308;4812
2013-11-11;5129;308;4821
2013-11-12;5152;307;4845
2013-11-14;5173;307;4866
2013-11-15;5186;307;4879
2013-11-16;5199;308;4891
2013-11-17;5226;308;4918
2013-11-19;5246;308;4938
2013-11-20;5268;309;4959
2013-11-21;5277;309;4968
2013-11-22;5307;309;4998
2013-11-24;5325;309;5016
2013-11-25;5339;309;5030
2013-11-26;5352;309;5043
2013-11-27;5375;309;5066
2013-11-28;5392;309;5083
2013-11-29;5404;309;5095
2013-11-30;5424;309;5115
2013-12-01;5438;309;5129
2013-12-02;5448;309;5139
2013-12-03;5454;309;5145
2013-12-04;5458;309;5149
2013-12-05;5480;309;5171
2013-12-06;5486;309;5177
2013-12-07;5501;310;5191
2013-12-08;5518;310;5208
2013-12-09;5532;310;5222
2013-12-10;5549;310;5239
2013-12-11;5561;310;5251
2013-12-12;5574;310;5264
2013-12-13;5583;310;5273
2013-12-14;5598;310;5288
2013-12-15;5603;310;5293
2013-12-16;5613;310;5303
2013-12-17;5625;310;5315
2013-12-18;5631;310;5321
2013-12-19;5639;309;5330
2013-12-20;5652;311;5341
2013-12-21;5671;311;5360
2013-12-22;5676;311;5365
2013-12-23;5688;311;5377
2013-12-24;5698;311;5387
2013-12-25;5710;311;5399
2013-12-26;5716;311;5405
2013-12-27;5728;310;5418
2013-12-28;5734;309;5425
2013-12-29;5739;309;5430
2013-12-30;5750;309;5441
2013-12-31;5768;309;5459
2014-01-01;5787;309;5478
2014-01-02;5790;309;5481
2014-01-03;5807;310;5497
2014-01-04;5822;310;5512
2014-01-05;5846;312;5534
2014-01-06;5862;312;5550
2014-01-07;5873;312;5561
2014-01-08;5888;312;5576
2014-01-09;5901;312;5589
2014-01-10;5917;312;5605
2014-01-11;5927;312;5615
2014-01-12;5941;312;5629
2014-01-13;5954;312;5642
2014-01-14;5965;312;5653
2014-01-15;5973;312;5661
2014-01-16;5987;312;5675
2014-01-17;5999;314;5685
2014-01-18;6000;314;5686
2014-01-19;6005;313;5692
2014-01-20;6021;313;5708
2014-01-21;6034;313;5721
2014-01-22;6042;313;5729
2014-01-23;6048;313;5735
2014-01-24;6058;313;5745
2014-01-25;6065;313;5752
2014-01-26;6073;313;5760
