date;followers;following;fans
2013-04-17;2439;104;2335
2013-04-19;2445;104;2341
2013-04-22;2446;104;2342
2013-04-24;2460;106;2354
2013-04-26;2463;106;2357
2013-04-28;2465;107;2358
2013-04-30;2470;107;2363
2013-05-02;2473;107;2366
2013-05-04;2476;107;2369
2013-05-06;2480;107;2373
2013-05-08;2478;107;2371
2013-05-10;2483;107;2376
2013-05-12;2484;107;2377
2013-05-14;2495;110;2385
2013-05-16;2507;116;2391
2013-05-18;2514;117;2397
2013-05-20;2519;117;2402
2013-05-22;2534;116;2418
2013-05-24;2538;116;2422
2013-05-26;2544;116;2428
2013-05-28;2551;116;2435
2013-05-30;2575;116;2459
2013-06-01;2581;116;2465
2013-06-03;2589;116;2473
2013-06-05;2598;116;2482
2013-06-07;2604;117;2487
2013-06-09;2612;117;2495
2013-06-11;2616;117;2499
2013-06-20;2641;117;2524
2013-06-21;2645;117;2528
2013-06-22;2647;117;2530
2013-06-23;2647;118;2529
2013-06-25;2655;118;2537
2013-06-26;2660;118;2542
2013-06-27;2665;118;2547
2013-06-28;2665;118;2547
2013-06-29;2668;118;2550
2013-06-30;2671;118;2553
2013-07-01;2676;118;2558
2013-07-02;2680;120;2560
2013-07-04;2677;120;2557
2013-07-05;2682;120;2562
2013-07-06;2685;120;2565
2013-07-07;2685;120;2565
2013-07-08;2688;120;2568
2013-07-09;2690;120;2570
2013-07-10;2693;120;2573
2013-07-11;2697;120;2577
2013-07-13;2701;120;2581
2013-07-14;2700;120;2580
2013-07-15;2703;120;2583
2013-07-16;2705;120;2585
2013-07-17;2708;120;2588
2013-07-18;2713;120;2593
2013-07-19;2715;120;2595
2013-07-20;2717;120;2597
2013-07-22;2717;120;2597
2013-07-23;2717;120;2597
2013-07-24;2717;120;2597
2013-07-25;2720;120;2600
2013-07-26;2721;120;2601
2013-07-27;2721;120;2601
2013-07-28;2724;120;2604
2013-07-30;2723;120;2603
2013-07-31;2724;120;2604
2013-08-01;2722;120;2602
2013-08-02;2726;120;2606
2013-08-03;2728;120;2608
2013-08-04;2730;120;2610
2013-08-05;2733;120;2613
2013-08-06;2733;120;2613
2013-08-08;2734;120;2614
2013-08-09;2734;120;2614
