date;followers;following;fans
2013-04-17;2953;120;2833
2013-04-18;2955;120;2835
2013-04-19;2955;120;2835
2013-04-20;2957;120;2837
2013-04-21;2961;120;2841
2013-04-22;2968;120;2848
2013-04-23;2972;120;2852
2013-04-24;2982;120;2862
2013-04-25;2985;120;2865
2013-04-26;2988;120;2868
2013-04-28;2989;120;2869
2013-04-29;2999;119;2880
2013-04-30;3004;119;2885
2013-05-01;3006;119;2887
2013-05-02;3008;119;2889
2013-05-03;3010;119;2891
2013-05-04;3009;119;2890
2013-05-05;3012;119;2893
2013-05-06;3013;119;2894
2013-05-08;3015;119;2896
2013-05-09;3018;119;2899
2013-05-10;3011;119;2892
2013-05-11;3011;119;2892
2013-05-12;3017;119;2898
2013-05-13;3019;119;2900
2013-05-14;3026;119;2907
2013-05-15;3034;119;2915
2013-05-16;3040;119;2921
2013-05-18;3046;119;2927
2013-05-19;3051;119;2932
2013-05-20;3051;119;2932
2013-05-21;3053;119;2934
2013-05-22;3057;119;2938
2013-05-23;3062;119;2943
2013-05-24;3064;119;2945
2013-05-25;3061;119;2942
2013-05-26;3059;119;2940
2013-05-27;3060;119;2941
2013-05-29;3060;118;2942
2013-05-30;3069;118;2951
2013-05-31;3069;118;2951
2013-06-01;3068;118;2950
2013-06-02;3067;118;2949
2013-06-03;3070;118;2952
2013-06-04;3072;117;2955
2013-06-05;3077;117;2960
2013-06-07;3079;117;2962
2013-06-08;3079;117;2962
2013-06-09;3083;117;2966
2013-06-10;3084;117;2967
2013-06-11;3092;118;2974
2013-06-20;3104;118;2986
2013-06-21;3107;118;2989
2013-06-22;3107;118;2989
2013-06-23;3107;118;2989
2013-06-24;3116;118;2998
2013-06-26;3116;118;2998
2013-06-27;3113;118;2995
2013-06-28;3111;118;2993
2013-06-29;3113;118;2995
2013-06-30;3111;118;2993
2013-07-01;3109;118;2991
2013-07-02;3109;118;2991
2013-07-03;3110;119;2991
2013-07-05;3110;119;2991
2013-07-06;3111;119;2992
2013-07-07;3110;119;2991
2013-07-08;3111;119;2992
2013-07-09;3111;119;2992
2013-07-10;3111;119;2992
2013-07-11;3110;119;2991
2013-07-12;3112;118;2994
2013-07-14;3112;118;2994
2013-07-15;3113;118;2995
2013-07-16;3116;119;2997
2013-07-17;3121;119;3002
2013-07-18;3124;119;3005
2013-07-19;3124;119;3005
2013-07-20;3126;119;3007
2013-07-21;3123;119;3004
2013-07-23;3121;119;3002
2013-07-24;3124;119;3005
2013-07-25;3127;120;3007
2013-07-26;3126;120;3006
2013-07-27;3124;120;3004
2013-07-28;3124;120;3004
2013-07-29;3123;121;3002
2013-07-30;3126;120;3006
2013-08-01;3126;120;3006
2013-08-02;3129;120;3009
2013-08-03;3130;120;3010
2013-08-04;3131;120;3011
2013-08-05;3133;120;3013
2013-08-06;3136;120;3016
2013-08-07;3139;121;3018
2013-08-09;3142;121;3021
2013-08-10;3140;117;3023
2013-08-11;3139;117;3022
2013-08-12;3140;117;3023
2013-08-13;3142;117;3025
2013-08-14;3149;117;3032
2013-08-15;3146;117;3029
2013-08-17;3145;117;3028
2013-08-18;3146;117;3029
2013-08-19;3148;117;3031
2013-08-20;3148;118;3030
2013-08-21;3158;118;3040
2013-08-22;3157;118;3039
2013-08-23;3158;118;3040
2013-08-25;3157;118;3039
2013-08-26;3162;118;3044
2013-08-27;3165;118;3047
2013-08-28;3167;118;3049
2013-08-29;3175;118;3057
2013-08-30;3180;118;3062
2013-08-31;3184;118;3066
2013-09-02;3188;119;3069
2013-09-03;3194;119;3075
2013-09-04;3196;120;3076
2013-09-05;3198;121;3077
2013-09-06;3201;124;3077
2013-09-07;3203;124;3079
2013-09-09;3206;124;3082
2013-09-10;3205;124;3081
2013-09-11;3205;124;3081
2013-09-12;3209;124;3085
2013-09-13;3212;124;3088
2013-09-14;3211;124;3087
2013-09-16;3218;124;3094
2013-09-17;3222;122;3100
2013-09-18;3225;122;3103
2013-09-19;3228;124;3104
2013-09-20;3229;124;3105
2013-09-21;3232;124;3108
2013-09-23;3234;124;3110
2013-09-24;3237;124;3113
2013-09-25;3238;125;3113
2013-09-26;3240;125;3115
2013-09-27;3240;125;3115
2013-09-29;3245;125;3120
2013-09-30;3242;125;3117
2013-10-01;3244;125;3119
2013-10-02;3250;125;3125
2013-10-03;3251;125;3126
2013-10-05;3253;126;3127
2013-10-06;3255;126;3129
2013-10-07;3257;126;3131
2013-10-08;3260;126;3134
2013-10-09;3258;126;3132
2013-10-11;3261;126;3135
2013-10-12;3263;126;3137
2013-10-13;3264;127;3137
2013-10-14;3262;127;3135
2013-10-15;3262;127;3135
2013-10-17;3262;127;3135
2013-10-18;3262;127;3135
2013-10-19;3264;127;3137
2013-10-20;3264;127;3137
2013-10-21;3264;127;3137
2013-10-22;3269;127;3142
2013-10-24;3267;127;3140
2013-10-25;3270;127;3143
2013-10-26;3271;127;3144
2013-10-27;3267;127;3140
2013-10-28;3276;127;3149
2013-10-30;3275;127;3148
2013-10-31;3276;127;3149
2013-11-01;3276;127;3149
2013-11-02;3276;127;3149
2013-11-03;3273;127;3146
2013-11-05;3273;127;3146
2013-11-06;3276;127;3149
2013-11-07;3277;127;3150
2013-11-08;3278;127;3151
2013-11-09;3283;127;3156
2013-11-11;3283;128;3155
2013-11-12;3282;128;3154
2013-11-13;3282;127;3155
2013-11-14;3283;128;3155
2013-11-16;3283;127;3156
2013-11-17;3282;127;3155
2013-11-18;3282;127;3155
2013-11-19;3280;126;3154
2013-11-21;3279;126;3153
2013-11-22;3279;126;3153
2013-11-23;3277;126;3151
2013-11-24;3278;126;3152
2013-11-25;3277;126;3151
2013-11-27;3280;126;3154
2013-11-28;3285;126;3159
2013-11-29;3288;126;3162
2013-11-30;3294;126;3168
2013-12-02;3295;126;3169
2013-12-03;3298;126;3172
2013-12-04;3298;126;3172
2013-12-05;3299;126;3173
2013-12-06;3300;125;3175
2013-12-08;3300;125;3175
2013-12-09;3301;125;3176
2013-12-10;3302;125;3177
2013-12-11;3305;126;3179
2013-12-13;3308;126;3182
2013-12-14;3308;126;3182
2013-12-15;3309;126;3183
2013-12-17;3310;127;3183
2013-12-18;3310;127;3183
2013-12-19;3311;127;3184
2013-12-20;3314;127;3187
2013-12-21;3317;128;3189
2013-12-23;3318;128;3190
2013-12-24;3319;128;3191
2013-12-25;3316;128;3188
2013-12-27;3316;128;3188
2013-12-28;3316;128;3188
2013-12-29;3317;128;3189
2013-12-30;3318;128;3190
2014-01-01;3323;128;3195
2014-01-02;3322;128;3194
2014-01-03;3322;128;3194
2014-01-05;3325;128;3197
2014-01-06;3329;129;3200
2014-01-07;3330;129;3201
2014-01-08;3330;129;3201
2014-01-10;3335;129;3206
2014-01-11;3337;129;3208
2014-01-12;3336;129;3207
2014-01-14;3339;129;3210
2014-01-15;3338;129;3209
2014-01-16;3336;129;3207
2014-01-17;3333;129;3204
2014-01-19;3333;129;3204
2014-01-20;3335;129;3206
2014-01-21;3337;129;3208
2014-01-22;3340;130;3210
2014-01-24;3339;129;3210
2014-01-25;3340;128;3212
2014-01-26;3339;128;3211
2014-01-27;3340;128;3212
2014-01-30;3342;128;3214
2014-01-31;3344;128;3216
2014-02-01;3349;128;3221
2014-02-02;3348;124;3224
2014-02-04;3344;125;3219
2014-02-05;3349;125;3224
2014-02-06;3350;125;3225
2014-02-07;3351;125;3226
2014-02-09;3350;125;3225
2014-02-10;3353;125;3228
2014-02-11;3357;125;3232
2014-02-13;3360;125;3235
2014-02-14;3361;125;3236
2014-02-15;3363;125;3238
2014-02-17;3368;125;3243
2014-02-18;3367;125;3242
2014-02-19;3370;125;3245
2014-02-21;3373;126;3247
2014-02-22;3374;126;3248
2014-02-23;3377;126;3251
2014-02-25;3378;126;3252
2014-02-26;3377;126;3251
2014-02-27;3380;126;3254
2014-03-01;3378;126;3252
2014-03-02;3379;126;3253
2014-03-03;3381;126;3255
2014-03-05;3379;126;3253
2014-03-06;3379;126;3253
2014-03-07;3378;126;3252
2014-03-09;3380;126;3254
2014-03-10;3381;126;3255
2014-03-11;3383;126;3257
2014-03-13;3384;126;3258
2014-03-14;3382;126;3256
2014-03-16;3381;126;3255
2014-03-17;3383;126;3257
2014-03-18;3387;126;3261
2014-03-20;3387;126;3261
2014-03-21;3389;126;3263
2014-03-22;3390;126;3264
2014-03-24;3394;126;3268
2014-03-25;3395;126;3269
2014-03-26;3402;126;3276
2014-03-28;3403;126;3277
2014-03-29;3408;126;3282
2014-03-31;3410;126;3284
2014-04-01;3414;126;3288
2014-04-02;3418;126;3292
2014-04-03;3423;126;3297
2014-04-05;3421;126;3295
2014-04-06;3421;126;3295
2014-04-07;3422;126;3296
2014-04-09;3424;126;3298
2014-04-10;3424;126;3298
2014-04-12;3424;126;3298
2014-04-13;3425;126;3299
2014-04-14;3426;126;3300
2014-04-16;3428;126;3302
2014-04-17;3430;126;3304
2014-04-18;3431;126;3305
2014-04-20;3430;126;3304
2014-04-21;3433;126;3307
2014-04-22;3434;126;3308
2014-04-24;3433;126;3307
2014-04-25;3433;126;3307
2014-04-26;3434;126;3308
2014-04-28;3433;126;3307
2014-04-29;3435;126;3309
2014-04-30;3439;126;3313
2014-05-02;3443;126;3317
2014-05-03;3443;126;3317
2014-05-04;3445;126;3319
