date;followers;following;fans
2013-04-18;5378;40;5338
2013-04-19;5376;40;5336
2013-04-20;5374;40;5334
2013-04-21;5373;40;5333
2013-04-22;5371;40;5331
2013-04-23;5370;40;5330
2013-04-24;5372;40;5332
2013-04-25;5371;40;5331
2013-04-26;5372;40;5332
2013-04-27;5369;40;5329
2013-04-28;5361;40;5321
2013-04-29;5360;40;5320
2013-04-30;5361;40;5321
2013-05-01;5360;40;5320
2013-05-02;5356;40;5316
2013-05-03;5353;40;5313
2013-05-04;5353;40;5313
2013-05-05;5352;40;5312
2013-05-06;5351;40;5311
2013-05-07;5349;40;5309
2013-05-08;5348;40;5308
2013-05-09;5345;40;5305
2013-05-11;5340;40;5300
2013-05-12;5339;40;5299
2013-05-13;5338;40;5298
2013-05-14;5340;40;5300
2013-05-15;5342;40;5302
2013-05-16;5341;40;5301
2013-05-17;5340;40;5300
2013-05-18;5341;40;5301
2013-05-19;5342;40;5302
2013-05-20;5340;40;5300
2013-05-21;5340;40;5300
2013-05-22;5341;40;5301
2013-05-23;5340;40;5300
2013-05-24;5340;40;5300
2013-05-25;5340;40;5300
2013-05-26;5340;40;5300
2013-05-27;5338;40;5298
2013-05-28;5338;40;5298
2013-05-29;5338;40;5298
2013-05-30;5338;40;5298
2013-05-31;5335;40;5295
2013-06-01;5332;40;5292
2013-06-02;5332;40;5292
2013-06-03;5330;40;5290
2013-06-04;5329;40;5289
2013-06-05;5329;40;5289
2013-06-06;5330;40;5290
2013-06-07;5329;40;5289
2013-06-08;5329;40;5289
2013-06-09;5329;40;5289
2013-06-10;5329;40;5289
2013-06-11;5330;40;5290
2013-06-20;5328;40;5288
2013-06-21;5328;40;5288
2013-06-22;5328;40;5288
2013-06-23;5328;40;5288
2013-06-24;5326;40;5286
2013-06-25;5324;40;5284
2013-06-26;5326;40;5286
2013-06-27;5326;40;5286
2013-06-28;5326;40;5286
2013-06-29;5324;40;5284
2013-06-30;5322;40;5282
2013-07-02;5319;40;5279
2013-07-03;5319;40;5279
2013-07-04;5319;40;5279
2013-07-05;5317;40;5277
2013-07-06;5317;40;5277
2013-07-07;5317;40;5277
2013-07-08;5317;40;5277
2013-07-09;5316;40;5276
2013-07-11;5316;40;5276
2013-07-12;5315;40;5275
2013-07-13;5314;40;5274
2013-07-14;5312;40;5272
2013-07-15;5312;40;5272
2013-07-16;5311;40;5271
2013-07-17;5309;40;5269
2013-07-18;5308;40;5268
2013-07-19;5309;40;5269
2013-07-20;5309;40;5269
2013-07-21;5308;40;5268
2013-07-22;5309;40;5269
2013-07-23;5305;40;5265
2013-07-24;5305;40;5265
2013-07-25;5304;40;5264
2013-07-26;5300;40;5260
2013-07-27;5247;40;5207
2013-07-28;5188;40;5148
2013-07-29;5175;40;5135
2013-07-30;5171;40;5131
2013-07-31;5171;40;5131
2013-08-01;5171;40;5131
2013-08-03;5170;40;5130
2013-08-05;5168;40;5128
2013-08-06;5167;40;5127
2013-08-07;5168;40;5128
2013-08-08;5168;40;5128
2013-08-09;5167;40;5127
2013-08-10;5165;40;5125
2013-08-11;5166;40;5126
2013-08-12;5166;40;5126
2013-08-13;5166;40;5126
2013-08-14;5167;40;5127
2013-08-15;5166;40;5126
2013-08-16;5165;40;5125
2013-08-17;5165;40;5125
2013-08-18;5165;40;5125
2013-08-19;5165;40;5125
2013-08-20;5165;40;5125
2013-08-21;5164;40;5124
2013-08-22;5163;40;5123
2013-08-23;5163;40;5123
2013-08-24;5163;40;5123
2013-08-25;5163;40;5123
2013-08-26;5162;40;5122
2013-08-27;5161;40;5121
2013-08-28;5159;40;5119
2013-08-29;5160;40;5120
2013-08-30;5158;40;5118
2013-08-31;5156;40;5116
2013-09-01;5154;40;5114
2013-09-02;5154;40;5114
2013-09-03;5154;40;5114
2013-09-04;5153;40;5113
2013-09-05;5152;40;5112
2013-09-06;5152;40;5112
2013-09-07;5152;40;5112
2013-09-08;5151;40;5111
2013-09-09;5152;40;5112
2013-09-10;5152;40;5112
2013-09-11;5151;40;5111
2013-09-12;5149;40;5109
2013-09-13;5149;40;5109
2013-09-14;5149;40;5109
2013-09-15;5149;40;5109
2013-09-16;5149;40;5109
2013-09-17;5147;40;5107
2013-09-18;5149;40;5109
2013-09-19;5148;39;5109
2013-09-20;5149;40;5109
2013-09-21;5150;40;5110
2013-09-22;5148;40;5108
2013-09-23;5147;40;5107
2013-09-24;5146;40;5106
2013-09-25;5147;40;5107
2013-09-26;5145;40;5105
2013-09-27;5145;40;5105
2013-09-28;5145;40;5105
2013-09-29;5145;40;5105
2013-10-01;5139;40;5099
2013-10-02;5139;40;5099
2013-10-03;4799;40;4759
2013-10-04;4797;40;4757
2013-10-05;4796;40;4756
2013-10-06;4791;40;4751
2013-10-07;4791;40;4751
2013-10-09;4791;40;4751
2013-10-10;4791;40;4751
2013-10-11;4791;40;4751
2013-10-12;4792;40;4752
2013-10-13;4791;40;4751
2013-10-15;4790;40;4750
2013-10-16;4789;40;4749
2013-10-17;4788;40;4748
2013-10-18;4789;40;4749
2013-10-19;4787;40;4747
2013-10-21;4787;40;4747
2013-10-22;4788;40;4748
2013-10-23;4789;40;4749
2013-10-24;4789;39;4750
2013-10-26;4789;39;4750
2013-10-27;4788;39;4749
2013-10-28;4787;39;4748
2013-10-29;4785;40;4745
2013-10-30;4785;40;4745
2013-10-31;4785;40;4745
2013-11-02;4783;40;4743
2013-11-03;4784;40;4744
2013-11-04;4784;40;4744
2013-11-05;4783;40;4743
2013-11-06;4782;40;4742
2013-11-08;4781;40;4741
2013-11-09;4781;40;4741
2013-11-10;4782;40;4742
2013-11-11;4782;40;4742
2013-11-12;4783;40;4743
2013-11-14;4783;40;4743
2013-11-15;4783;40;4743
2013-11-16;4782;40;4742
2013-11-17;4783;40;4743
2013-11-19;4783;40;4743
2013-11-20;4784;40;4744
2013-11-21;4784;40;4744
2013-11-22;4784;40;4744
2013-11-24;4784;40;4744
2013-11-25;4784;40;4744
2013-11-26;4785;40;4745
2013-11-27;4785;40;4745
2013-11-29;4784;40;4744
2013-11-30;4784;40;4744
2013-12-01;4784;40;4744
2013-12-02;4784;40;4744
2013-12-04;4783;40;4743
2013-12-05;4782;40;4742
2013-12-06;4781;40;4741
2013-12-07;4781;40;4741
2013-12-08;4781;40;4741
2013-12-10;4781;40;4741
2013-12-11;4777;40;4737
2013-12-12;4775;40;4735
2013-12-13;4776;40;4736
2013-12-15;4775;40;4735
2013-12-16;4774;40;4734
2013-12-17;4774;40;4734
2013-12-18;4772;40;4732
2013-12-20;4772;40;4732
2013-12-21;4772;40;4732
2013-12-22;4771;40;4731
2013-12-24;4771;40;4731
2013-12-25;4771;40;4731
2013-12-26;4770;40;4730
2013-12-27;4770;40;4730
2013-12-29;4770;40;4730
2013-12-30;4769;40;4729
2013-12-31;4768;40;4728
2014-01-01;4768;40;4728
2014-01-03;4768;40;4728
2014-01-04;4768;40;4728
2014-01-05;4768;40;4728
2014-01-06;4768;40;4728
2014-01-08;4767;40;4727
2014-01-09;4767;40;4727
2014-01-10;4767;39;4728
2014-01-12;4767;39;4728
2014-01-13;4767;39;4728
2014-01-14;4766;39;4727
2014-01-15;4766;39;4727
2014-01-17;4765;39;4726
2014-01-18;4765;39;4726
2014-01-19;4763;39;4724
2014-01-21;4764;39;4725
2014-01-22;4764;39;4725
2014-01-23;4764;39;4725
2014-01-24;4763;39;4724
2014-01-26;4763;39;4724
2014-01-27;4763;39;4724
2014-01-28;4762;39;4723
2014-01-30;4762;39;4723
2014-01-31;4762;39;4723
2014-02-01;4761;39;4722
2014-02-03;4761;39;4722
2014-02-04;4761;39;4722
2014-02-05;4760;39;4721
2014-02-07;4759;39;4720
2014-02-08;4757;39;4718
2014-02-09;4757;39;4718
2014-02-11;4757;39;4718
2014-02-12;4757;39;4718
2014-02-13;4756;38;4718
2014-02-15;4755;38;4717
2014-02-16;4755;38;4717
2014-02-17;4755;38;4717
2014-02-19;4754;38;4716
2014-02-20;4753;38;4715
2014-02-21;4754;38;4716
2014-02-23;4753;38;4715
2014-02-24;4752;38;4714
2014-02-25;4752;38;4714
2014-02-27;4751;38;4713
2014-02-28;4750;38;4712
2014-03-01;4751;38;4713
2014-03-03;4750;38;4712
2014-03-04;4749;38;4711
2014-03-05;4747;38;4709
2014-03-07;4747;38;4709
2014-03-08;4748;38;4710
2014-03-09;4747;38;4709
2014-03-11;4747;38;4709
2014-03-12;4747;38;4709
2014-03-14;4746;38;4708
2014-03-15;4747;38;4709
2014-03-16;4746;38;4708
2014-03-18;4746;38;4708
2014-03-19;4746;38;4708
2014-03-20;4746;38;4708
2014-03-22;4744;38;4706
2014-03-23;4742;38;4704
2014-03-24;4742;38;4704
2014-03-26;4742;38;4704
2014-03-27;4741;38;4703
2014-03-28;4741;38;4703
2014-03-30;4742;38;4704
2014-03-31;4741;38;4703
2014-04-02;4741;38;4703
2014-04-03;4741;38;4703
2014-04-04;4741;38;4703
2014-04-06;4741;38;4703
2014-04-07;4741;38;4703
2014-04-09;4741;38;4703
2014-04-10;4740;38;4702
2014-04-11;4740;38;4702
2014-04-13;4740;38;4702
2014-04-14;4739;38;4701
2014-04-15;4740;38;4702
2014-04-17;4739;38;4701
2014-04-18;4739;38;4701
2014-04-19;4738;38;4700
2014-04-21;4738;38;4700
2014-04-22;4738;38;4700
2014-04-24;4739;38;4701
2014-04-25;4738;38;4700
2014-04-26;4738;38;4700
2014-04-27;4738;38;4700
2014-04-29;4738;38;4700
2014-04-30;4738;38;4700
2014-05-01;4738;38;4700
2014-05-03;4738;38;4700
2014-05-04;4737;38;4699
2014-05-06;4737;38;4699
