date;followers;following;fans
2013-04-17;16496;3273;13223
2013-04-18;16497;3272;13225
2013-04-19;16495;3272;13223
2013-04-20;16495;3272;13223
2013-04-21;16496;3272;13224
2013-04-22;16494;3272;13222
2013-04-23;16491;3272;13219
2013-04-24;16487;3271;13216
2013-04-25;16486;3271;13215
2013-04-26;16479;3271;13208
2013-04-27;16477;3271;13206
2013-04-28;16473;3271;13202
2013-04-29;16468;3270;13198
2013-04-30;16461;3270;13191
2013-05-01;16458;3270;13188
2013-05-02;16464;3322;13142
2013-05-03;16427;3412;13015
2013-05-04;16430;3412;13018
2013-05-05;16432;3463;12969
2013-05-06;16444;3642;12802
2013-05-07;16442;3642;12800
2013-05-08;16442;3643;12799
2013-05-09;16441;3694;12747
2013-05-10;16451;3873;12578
2013-05-11;16444;3862;12582
2013-05-12;16454;3985;12469
2013-05-13;16460;4151;12309
2013-05-14;16466;4154;12312
2013-05-15;16471;4157;12314
2013-05-16;16469;4157;12312
2013-05-17;16466;4156;12310
2013-05-18;16465;4157;12308
2013-05-19;16463;4157;12306
2013-05-20;16458;4179;12279
2013-05-21;16464;4311;12153
2013-05-22;16469;4364;12105
2013-05-23;16467;4363;12104
2013-05-24;16467;4363;12104
2013-05-25;16464;4364;12100
2013-05-26;16466;4447;12019
2013-05-27;16464;4446;12018
2013-05-28;16470;4472;11998
2013-05-29;16467;4696;11771
2013-05-30;16465;4754;11711
2013-05-31;16463;4755;11708
2013-06-01;16464;4808;11656
2013-06-02;16461;4827;11634
2013-06-03;16461;4836;11625
2013-06-04;16464;4837;11627
2013-06-05;16464;4837;11627
2013-06-06;16468;4883;11585
2013-06-07;16467;4883;11584
2013-06-08;16462;4883;11579
2013-06-09;16459;4884;11575
2013-06-10;16458;4884;11574
2013-06-11;16452;4882;11570
2013-06-20;16439;5228;11211
2013-06-21;16436;5335;11101
2013-06-22;16434;5349;11085
2013-06-23;16429;5532;10897
2013-06-24;16426;5763;10663
2013-06-25;16424;5761;10663
2013-06-26;16424;5762;10662
2013-06-27;16422;5764;10658
2013-06-28;16419;5761;10658
2013-06-29;16416;5802;10614
2013-06-30;16417;5977;10440
2013-07-01;16415;6040;10375
2013-07-02;16417;6275;10142
2013-07-03;16414;6300;10114
2013-07-04;16410;6367;10043
2013-07-06;16401;6656;9745
2013-07-07;16398;6815;9583
2013-07-08;16398;6935;9463
2013-07-09;16395;6778;9617
2013-07-11;16385;6622;9763
2013-07-12;16389;6438;9951
2013-07-13;16396;6204;10192
2013-07-14;16392;6203;10189
2013-07-15;16391;6204;10187
2013-07-16;16388;6207;10181
2013-07-17;16388;6205;10183
2013-07-18;16386;6203;10183
2013-07-19;16387;6188;10199
2013-07-20;16383;6187;10196
2013-07-21;16389;5985;10404
2013-07-22;16379;5983;10396
2013-07-23;16376;5982;10394
2013-07-24;16375;5993;10382
2013-07-25;16372;5992;10380
2013-07-26;16373;5972;10401
2013-07-27;16326;6006;10320
2013-07-28;16263;5963;10300
2013-07-29;16256;5958;10298
2013-07-30;16256;5959;10297
2013-07-31;16255;5959;10296
2013-08-01;16252;5957;10295
2013-08-02;16251;5956;10295
2013-08-03;16247;5955;10292
2013-08-04;16251;5972;10279
2013-08-05;16249;5971;10278
2013-08-06;16249;5974;10275
2013-08-07;16239;5975;10264
2013-08-08;16237;5974;10263
2013-08-09;16236;5974;10262
2013-08-10;16236;5973;10263
2013-08-11;16231;5974;10257
2013-08-12;16232;5974;10258
2013-08-13;16230;5974;10256
2013-08-14;16225;5974;10251
2013-08-15;16225;5975;10250
2013-08-16;16224;5974;10250
2013-08-17;16219;5973;10246
2013-08-18;16216;5972;10244
2013-08-19;16213;5970;10243
2013-08-20;16208;5968;10240
2013-08-21;16211;5970;10241
2013-08-22;16208;5969;10239
2013-08-23;16208;5969;10239
2013-08-24;16209;5969;10240
2013-08-25;16208;5969;10239
2013-08-26;16207;5970;10237
2013-08-27;16204;5970;10234
2013-08-28;16205;5970;10235
2013-08-29;16203;5970;10233
2013-08-30;16205;5969;10236
2013-08-31;16204;5970;10234
2013-09-01;16203;5970;10233
2013-09-02;16197;5970;10227
2013-09-03;16195;5967;10228
2013-09-04;16195;5967;10228
2013-09-05;16195;5968;10227
2013-09-06;16195;5968;10227
2013-09-07;16194;5966;10228
2013-09-08;16181;5967;10214
2013-09-09;16182;5967;10215
2013-09-10;16181;5966;10215
2013-09-11;16184;5967;10217
2013-09-12;16184;5967;10217
2013-09-13;16180;5966;10214
2013-09-14;16180;5966;10214
2013-09-15;16177;5964;10213
2013-09-16;16173;5963;10210
2013-09-17;16173;5963;10210
2013-09-18;16171;5963;10208
2013-09-19;16169;5964;10205
2013-09-20;16167;5963;10204
2013-09-21;16168;5964;10204
2013-09-22;16167;5962;10205
2013-09-23;16163;5962;10201
2013-09-24;16164;5962;10202
2013-09-25;16162;5961;10201
2013-09-26;16159;5960;10199
2013-09-27;16158;5958;10200
2013-09-28;16157;5957;10200
2013-09-29;16158;5956;10202
2013-09-30;16155;5953;10202
2013-10-01;16142;5951;10191
2013-10-02;16140;5950;10190
2013-10-03;15957;5910;10047
2013-10-04;15952;5911;10041
2013-10-05;15951;5911;10040
2013-10-06;15943;5910;10033
2013-10-07;15939;5908;10031
2013-10-08;15937;5908;10029
2013-10-09;15940;5909;10031
2013-10-10;15938;5910;10028
2013-10-11;15937;5910;10027
2013-10-12;15937;5910;10027
2013-10-13;15939;5910;10029
2013-10-14;15935;5906;10029
2013-10-15;15932;5905;10027
2013-10-16;15930;5905;10025
2013-10-17;15928;5906;10022
2013-10-18;15926;5904;10022
