date;followers;following;fans
2013-04-18;1288;4;1284
2013-04-20;1290;4;1286
2013-04-22;1295;4;1291
2013-04-24;1302;4;1298
2013-04-26;1307;4;1303
2013-04-28;1308;4;1304
2013-04-30;1310;4;1306
2013-05-02;1320;4;1316
2013-05-04;1323;4;1319
2013-05-06;1330;4;1326
2013-05-08;1336;4;1332
2013-05-10;1336;4;1332
2013-05-12;1339;4;1335
2013-05-14;1346;4;1342
2013-05-16;1347;4;1343
2013-05-18;1353;4;1349
2013-05-20;1353;4;1349
2013-05-22;1360;4;1356
2013-05-24;1366;4;1362
2013-05-26;1371;4;1367
2013-05-28;1372;4;1368
2013-05-30;1375;4;1371
2013-06-01;1375;4;1371
2013-06-03;1378;4;1374
2013-06-05;1379;4;1375
2013-06-07;1381;4;1377
2013-06-09;1384;4;1380
2013-06-11;1386;4;1382
2013-06-20;1397;4;1393
2013-06-22;1400;4;1396
2013-06-24;1403;4;1399
2013-06-26;1405;4;1401
2013-06-28;1408;4;1404
2013-06-30;1407;4;1403
2013-07-02;1409;4;1405
2013-07-04;1410;4;1406
2013-07-06;1412;4;1408
2013-07-08;1414;4;1410
2013-07-10;1416;4;1412
2013-07-12;1420;4;1416
2013-07-14;1418;4;1414
2013-07-16;1420;4;1416
2013-07-18;1420;4;1416
2013-07-20;1422;4;1418
2013-07-22;1423;4;1419
2013-07-24;1425;4;1421
2013-07-26;1428;4;1424
2013-07-28;1429;4;1425
2013-07-30;1428;4;1424
2013-08-01;1429;4;1425
2013-08-03;1430;4;1426
2013-08-05;1431;4;1427
2013-08-07;1432;4;1428
2013-08-09;1434;4;1430
2013-08-11;1431;4;1427
2013-08-13;1427;4;1423
2013-08-15;1425;4;1421
2013-08-17;1426;4;1422
2013-08-19;1428;4;1424
2013-08-21;1428;4;1424
2013-08-23;1425;4;1421
2013-08-25;1426;4;1422
2013-08-27;1426;4;1422
2013-08-29;1425;4;1421
2013-08-31;1426;4;1422
2013-09-02;1425;4;1421
2013-09-04;1425;4;1421
2013-09-06;1423;4;1419
2013-09-08;1423;4;1419
2013-09-10;1424;4;1420
2013-09-12;1424;4;1420
2013-09-14;1424;4;1420
2013-09-16;1424;4;1420
2013-09-18;1421;4;1417
2013-09-20;1422;4;1418
2013-09-22;1425;4;1421
2013-09-24;1425;4;1421
2013-09-26;1424;4;1420
2013-09-28;1423;4;1419
2013-09-30;1423;4;1419
2013-10-02;1423;4;1419
2013-10-04;1423;4;1419
2013-10-06;1422;4;1418
2013-10-08;1422;4;1418
2013-10-10;1422;4;1418
2013-10-12;1422;4;1418
2013-10-14;1421;4;1417
2013-10-16;1422;4;1418
2013-10-18;1422;4;1418
2013-10-20;1421;4;1417
2013-10-22;1421;4;1417
2013-10-24;1422;4;1418
2013-10-26;1423;4;1419
2013-10-28;1422;4;1418
2013-10-30;1422;4;1418
2013-11-01;1422;4;1418
2013-11-03;1421;4;1417
2013-11-05;1422;4;1418
2013-11-07;1423;4;1419
2013-11-09;1422;4;1418
2013-11-11;1423;4;1419
2013-11-13;1423;4;1419
2013-11-15;1426;4;1422
2013-11-17;1425;4;1421
2013-11-19;1424;4;1420
2013-11-21;1424;4;1420
2013-11-23;1424;4;1420
2013-11-25;1423;4;1419
2013-11-27;1424;4;1420
2013-11-29;1425;4;1421
