date;followers;following;fans
2013-04-18;1969;474;1495
2013-04-20;1972;474;1498
2013-04-22;1975;474;1501
2013-04-24;1977;474;1503
2013-04-26;1982;474;1508
2013-04-28;1986;474;1512
2013-04-30;1986;474;1512
2013-05-02;1986;474;1512
2013-05-04;1990;474;1516
2013-05-06;1993;474;1519
2013-05-08;1998;473;1525
2013-05-10;2003;474;1529
2013-05-12;1994;471;1523
2013-05-14;2003;472;1531
2013-05-16;2011;474;1537
2013-05-18;2013;474;1539
2013-05-20;2017;474;1543
2013-05-22;2022;474;1548
2013-05-24;2022;474;1548
2013-05-26;2025;474;1551
2013-05-28;2027;474;1553
2013-05-30;2026;474;1552
2013-06-01;2025;474;1551
2013-06-03;2026;474;1552
2013-06-05;2026;474;1552
2013-06-07;2027;474;1553
2013-06-09;2025;474;1551
2013-06-11;2024;474;1550
2013-06-20;2033;474;1559
2013-06-22;2032;474;1558
2013-06-24;2033;474;1559
2013-06-26;2035;474;1561
2013-06-28;2037;474;1563
2013-06-30;2037;474;1563
2013-07-02;2040;474;1566
2013-07-04;2048;474;1574
2013-07-06;2051;474;1577
2013-07-08;2056;474;1582
2013-07-10;2058;474;1584
2013-07-12;2064;474;1590
2013-07-14;2064;473;1591
2013-07-16;2064;473;1591
2013-07-18;2066;473;1593
2013-07-20;2069;473;1596
2013-07-22;2070;473;1597
2013-07-24;2074;473;1601
2013-07-26;2075;473;1602
2013-07-28;2073;473;1600
2013-07-30;2074;473;1601
2013-08-01;2078;473;1605
2013-08-03;2081;473;1608
2013-08-05;2082;473;1609
2013-08-07;2083;473;1610
2013-08-09;2081;473;1608
2013-08-11;2083;473;1610
2013-08-13;2086;473;1613
2013-08-15;2091;473;1618
2013-08-17;2096;473;1623
2013-08-19;2100;473;1627
2013-08-21;2094;473;1621
2013-08-23;2097;473;1624
2013-08-25;2097;473;1624
2013-08-27;2099;473;1626
2013-08-29;2102;473;1629
2013-08-31;2105;473;1632
2013-09-02;2107;473;1634
2013-09-04;2109;473;1636
2013-09-06;2112;473;1639
2013-09-08;2113;473;1640
2013-09-10;2111;473;1638
2013-09-12;2112;473;1639
2013-09-14;2109;473;1636
2013-09-16;2110;473;1637
2013-09-18;2111;473;1638
2013-09-20;2120;473;1647
2013-09-22;2124;473;1651
2013-09-24;2123;473;1650
2013-09-26;2123;473;1650
2013-09-28;2126;473;1653
2013-09-30;2128;473;1655
2013-10-02;2124;472;1652
2013-10-04;2127;472;1655
2013-10-06;2126;472;1654
2013-10-08;2126;472;1654
2013-10-10;2128;472;1656
2013-10-12;2124;472;1652
2013-10-14;2124;472;1652
2013-10-16;2125;472;1653
2013-10-18;2127;472;1655
2013-10-20;2129;472;1657
2013-10-22;2128;472;1656
2013-10-24;2127;472;1655
2013-10-26;2128;472;1656
2013-10-28;2130;472;1658
2013-10-30;2127;472;1655
2013-11-01;2131;472;1659
2013-11-03;2130;472;1658
2013-11-05;2132;472;1660
2013-11-07;2135;472;1663
2013-11-09;2134;472;1662
2013-11-11;2135;472;1663
2013-11-13;2135;472;1663
2013-11-15;2141;472;1669
2013-11-17;2142;472;1670
2013-11-19;2141;472;1669
2013-11-21;2144;471;1673
2013-11-23;2146;471;1675
2013-11-25;2145;471;1674
2013-11-27;2146;471;1675
2013-11-29;2149;471;1678
2013-12-01;2146;471;1675
2013-12-03;2152;471;1681
2013-12-05;2152;471;1681
2013-12-07;2154;471;1683
2013-12-09;2155;471;1684
2013-12-11;2156;471;1685
2013-12-13;2158;471;1687
2013-12-15;2158;471;1687
2013-12-17;2161;471;1690
2013-12-19;2163;471;1692
2013-12-21;2162;471;1691
2013-12-23;2163;471;1692
2013-12-25;2166;471;1695
2013-12-27;2164;471;1693
2013-12-29;2166;471;1695
2013-12-31;2167;471;1696
2014-01-02;2164;471;1693
2014-01-04;2166;471;1695
2014-01-06;2169;471;1698
2014-01-08;2171;471;1700
2014-01-10;2171;471;1700
2014-01-12;2171;471;1700
2014-01-14;2172;471;1701
2014-01-16;2170;470;1700
2014-01-18;2171;470;1701
2014-01-20;2173;470;1703
2014-01-22;2179;470;1709
2014-01-24;2182;470;1712
2014-01-26;2183;470;1713
2014-01-28;2185;470;1715
2014-01-30;2187;470;1717
2014-02-01;2189;470;1719
2014-02-03;2192;470;1722
2014-02-05;2194;470;1724
2014-02-07;2196;470;1726
2014-02-09;2199;470;1729
2014-02-11;2200;470;1730
2014-02-13;2199;470;1729
2014-02-15;2199;470;1729
2014-02-17;2199;470;1729
2014-02-19;2201;470;1731
2014-02-21;2204;470;1734
2014-02-23;2209;470;1739
2014-02-25;2213;470;1743
2014-02-27;2212;470;1742
2014-03-01;2214;470;1744
2014-03-03;2216;470;1746
2014-03-05;2215;470;1745
2014-03-07;2215;470;1745
2014-03-09;2215;470;1745
2014-03-11;2213;470;1743
2014-03-13;2213;470;1743
2014-03-15;2216;470;1746
2014-03-17;2216;470;1746
2014-03-19;2215;470;1745
2014-03-21;2217;470;1747
2014-03-23;2218;470;1748
2014-03-25;2218;470;1748
2014-03-27;2221;470;1751
2014-03-29;2220;470;1750
2014-03-31;2220;470;1750
2014-04-02;2223;470;1753
2014-04-04;2226;470;1756
2014-04-06;2227;471;1756
2014-04-08;2225;471;1754
2014-04-10;2228;471;1757
2014-04-12;2227;471;1756
2014-04-14;2227;471;1756
2014-04-16;2229;471;1758
2014-04-18;2230;471;1759
2014-04-20;2229;471;1758
2014-04-22;2230;471;1759
2014-04-24;2233;471;1762
2014-04-26;2233;471;1762
2014-04-28;2235;471;1764
2014-04-30;2240;471;1769
2014-05-02;2240;471;1769
2014-05-04;2241;471;1770
