date;followers;following;fans
2013-04-18;1938;277;1661
2013-04-20;1950;283;1667
2013-04-22;1954;290;1664
2013-04-24;1945;286;1659
2013-04-26;1947;290;1657
2013-04-28;2125;294;1831
2013-04-30;2077;302;1775
2013-05-02;2047;298;1749
2013-05-04;2039;297;1742
2013-05-06;2036;301;1735
2013-05-08;2042;313;1729
2013-05-10;2030;315;1715
2013-05-12;2017;267;1750
2013-05-14;2038;270;1768
2013-05-16;2542;306;2236
2013-05-18;2410;301;2109
2013-05-20;2362;285;2077
2013-05-22;2325;284;2041
2013-05-24;2304;286;2018
2013-05-26;2282;289;1993
2013-05-28;2267;287;1980
2013-05-30;2249;287;1962
2013-06-01;2233;289;1944
2013-06-03;2220;280;1940
2013-06-05;2220;281;1939
2013-06-07;2202;288;1914
2013-06-09;2200;291;1909
2013-06-11;2221;296;1925
2013-06-20;2342;210;2132
2013-06-22;2334;219;2115
2013-06-24;2363;225;2138
2013-06-26;2392;229;2163
2013-06-28;2387;230;2157
2013-06-30;2378;232;2146
2013-07-02;2388;199;2189
2013-07-04;2377;203;2174
2013-07-06;2386;202;2184
2013-07-08;2394;207;2187
2013-07-10;2397;206;2191
2013-07-12;2400;209;2191
2013-07-14;2415;193;2222
2013-07-16;2456;195;2261
2013-07-18;2449;199;2250
2013-07-20;2442;194;2248
2013-07-22;2454;199;2255
2013-07-24;2448;199;2249
2013-07-26;2429;202;2227
2013-07-28;2354;200;2154
2013-07-30;2353;197;2156
2013-08-01;2353;199;2154
2013-08-03;2352;201;2151
2013-08-05;2348;200;2148
2013-08-07;2349;201;2148
2013-08-09;2353;200;2153
2013-08-11;2353;200;2153
2013-08-13;2363;203;2160
2013-08-15;2365;203;2162
2013-08-17;2368;204;2164
2013-08-19;2388;191;2197
2013-08-21;2393;194;2199
2013-08-23;2394;196;2198
2013-08-25;2395;200;2195
2013-08-27;2393;172;2221
2013-08-29;2408;177;2231
2013-08-31;2444;179;2265
2013-09-02;2450;173;2277
2013-09-04;2465;179;2286
2013-09-06;2485;181;2304
2013-09-08;2480;185;2295
2013-09-10;2492;185;2307
2013-09-12;2495;184;2311
2013-09-14;2492;184;2308
2013-09-16;2495;187;2308
2013-09-18;2488;190;2298
2013-09-20;2482;187;2295
2013-09-22;2474;185;2289
2013-09-24;2486;204;2282
2013-09-26;2485;183;2302
2013-09-28;2484;185;2299
2013-09-30;2505;190;2315
2013-10-02;2502;190;2312
2013-10-04;2505;177;2328
2013-10-06;2504;177;2327
2013-10-08;2491;178;2313
2013-10-10;2486;181;2305
2013-10-12;2484;181;2303
2013-10-14;2482;182;2300
2013-10-16;2477;182;2295
2013-10-18;2477;186;2291
2013-10-20;2477;203;2274
2013-10-22;2474;203;2271
2013-10-24;2468;202;2266
2013-10-26;2468;202;2266
2013-10-28;2464;204;2260
2013-10-30;2464;203;2261
2013-11-01;2463;203;2260
2013-11-03;2466;206;2260
2013-11-05;2461;206;2255
2013-11-07;2460;203;2257
2013-11-09;2457;207;2250
2013-11-11;2457;210;2247
2013-11-13;2459;210;2249
2013-11-15;2464;212;2252
2013-11-17;2474;211;2263
2013-11-19;2469;213;2256
2013-11-21;2465;213;2252
2013-11-23;2477;212;2265
2013-11-25;2468;212;2256
2013-11-27;2466;213;2253
2013-11-29;2471;214;2257
2013-12-01;2466;215;2251
2013-12-03;2470;217;2253
2013-12-05;2482;218;2264
2013-12-07;2484;216;2268
2013-12-09;2482;217;2265
2013-12-11;2496;218;2278
2013-12-13;2490;219;2271
2013-12-15;2486;220;2266
2013-12-17;2486;210;2276
2013-12-19;2537;213;2324
2013-12-21;2588;221;2367
2013-12-23;2600;222;2378
2013-12-25;2601;201;2400
2013-12-27;2638;207;2431
2013-12-29;2634;195;2439
2013-12-31;2624;195;2429
2014-01-02;2622;199;2423
2014-01-04;2628;206;2422
2014-01-06;2626;206;2420
2014-01-08;2629;212;2417
2014-01-10;2626;214;2412
2014-01-12;2628;215;2413
2014-01-14;2626;215;2411
2014-01-16;2625;215;2410
2014-01-18;2623;214;2409
2014-01-20;2618;214;2404
2014-01-22;2615;215;2400
2014-01-24;2612;215;2397
2014-01-26;2615;213;2402
2014-01-28;2617;210;2407
2014-01-30;2621;210;2411
2014-02-01;2618;211;2407
2014-02-03;2614;211;2403
2014-02-05;2610;212;2398
2014-02-07;2606;213;2393
2014-02-09;2611;215;2396
2014-02-11;2605;219;2386
2014-02-13;2611;219;2392
2014-02-15;2605;219;2386
2014-02-17;2602;219;2383
2014-02-19;2605;220;2385
2014-02-21;2612;218;2394
2014-02-23;2612;219;2393
2014-02-25;2632;222;2410
2014-02-27;2660;206;2454
2014-03-01;2693;208;2485
2014-03-03;2701;210;2491
2014-03-05;2704;209;2495
2014-03-07;2729;215;2514
2014-03-08;2741;215;2526
2014-03-09;2776;217;2559
2014-03-11;2778;219;2559
2014-03-12;2789;220;2569
2014-03-13;2793;220;2573
2014-03-15;2797;221;2576
2014-03-16;2794;221;2573
2014-03-18;2814;216;2598
2014-03-19;2838;217;2621
2014-03-20;2842;217;2625
2014-03-22;2861;221;2640
2014-03-23;2861;222;2639
2014-03-24;2857;223;2634
2014-03-26;2878;224;2654
2014-03-27;2881;226;2655
2014-03-28;2910;228;2682
2014-03-30;2935;212;2723
2014-03-31;2959;215;2744
2014-04-02;2979;219;2760
2014-04-03;2978;221;2757
2014-04-04;2977;224;2753
2014-04-06;2968;223;2745
2014-04-07;2962;223;2739
2014-04-09;2958;222;2736
2014-04-10;2961;221;2740
2014-04-11;2959;222;2737
2014-04-13;2954;222;2732
2014-04-14;2948;223;2725
2014-04-15;2949;222;2727
2014-04-17;2951;227;2724
2014-04-18;2946;227;2719
2014-04-19;2940;227;2713
2014-04-21;2935;227;2708
2014-04-22;2946;219;2727
2014-04-24;2942;219;2723
2014-04-25;2937;220;2717
2014-04-26;2931;219;2712
2014-04-27;2925;218;2707
2014-04-29;2921;218;2703
2014-04-30;2920;213;2707
2014-05-01;2922;214;2708
2014-05-03;2920;214;2706
2014-05-04;2918;214;2704
2014-05-06;2913;213;2700
