date;followers;following;fans
2013-11-02;13274;11566;1708
2013-11-04;13266;11602;1664
2013-11-06;13278;11687;1591
2013-11-08;13305;11061;2244
2013-11-10;13474;11407;2067
2013-11-12;13561;11600;1961
2013-11-14;13606;11782;1824
2013-11-16;13673;11554;2119
2013-11-18;13760;11763;1997
2013-11-20;13827;11930;1897
2013-11-22;13898;11833;2065
2013-11-24;14085;12050;2035
2013-11-26;14142;12130;2012
2013-11-28;14177;12210;1967
2013-11-30;14219;12301;1918
2013-12-02;14235;12317;1918
2013-12-04;14276;12063;2213
2013-12-06;14307;12148;2159
2013-12-08;14306;12197;2109
2013-12-10;14358;12264;2094
2013-12-12;14417;12386;2031
2013-12-14;14475;12506;1969
2013-12-16;14508;12554;1954
2013-12-18;14550;12618;1932
2013-12-20;14577;12662;1915
2013-12-22;14611;12412;2199
2013-12-24;14639;12456;2183
2013-12-26;14814;12733;2081
2013-12-28;14836;12785;2051
2013-12-30;14850;12846;2004
2014-01-01;14903;12964;1939
2014-01-03;14973;13031;1942
2014-01-05;15109;12548;2561
2014-01-06;15206;12674;2532
2014-01-07;15249;12774;2475
2014-01-09;15304;12442;2862
2014-01-10;15329;12179;3150
2014-01-11;15343;12229;3114
2014-01-12;15346;12283;3063
2014-01-14;15358;12332;3026
2014-01-15;15426;12445;2981
2014-01-16;15464;12530;2934
2014-01-18;15495;12607;2888
2014-01-19;15517;12651;2866
2014-01-20;15524;12670;2854
2014-01-22;15540;12716;2824
2014-01-23;15546;12774;2772
2014-01-24;15559;12798;2761
2014-01-25;15571;12824;2747
2014-01-26;15582;12860;2722
2014-01-28;15600;12897;2703
2014-01-30;15624;12695;2929
2014-01-31;15628;12727;2901
2014-02-01;15639;12747;2892
2014-02-02;15642;12791;2851
2014-02-04;15660;12842;2818
2014-02-05;15669;12862;2807
2014-02-06;15676;12886;2790
2014-02-08;15696;12971;2725
2014-02-09;15738;13050;2688
2014-02-10;15740;13061;2679
2014-02-12;15777;13162;2615
2014-02-13;15792;13197;2595
2014-02-14;15823;13295;2528
2014-02-16;15847;13371;2476
2014-02-18;15866;12864;3002
2014-02-19;15874;12874;3000
2014-02-20;15896;12934;2962
2014-02-22;15897;12967;2930
2014-02-23;15911;12988;2923
2014-02-24;15949;13090;2859
2014-02-26;15964;13120;2844
2014-02-27;15976;13141;2835
2014-02-28;16014;13221;2793
2014-03-02;16037;13262;2775
2014-03-03;16056;13298;2758
2014-03-04;16094;13354;2740
2014-03-06;16102;13373;2729
2014-03-07;16130;12970;3160
2014-03-08;16144;13016;3128
2014-03-10;16142;13021;3121
2014-03-11;16154;13058;3096
2014-03-13;16175;13099;3076
2014-03-14;16181;13140;3041
2014-03-15;16221;13251;2970
2014-03-17;16228;13275;2953
2014-03-18;16234;13313;2921
2014-03-19;16267;13391;2876
2014-03-21;16303;13469;2834
2014-03-22;16339;13569;2770
2014-03-23;16358;13649;2709
2014-03-25;16379;13698;2681
2014-03-26;16420;13844;2576
2014-03-27;16474;13924;2550
2014-03-29;16523;13557;2966
2014-03-30;16536;13597;2939
2014-04-01;16550;13675;2875
2014-04-02;16581;13721;2860
2014-04-03;16588;13742;2846
2014-04-05;16639;13849;2790
2014-04-06;16695;13954;2741
2014-04-07;16716;13998;2718
2014-04-09;16743;14059;2684
2014-04-10;16756;14077;2679
2014-04-12;16775;13747;3028
2014-04-13;16773;13761;3012
2014-04-14;16783;13779;3004
2014-04-16;16809;13855;2954
2014-04-17;16772;13830;2942
2014-04-18;16778;13850;2928
2014-04-20;16789;13881;2908
2014-04-21;16794;13916;2878
2014-04-22;16802;13929;2873
2014-04-24;16849;14121;2728
2014-04-25;16871;14162;2709
2014-04-26;16892;14195;2697
2014-04-28;16920;14287;2633
2014-04-29;16944;14324;2620
2014-04-30;16983;14409;2574
2014-05-02;16993;14444;2549
2014-05-03;17015;14477;2538
2014-05-04;17037;14514;2523
