date;followers;following;fans
2013-04-18;1594;114;1480
2013-04-20;1592;114;1478
2013-04-22;1595;114;1481
2013-04-24;1598;114;1484
2013-04-26;1601;114;1487
2013-04-28;1606;114;1492
2013-04-30;1613;115;1498
2013-05-02;1616;115;1501
2013-05-04;1619;115;1504
2013-05-06;1624;115;1509
2013-05-08;1625;115;1510
2013-05-10;1633;115;1518
2013-05-12;1637;115;1522
2013-05-14;1648;115;1533
2013-05-16;1653;115;1538
2013-05-18;1658;115;1543
2013-05-20;1658;115;1543
2013-05-22;1662;115;1547
2013-05-24;1684;115;1569
2013-05-26;1695;114;1581
2013-05-28;1702;114;1588
2013-05-30;1704;114;1590
2013-06-01;1711;114;1597
2013-06-03;1715;114;1601
2013-06-05;1716;114;1602
2013-06-07;1720;114;1606
2013-06-09;1723;115;1608
2013-06-11;1729;115;1614
2013-06-20;1751;115;1636
2013-06-22;1753;115;1638
2013-06-24;1753;115;1638
2013-06-26;1761;114;1647
2013-06-28;1763;114;1649
2013-06-30;1765;114;1651
2013-07-02;1764;113;1651
2013-07-04;1765;113;1652
2013-07-06;1768;113;1655
2013-07-08;1768;113;1655
2013-07-10;1775;113;1662
2013-07-12;1778;113;1665
2013-07-14;1784;113;1671
2013-07-16;1783;113;1670
2013-07-18;1784;113;1671
2013-07-20;1784;113;1671
2013-07-22;1791;113;1678
2013-07-24;1798;113;1685
2013-07-26;1800;113;1687
2013-07-28;1803;113;1690
2013-07-30;1808;113;1695
2013-08-01;1812;113;1699
2013-08-03;1816;113;1703
2013-08-05;1819;113;1706
2013-08-07;1823;113;1710
2013-08-09;1825;113;1712
2013-08-11;1829;113;1716
2013-08-13;1831;113;1718
2013-08-15;1837;113;1724
2013-08-17;1836;113;1723
2013-08-19;1840;113;1727
2013-08-21;1844;113;1731
2013-08-23;1854;113;1741
2013-08-25;1856;113;1743
2013-08-27;1859;114;1745
2013-08-29;1873;114;1759
2013-08-31;1883;114;1769
2013-09-02;1889;114;1775
2013-09-04;1893;114;1779
2013-09-06;1900;115;1785
2013-09-08;1899;115;1784
2013-09-10;1903;116;1787
2013-09-12;1907;115;1792
2013-09-14;1915;115;1800
2013-09-16;1919;115;1804
2013-09-18;1921;115;1806
2013-09-20;1929;115;1814
2013-09-22;1935;115;1820
2013-09-24;1937;115;1822
2013-09-26;1942;115;1827
2013-09-28;1943;115;1828
2013-09-30;1951;115;1836
2013-10-02;1953;114;1839
2013-10-04;1958;114;1844
2013-10-06;1962;114;1848
2013-10-08;1961;114;1847
2013-10-10;1965;114;1851
2013-10-12;1968;113;1855
2013-10-14;1972;113;1859
2013-10-16;1974;113;1861
2013-10-18;1980;113;1867
2013-10-20;1980;113;1867
2013-10-22;1981;113;1868
2013-10-24;1983;113;1870
2013-10-26;1987;113;1874
2013-10-28;1987;113;1874
2013-10-30;1993;113;1880
2013-11-01;1996;113;1883
2013-11-03;1997;113;1884
2013-11-05;2004;113;1891
2013-11-07;2007;113;1894
2013-11-09;2008;113;1895
2013-11-11;2013;113;1900
2013-11-13;2019;114;1905
2013-11-15;2023;113;1910
2013-11-17;2026;113;1913
2013-11-19;2025;113;1912
2013-11-21;2030;113;1917
2013-11-23;2035;113;1922
2013-11-25;2037;113;1924
2013-11-27;2039;113;1926
2013-11-29;2042;113;1929
2013-12-01;2044;113;1931
2013-12-03;2046;117;1929
2013-12-05;2051;117;1934
2013-12-07;2052;117;1935
2013-12-09;2052;117;1935
2013-12-11;2055;117;1938
2013-12-13;2064;117;1947
2013-12-15;2068;117;1951
2013-12-17;2073;117;1956
2013-12-19;2075;117;1958
2013-12-21;2074;117;1957
2013-12-23;2077;117;1960
2013-12-25;2079;117;1962
2013-12-27;2079;117;1962
2013-12-29;2080;117;1963
2013-12-31;2083;117;1966
2014-01-02;2083;117;1966
2014-01-04;2084;117;1967
2014-01-06;2084;117;1967
2014-01-08;2088;117;1971
2014-01-10;2090;117;1973
2014-01-12;2091;117;1974
2014-01-14;2094;117;1977
2014-01-16;2098;117;1981
2014-01-18;2103;117;1986
