date;followers;following;fans
2013-04-18;7997;30;7967
2013-04-19;8011;30;7981
2013-04-20;8025;30;7995
2013-04-21;8043;30;8013
2013-04-22;8053;30;8023
2013-04-23;8067;30;8037
2013-04-24;8083;30;8053
2013-04-25;8101;30;8071
2013-04-26;8110;30;8080
2013-04-27;8118;29;8089
2013-04-28;8127;29;8098
2013-04-29;8143;29;8114
2013-04-30;8157;29;8128
2013-05-01;8163;29;8134
2013-05-02;8161;29;8132
2013-05-03;8162;29;8133
2013-05-04;8165;29;8136
2013-05-05;8173;29;8144
2013-05-06;8172;29;8143
2013-05-07;8170;29;8141
2013-05-08;8173;29;8144
2013-05-09;8178;29;8149
2013-05-11;8175;29;8146
2013-05-12;8176;29;8147
2013-05-13;8184;29;8155
2013-05-14;8184;29;8155
2013-05-15;8199;29;8170
2013-05-16;8201;29;8172
2013-05-17;8204;29;8175
2013-05-18;8208;29;8179
2013-05-19;8215;29;8186
2013-05-20;8219;29;8190
2013-05-21;8223;27;8196
2013-05-22;8230;27;8203
2013-05-23;8245;27;8218
2013-05-24;8243;27;8216
2013-05-25;8244;28;8216
2013-05-26;8253;28;8225
2013-05-27;8254;28;8226
2013-05-28;8256;28;8228
2013-05-30;8264;28;8236
2013-05-31;8260;28;8232
2013-06-01;8257;28;8229
2013-06-02;8264;28;8236
2013-06-03;8269;28;8241
2013-06-04;8266;28;8238
2013-06-05;8273;28;8245
2013-06-06;8279;28;8251
2013-06-08;8284;28;8256
2013-06-09;8287;28;8259
2013-06-10;8284;28;8256
2013-06-11;8292;28;8264
2013-06-20;8304;28;8276
2013-06-21;8309;28;8281
2013-06-22;8307;28;8279
2013-06-23;8312;28;8284
2013-06-24;8312;28;8284
2013-06-25;8316;28;8288
2013-06-26;8324;28;8296
2013-06-27;8328;28;8300
2013-06-28;8332;28;8304
2013-06-30;8337;28;8309
2013-07-02;8338;28;8310
2013-07-03;8344;28;8316
2013-07-04;8345;28;8317
2013-07-05;8354;28;8326
2013-07-06;8352;28;8324
2013-07-07;8354;28;8326
2013-07-08;8359;28;8331
2013-07-09;8365;28;8337
2013-07-11;8374;28;8346
2013-07-12;8372;28;8344
2013-07-13;8377;28;8349
2013-07-14;8380;28;8352
2013-07-15;8380;28;8352
2013-07-16;8376;28;8348
2013-07-17;8374;28;8346
2013-07-18;8376;28;8348
2013-07-19;8380;28;8352
2013-07-20;8383;28;8355
2013-07-21;8383;28;8355
