date;followers;following;fans
2013-08-15;55011;89;54922
2013-08-16;55162;89;55073
2013-08-17;55321;89;55232
2013-08-18;55548;89;55459
2013-08-19;55962;89;55873
2013-08-20;56256;89;56167
2013-08-21;56503;89;56414
2013-08-22;56699;89;56610
2013-08-23;56898;90;56808
2013-08-24;57135;90;57045
2013-08-25;57368;90;57278
2013-08-26;57753;90;57663
2013-08-27;58008;90;57918
2013-08-28;58204;90;58114
2013-08-29;58393;90;58303
2013-08-30;58572;90;58482
2013-08-31;58777;90;58687
2013-09-01;59039;90;58949
2013-09-02;59468;90;59378
2013-09-03;59757;90;59667
2013-09-04;60071;91;59980
2013-09-05;60336;91;60245
2013-09-06;60536;91;60445
2013-09-07;60721;91;60630
2013-09-08;60905;91;60814
2013-09-09;61105;91;61014
2013-09-10;61319;91;61228
2013-09-11;61494;91;61403
2013-09-12;61653;91;61562
2013-09-13;61801;91;61710
2013-09-14;61969;92;61877
2013-09-15;62130;92;62038
2013-09-16;62473;93;62380
2013-09-17;62661;93;62568
2013-09-18;62834;93;62741
2013-09-19;62956;93;62863
2013-09-20;63060;93;62967
2013-09-21;63181;93;63088
2013-09-22;63291;93;63198
2013-09-23;63405;93;63312
2013-09-24;63518;93;63425
2013-09-25;63624;93;63531
2013-09-26;63723;93;63630
2013-09-27;63827;93;63734
2013-09-28;63976;93;63883
2013-09-29;64172;93;64079
2013-09-30;64576;93;64483
2013-10-01;64918;93;64825
2013-10-02;65122;93;65029
2013-10-03;65294;93;65201
2013-10-04;65487;93;65394
2013-10-05;65658;93;65565
2013-10-06;65823;93;65730
2013-10-07;65970;94;65876
2013-10-08;66153;94;66059
2013-10-09;66286;94;66192
2013-10-10;66406;94;66312
2013-10-11;66516;94;66422
2013-10-12;66661;94;66567
2013-10-13;67476;94;67382
2013-10-14;67963;94;67869
2013-10-15;68201;94;68107
2013-10-16;68397;94;68303
2013-10-17;68610;94;68516
2013-10-18;68752;95;68657
2013-10-19;68984;96;68888
2013-10-20;69149;97;69052
2013-10-21;69525;98;69427
2013-10-22;69777;98;69679
2013-10-23;69983;98;69885
2013-10-24;70374;98;70276
2013-10-25;70579;98;70481
2013-10-26;70803;99;70704
2013-10-27;70973;99;70874
2013-10-28;71392;100;71292
2013-10-29;71628;100;71528
2013-10-30;71813;100;71713
2013-10-31;71973;100;71873
2013-11-01;72110;100;72010
2013-11-02;72258;100;72158
2013-11-03;72378;100;72278
2013-11-04;72537;100;72437
2013-11-05;72683;100;72583
2013-11-06;72790;100;72690
2013-11-07;72928;100;72828
2013-11-08;73060;100;72960
2013-11-09;73223;100;73123
2013-11-10;73457;100;73357
2013-11-11;74027;100;73927
2013-11-12;74371;101;74270
2013-11-13;74610;101;74509
2013-11-14;74851;101;74750
2013-11-15;75071;101;74970
2013-11-16;75237;102;75135
2013-11-17;75387;102;75285
2013-11-18;75532;102;75430
2013-11-19;75655;102;75553
2013-11-20;75781;102;75679
2013-11-21;75925;102;75823
2013-11-22;76053;102;75951
2013-11-23;76172;102;76070
2013-11-24;76249;102;76147
2013-11-25;76369;103;76266
2013-11-26;76453;103;76350
2013-11-27;76581;103;76478
2013-11-28;76680;103;76577
2013-11-29;76772;103;76669
2013-11-30;76845;104;76741
2013-12-01;76988;104;76884
2013-12-02;77355;104;77251
2013-12-03;77466;104;77362
2013-12-04;77553;104;77449
2013-12-05;77630;104;77526
2013-12-06;77709;104;77605
2013-12-07;77768;104;77664
2013-12-08;77829;104;77725
2013-12-09;77916;105;77811
2013-12-10;77988;105;77883
2013-12-11;78043;105;77938
2013-12-12;78101;105;77996
2013-12-13;78166;105;78061
2013-12-14;78193;105;78088
2013-12-15;78263;106;78157
2013-12-16;78323;106;78217
2013-12-17;78384;106;78278
2013-12-18;78467;106;78361
2013-12-19;78526;107;78419
2013-12-20;78582;108;78474
2013-12-21;78647;108;78539
2013-12-22;78707;109;78598
2013-12-23;78771;109;78662
2013-12-24;78844;109;78735
2013-12-25;78961;109;78852
2013-12-26;79016;110;78906
2013-12-27;79107;110;78997
2013-12-28;79162;111;79051
2013-12-29;79221;111;79110
2013-12-30;79303;111;79192
2013-12-31;79459;112;79347
2014-01-01;79547;112;79435
2014-01-02;79638;112;79526
2014-01-03;79731;112;79619
2014-01-04;79831;112;79719
2014-01-05;79908;112;79796
2014-01-06;80087;112;79975
2014-01-07;80167;112;80055
2014-01-08;80251;112;80139
2014-01-09;80309;112;80197
2014-01-10;80372;112;80260
2014-01-11;80429;113;80316
2014-01-12;80506;112;80394
2014-01-13;80556;112;80444
2014-01-14;80629;112;80517
2014-01-15;80701;112;80589
2014-01-16;80757;113;80644
2014-01-17;80827;113;80714
2014-01-18;80912;113;80799
2014-01-19;80999;113;80886
2014-01-20;81068;113;80955
2014-01-21;81142;113;81029
2014-01-22;81221;113;81108
2014-01-23;81283;113;81170
2014-01-24;81356;113;81243
2014-01-25;81456;113;81343
2014-01-26;81529;113;81416
2014-01-27;81584;114;81470
2014-01-28;81659;114;81545
2014-01-29;81787;114;81673
2014-01-30;81796;114;81682
2014-01-31;81830;114;81716
2014-02-01;81897;114;81783
2014-02-02;81965;114;81851
2014-02-03;82050;114;81936
2014-02-04;82145;114;82031
2014-02-05;82383;114;82269
2014-02-06;82490;114;82376
2014-02-07;82580;114;82466
2014-02-08;82681;113;82568
2014-02-09;82783;113;82670
2014-02-10;82845;114;82731
2014-02-11;82912;114;82798
2014-02-12;82989;116;82873
2014-02-13;83053;117;82936
2014-02-14;83119;117;83002
2014-02-15;83171;118;83053
2014-02-16;83219;118;83101
2014-02-17;83303;118;83185
2014-02-18;83376;118;83258
2014-02-19;83419;118;83301
2014-02-20;83475;118;83357
2014-02-21;83542;118;83424
2014-02-22;83586;118;83468
2014-02-23;83669;118;83551
2014-02-24;83717;118;83599
2014-02-25;83767;119;83648
2014-02-26;83826;119;83707
2014-02-27;83915;119;83796
2014-02-28;83996;119;83877
2014-03-01;84095;119;83976
2014-03-02;84184;120;84064
2014-03-03;84266;119;84147
2014-03-04;84348;119;84229
2014-03-05;84416;119;84297
2014-03-06;84468;119;84349
2014-03-07;84533;119;84414
2014-03-08;84599;119;84480
2014-03-09;84666;119;84547
2014-03-10;84724;119;84605
2014-03-11;84790;119;84671
2014-03-12;84838;119;84719
2014-03-13;84874;119;84755
2014-03-14;84932;119;84813
2014-03-15;84981;119;84862
2014-03-16;85019;119;84900
2014-03-17;85098;119;84979
2014-03-18;85148;119;85029
2014-03-19;85228;120;85108
2014-03-20;85322;120;85202
2014-03-21;85452;120;85332
2014-03-22;85546;120;85426
2014-03-23;85740;120;85620
2014-03-24;86464;120;86344
2014-03-25;86911;120;86791
2014-03-26;87100;120;86980
2014-03-27;87266;120;87146
2014-03-28;87376;120;87256
2014-03-29;87465;120;87345
2014-03-30;87544;120;87424
2014-03-31;87624;120;87504
2014-04-01;87692;120;87572
2014-04-02;87778;120;87658
2014-04-03;87833;120;87713
2014-04-04;87888;120;87768
2014-04-05;87961;120;87841
2014-04-06;88011;121;87890
2014-04-07;88076;121;87955
2014-04-08;88126;121;88005
2014-04-09;88210;121;88089
2014-04-10;88268;122;88146
2014-04-11;88356;122;88234
2014-04-12;88454;122;88332
2014-04-13;88586;122;88464
2014-04-14;88889;122;88767
2014-04-15;89170;121;89049
2014-04-16;89282;121;89161
2014-04-17;89369;121;89248
2014-04-18;89472;121;89351
2014-04-19;89567;121;89446
2014-04-20;89638;121;89517
2014-04-21;89755;122;89633
2014-04-22;89833;121;89712
2014-04-23;89977;121;89856
2014-04-24;90062;121;89941
2014-04-25;90171;121;90050
2014-04-26;90348;121;90227
2014-04-27;90577;122;90455
2014-04-28;90958;122;90836
2014-04-29;91108;122;90986
2014-04-30;91233;122;91111
2014-05-01;91394;122;91272
2014-05-02;91548;122;91426
2014-05-03;91669;122;91547
2014-05-04;91825;122;91703
2014-05-05;92143;122;92021
2014-05-06;92305;122;92183
