date;followers;following;fans
2013-04-18;5517;210;5307
2013-04-20;5549;211;5338
2013-04-21;5577;211;5366
2013-04-22;5597;212;5385
2013-04-23;5610;213;5397
2013-04-25;5636;215;5421
2013-04-26;5641;217;5424
2013-04-27;5650;219;5431
2013-04-28;5661;219;5442
2013-04-29;5687;219;5468
2013-05-01;5696;219;5477
2013-05-02;5706;219;5487
2013-05-03;5729;221;5508
2013-05-04;5758;226;5532
2013-05-06;5763;226;5537
2013-05-07;5771;226;5545
2013-05-08;5793;226;5567
2013-05-09;5806;226;5580
2013-05-11;5831;226;5605
2013-05-12;5837;226;5611
2013-05-13;5860;226;5634
2013-05-14;5875;227;5648
2013-05-15;5884;227;5657
2013-05-16;5895;227;5668
2013-05-17;5913;228;5685
2013-05-18;5928;228;5700
2013-05-19;5932;228;5704
2013-05-20;5941;228;5713
2013-05-21;5959;230;5729
2013-05-22;5975;231;5744
2013-05-23;5991;231;5760
2013-05-24;6001;231;5770
2013-05-25;6018;231;5787
2013-05-26;6022;231;5791
2013-05-27;6037;231;5806
2013-05-28;6058;232;5826
2013-05-29;6076;232;5844
2013-05-30;6093;234;5859
2013-05-31;6111;234;5877
2013-06-01;6126;234;5892
2013-06-02;6131;234;5897
2013-06-03;6146;234;5912
2013-06-04;6170;234;5936
2013-06-05;6196;234;5962
2013-06-06;6208;234;5974
2013-06-07;6211;234;5977
2013-06-08;6210;234;5976
2013-06-09;6210;234;5976
2013-06-10;6230;235;5995
2013-06-11;6238;235;6003
2013-06-20;6342;238;6104
2013-06-21;6357;239;6118
2013-06-22;6374;243;6131
2013-06-23;6389;252;6137
2013-06-24;6396;252;6144
2013-06-25;6408;252;6156
2013-06-26;6418;254;6164
2013-06-27;6435;255;6180
2013-06-28;6449;256;6193
2013-06-29;6457;261;6196
2013-06-30;6467;265;6202
2013-07-02;6493;265;6228
2013-07-03;6506;265;6241
2013-07-04;6522;265;6257
2013-07-05;6538;265;6273
2013-07-06;6544;265;6279
2013-07-07;6563;265;6298
2013-07-08;6576;265;6311
2013-07-10;6592;265;6327
2013-07-11;6605;265;6340
2013-07-12;6612;265;6347
2013-07-13;6628;265;6363
2013-07-14;6635;265;6370
2013-07-15;6647;265;6382
2013-07-16;6658;265;6393
2013-07-17;6674;265;6409
2013-07-18;6688;265;6423
2013-07-19;6700;265;6435
2013-07-20;6713;265;6448
2013-07-21;6727;265;6462
2013-07-22;6735;265;6470
2013-07-23;6743;265;6478
2013-07-24;6745;267;6478
2013-07-25;6757;268;6489
2013-07-26;6779;268;6511
2013-07-27;6788;268;6520
2013-07-28;6789;269;6520
2013-07-29;6801;269;6532
2013-07-30;6803;270;6533
2013-07-31;6830;270;6560
2013-08-01;6837;270;6567
2013-08-02;6856;271;6585
2013-08-03;6863;270;6593
2013-08-04;6868;270;6598
2013-08-05;6875;270;6605
2013-08-06;6889;271;6618
2013-08-07;6902;271;6631
2013-08-08;6916;272;6644
2013-08-09;6930;272;6658
2013-08-10;6942;272;6670
2013-08-11;6953;273;6680
2013-08-12;6965;273;6692
2013-08-13;6979;273;6706
2013-08-14;6998;278;6720
2013-08-15;7012;278;6734
2013-08-16;7031;278;6753
2013-08-17;7038;281;6757
2013-08-18;7045;281;6764
2013-08-19;7055;281;6774
2013-08-20;7066;284;6782
2013-08-21;7083;286;6797
2013-08-22;7095;286;6809
2013-08-23;7112;286;6826
2013-08-24;7124;286;6838
2013-08-25;7135;286;6849
2013-08-26;7154;286;6868
2013-08-27;7166;286;6880
2013-08-28;7181;287;6894
2013-08-29;7201;287;6914
2013-08-30;7213;287;6926
2013-08-31;7217;287;6930
2013-09-01;7232;287;6945
2013-09-02;7253;287;6966
2013-09-03;7264;287;6977
2013-09-04;7271;287;6984
2013-09-05;7282;287;6995
2013-09-06;7292;287;7005
2013-09-07;7301;287;7014
2013-09-08;7313;287;7026
2013-09-09;7329;288;7041
2013-09-10;7347;288;7059
2013-09-11;7350;288;7062
2013-09-12;7358;289;7069
2013-09-13;7369;289;7080
2013-09-14;7381;290;7091
2013-09-15;7385;290;7095
2013-09-16;7399;290;7109
2013-09-17;7412;292;7120
2013-09-18;7433;294;7139
2013-09-19;7453;294;7159
2013-09-20;7471;294;7177
2013-09-21;7480;294;7186
2013-09-22;7492;294;7198
2013-09-23;7519;294;7225
2013-09-24;7541;294;7247
2013-09-25;7565;294;7271
2013-09-26;7582;296;7286
2013-09-27;7606;299;7307
2013-09-28;7608;299;7309
2013-09-29;7619;299;7320
2013-10-01;7646;299;7347
2013-10-02;7659;299;7360
2013-10-03;7671;299;7372
2013-10-04;7684;299;7385
2013-10-05;7694;299;7395
2013-10-06;7706;299;7407
2013-10-07;7710;299;7411
2013-10-08;7715;299;7416
2013-10-09;7728;299;7429
2013-10-10;7748;299;7449
2013-10-11;7760;299;7461
2013-10-12;7774;299;7475
2013-10-13;7778;299;7479
2013-10-14;7787;299;7488
2013-10-15;7797;299;7498
2013-10-16;7808;299;7509
2013-10-17;7821;299;7522
2013-10-18;7831;299;7532
2013-10-19;7849;299;7550
2013-10-20;7858;299;7559
2013-10-21;7871;299;7572
2013-10-22;7882;299;7583
2013-10-23;7898;299;7599
2013-10-24;7916;299;7617
2013-10-25;7927;299;7628
2013-10-26;7946;299;7647
2013-10-27;7959;299;7660
2013-10-28;7972;299;7673
2013-10-29;7977;299;7678
2013-10-30;7988;299;7689
2013-10-31;7991;299;7692
2013-11-01;8000;299;7701
2013-11-02;8012;299;7713
2013-11-04;8023;299;7724
2013-11-05;8032;299;7733
2013-11-06;8043;300;7743
2013-11-07;8050;300;7750
2013-11-08;8066;300;7766
2013-11-09;8077;301;7776
2013-11-10;8088;301;7787
2013-11-11;8105;301;7804
2013-11-12;8113;301;7812
2013-11-13;8122;301;7821
2013-11-14;8135;301;7834
2013-11-15;8148;301;7847
2013-11-16;8151;301;7850
2013-11-17;8159;301;7858
2013-11-18;8170;301;7869
2013-11-19;8171;303;7868
2013-11-20;8176;303;7873
2013-11-21;8189;303;7886
2013-11-22;8203;303;7900
2013-11-23;8217;303;7914
2013-11-25;8241;303;7938
2013-11-26;8260;303;7957
2013-11-27;8271;303;7968
2013-11-28;8277;303;7974
2013-11-29;8286;303;7983
2013-11-30;8299;303;7996
2013-12-01;8310;303;8007
2013-12-02;8323;303;8020
2013-12-03;8336;303;8033
2013-12-04;8352;303;8049
2013-12-05;8362;303;8059
2013-12-06;8374;303;8071
2013-12-07;8386;303;8083
2013-12-08;8405;303;8102
2013-12-09;8432;303;8129
2013-12-11;8601;303;8298
2013-12-12;8739;303;8436
2013-12-13;8846;303;8543
2013-12-14;8913;303;8610
2013-12-15;8997;303;8694
2013-12-16;9142;304;8838
2013-12-17;9248;304;8944
2013-12-18;9369;304;9065
2013-12-19;9479;304;9175
2013-12-20;9572;304;9268
2013-12-21;9688;304;9384
2013-12-22;9801;304;9497
2013-12-23;9942;304;9638
2013-12-24;10042;304;9738
2013-12-25;10129;304;9825
2013-12-26;10231;304;9927
2013-12-27;10337;304;10033
2013-12-28;10436;304;10132
2013-12-29;10572;304;10268
2013-12-30;10680;304;10376
2013-12-31;10828;304;10524
2014-01-01;10932;304;10628
2014-01-02;11110;304;10806
2014-01-03;11359;304;11055
2014-01-04;11675;304;11371
2014-01-05;11940;304;11636
2014-01-06;12191;304;11887
2014-01-07;12410;304;12106
2014-01-08;12481;307;12174
2014-01-09;12516;309;12207
2014-01-10;12550;317;12233
2014-01-11;12557;317;12240
2014-01-12;12572;317;12255
2014-01-13;12575;321;12254
2014-01-14;12586;321;12265
2014-01-15;12592;321;12271
2014-01-16;12603;325;12278
2014-01-17;12610;324;12286
2014-01-18;12628;324;12304
2014-01-19;12634;324;12310
2014-01-20;12652;324;12328
2014-01-21;12674;325;12349
2014-01-22;12695;325;12370
2014-01-23;12700;325;12375
2014-01-24;12709;325;12384
2014-01-25;12731;325;12406
2014-01-26;12750;325;12425
2014-01-27;12770;325;12445
2014-01-28;12792;325;12467
2014-01-30;12811;325;12486
2014-01-31;12821;325;12496
2014-02-01;12827;325;12502
2014-02-02;12839;325;12514
2014-02-03;12853;328;12525
2014-02-04;12868;328;12540
2014-02-05;12891;328;12563
2014-02-06;12909;328;12581
2014-02-07;12928;331;12597
2014-02-08;12941;331;12610
2014-02-09;12948;331;12617
2014-02-10;12964;331;12633
2014-02-11;12968;332;12636
2014-02-12;12976;332;12644
2014-02-13;12982;333;12649
2014-02-14;13000;333;12667
2014-02-15;13004;333;12671
2014-02-16;13013;333;12680
2014-02-17;13025;333;12692
2014-02-18;13038;333;12705
2014-02-19;13068;335;12733
2014-02-20;13081;335;12746
2014-02-21;13096;335;12761
2014-02-22;13112;335;12777
2014-02-23;13128;335;12793
2014-02-24;13146;335;12811
2014-02-25;13164;335;12829
2014-02-26;13172;335;12837
2014-02-27;13186;336;12850
2014-02-28;13193;336;12857
2014-03-01;13214;336;12878
2014-03-02;13224;336;12888
2014-03-03;13248;336;12912
2014-03-04;13263;337;12926
2014-03-05;13274;337;12937
2014-03-06;13282;337;12945
2014-03-07;13288;337;12951
2014-03-08;13306;338;12968
2014-03-09;13323;338;12985
2014-03-10;13331;338;12993
2014-03-11;13333;338;12995
2014-03-12;13350;339;13011
2014-03-13;13354;340;13014
2014-03-14;13383;340;13043
2014-03-15;13393;340;13053
2014-03-16;13400;340;13060
2014-03-17;13412;340;13072
2014-03-18;13423;340;13083
2014-03-19;13435;340;13095
2014-03-20;13444;340;13104
2014-03-21;13458;340;13118
2014-03-22;13478;340;13138
2014-03-23;13494;340;13154
2014-03-24;13508;340;13168
2014-03-25;13527;340;13187
2014-03-26;13528;340;13188
2014-03-27;13543;340;13203
2014-03-28;13554;340;13214
2014-03-29;13566;340;13226
2014-03-30;13567;340;13227
2014-03-31;13570;340;13230
2014-04-01;13594;340;13254
2014-04-02;13605;340;13265
2014-04-03;13614;340;13274
2014-04-04;13620;340;13280
2014-04-05;13631;340;13291
2014-04-06;13647;340;13307
2014-04-07;13670;340;13330
2014-04-08;13677;340;13337
2014-04-09;13686;340;13346
2014-04-10;13701;340;13361
2014-04-11;13717;340;13377
2014-04-12;13733;341;13392
2014-04-13;13734;342;13392
2014-04-14;13744;342;13402
2014-04-15;13756;342;13414
2014-04-16;13756;342;13414
2014-04-17;13766;343;13423
2014-04-18;13781;343;13438
2014-04-19;13788;343;13445
2014-04-20;13797;343;13454
2014-04-21;13810;343;13467
2014-04-22;13812;343;13469
2014-04-23;13819;343;13476
2014-04-24;13832;344;13488
2014-04-25;13847;344;13503
2014-04-26;13861;345;13516
2014-04-27;13871;346;13525
2014-04-28;13878;346;13532
2014-04-29;13878;346;13532
2014-04-30;13890;346;13544
2014-05-01;13897;346;13551
2014-05-02;13902;346;13556
2014-05-03;13901;346;13555
2014-05-04;13905;346;13559
2014-05-05;13913;346;13567
2014-05-06;13918;346;13572
