date;followers;following;fans
2013-09-20;1105;99;1006
2013-09-22;1107;100;1007
2013-09-24;1111;101;1010
2013-09-26;1115;100;1015
2013-09-28;1118;99;1019
2013-09-30;1115;101;1014
2013-10-02;1117;101;1016
2013-10-04;1119;100;1019
2013-10-06;1120;99;1021
2013-10-08;1120;99;1021
2013-10-10;1123;100;1023
2013-10-12;1125;101;1024
2013-10-14;1124;101;1023
2013-10-16;1123;102;1021
2013-10-18;1124;100;1024
2013-10-20;1124;100;1024
2013-10-22;1126;100;1026
2013-10-24;1123;100;1023
2013-10-26;1121;100;1021
2013-10-28;1120;100;1020
2013-10-30;1121;100;1021
2013-11-01;1122;100;1022
2013-11-03;1122;100;1022
2013-11-05;1121;100;1021
2013-11-07;1123;100;1023
2013-11-09;1122;100;1022
2013-11-11;1122;100;1022
2013-11-13;1124;100;1024
2013-11-15;1125;101;1024
2013-11-17;1125;101;1024
2013-11-19;1123;101;1022
2013-11-21;1123;101;1022
2013-11-23;1124;101;1023
2013-11-25;1125;101;1024
2013-11-27;1122;100;1022
2013-11-29;1122;100;1022
2013-12-01;1118;100;1018
2013-12-03;1119;100;1019
2013-12-05;1118;100;1018
2013-12-07;1117;100;1017
2013-12-09;1117;100;1017
2013-12-11;1116;100;1016
2013-12-13;1115;100;1015
2013-12-15;1117;100;1017
2013-12-17;1116;100;1016
2013-12-19;1116;107;1009
2013-12-21;1118;107;1011
2013-12-23;1119;107;1012
2013-12-25;1121;107;1014
2013-12-27;1123;107;1016
2013-12-29;1126;107;1019
2013-12-31;1126;107;1019
2014-01-02;1123;107;1016
2014-01-04;1122;107;1015
2014-01-06;1122;107;1015
2014-01-08;1122;107;1015
2014-01-10;1125;107;1018
2014-01-12;1124;107;1017
2014-01-14;1126;107;1019
2014-01-16;1125;107;1018
2014-01-18;1125;108;1017
2014-01-20;1127;108;1019
2014-01-22;1128;112;1016
2014-01-24;1132;113;1019
2014-01-26;1131;119;1012
2014-01-28;1134;119;1015
2014-01-30;1136;119;1017
2014-02-01;1140;119;1021
2014-02-03;1143;120;1023
2014-02-05;1146;120;1026
2014-02-07;1147;119;1028
2014-02-09;1145;119;1026
2014-02-11;1141;119;1022
2014-02-13;1139;120;1019
2014-02-15;1143;119;1024
2014-02-17;1145;119;1026
2014-02-19;1149;120;1029
2014-02-21;1148;118;1030
2014-02-23;1149;119;1030
2014-02-25;1149;119;1030
2014-02-27;1149;119;1030
2014-03-01;1149;119;1030
2014-03-03;1149;119;1030
2014-03-05;1148;119;1029
2014-03-07;1150;120;1030
2014-03-09;1149;120;1029
2014-03-11;1149;120;1029
2014-03-13;1148;120;1028
2014-03-15;1148;120;1028
2014-03-17;1148;120;1028
2014-03-19;1147;120;1027
2014-03-21;1146;120;1026
2014-03-23;1147;120;1027
2014-03-25;1147;120;1027
2014-03-27;1145;120;1025
2014-03-29;1143;120;1023
2014-03-31;1144;120;1024
2014-04-02;1146;120;1026
2014-04-04;1147;120;1027
2014-04-06;1147;120;1027
2014-04-08;1147;118;1029
2014-04-10;1147;119;1028
2014-04-12;1147;119;1028
2014-04-14;1147;119;1028
2014-04-16;1147;119;1028
2014-04-18;1147;119;1028
2014-04-20;1148;119;1029
2014-04-22;1149;119;1030
2014-04-24;1149;119;1030
2014-04-26;1149;119;1030
2014-04-28;1147;119;1028
2014-04-30;1148;119;1029
2014-05-02;1150;119;1031
2014-05-04;1151;119;1032
