date;followers;following;fans
2013-04-17;3160;63;3097
2013-04-18;3162;63;3099
2013-04-19;3161;63;3098
2013-04-20;3161;63;3098
2013-04-21;3169;63;3106
2013-04-22;3175;63;3112
2013-04-23;3178;63;3115
2013-04-24;3184;64;3120
2013-04-26;3193;64;3129
2013-04-27;3200;64;3136
2013-04-28;3203;64;3139
2013-04-29;3206;64;3142
2013-04-30;3210;64;3146
2013-05-01;3211;64;3147
2013-05-02;3217;64;3153
2013-05-03;3217;64;3153
2013-05-04;3237;64;3173
2013-05-05;3246;65;3181
2013-05-07;3248;65;3183
2013-05-08;3257;65;3192
2013-05-09;3259;64;3195
2013-05-10;3262;63;3199
2013-05-11;3267;63;3204
2013-05-12;3272;63;3209
2013-05-13;3276;63;3213
2013-05-14;3278;63;3215
2013-05-15;3285;63;3222
2013-05-17;3288;63;3225
2013-05-18;3289;63;3226
2013-05-19;3298;63;3235
2013-05-20;3307;63;3244
2013-05-21;3318;63;3255
2013-05-22;3333;64;3269
2013-05-23;3347;65;3282
2013-05-24;3351;66;3285
2013-05-25;3364;67;3297
2013-05-27;3366;66;3300
2013-05-28;3371;66;3305
2013-05-29;3379;66;3313
2013-05-30;3384;66;3318
2013-05-31;3394;67;3327
2013-06-01;3401;67;3334
2013-06-02;3406;67;3339
2013-06-03;3420;68;3352
2013-06-04;3430;68;3362
2013-06-06;3444;68;3376
2013-06-07;3448;68;3380
2013-06-08;3449;68;3381
2013-06-09;3456;68;3388
2013-06-10;3471;68;3403
2013-06-11;3510;68;3442
2013-06-20;3625;68;3557
2013-06-21;3630;68;3562
2013-06-22;3634;68;3566
2013-06-23;3640;68;3572
2013-06-24;3657;68;3589
2013-06-26;3664;69;3595
2013-06-27;3674;69;3605
2013-06-28;3685;69;3616
2013-06-29;3693;69;3624
2013-06-30;3701;69;3632
2013-07-01;3715;69;3646
2013-07-02;3734;69;3665
2013-07-04;3748;69;3679
2013-07-05;3758;69;3689
2013-07-06;3777;69;3708
2013-07-07;3787;69;3718
2013-07-08;3796;69;3727
2013-07-09;3810;69;3741
2013-07-10;3819;69;3750
2013-07-11;3831;69;3762
2013-07-13;3848;69;3779
2013-07-14;3851;69;3782
2013-07-15;3852;69;3783
2013-07-16;3864;69;3795
2013-07-17;3873;69;3804
2013-07-18;3878;69;3809
2013-07-19;3888;69;3819
2013-07-20;3893;65;3828
2013-07-21;3902;65;3837
2013-07-23;3914;65;3849
2013-07-24;3922;65;3857
2013-07-25;3931;65;3866
2013-07-26;3934;65;3869
2013-07-27;3940;65;3875
2013-07-28;3948;65;3883
2013-07-29;3954;65;3889
2013-07-30;3965;65;3900
2013-08-01;3973;65;3908
2013-08-02;3977;65;3912
2013-08-03;3984;65;3919
2013-08-04;3986;65;3921
2013-08-05;3993;65;3928
2013-08-06;3998;65;3933
2013-08-07;4008;65;3943
2013-08-09;4027;65;3962
2013-08-10;4036;65;3971
2013-08-11;4039;65;3974
2013-08-12;4050;65;3985
2013-08-13;4058;65;3993
2013-08-14;4062;65;3997
2013-08-16;4110;65;4045
2013-08-17;4138;65;4073
2013-08-18;4142;65;4077
2013-08-19;4148;65;4083
2013-08-20;4155;65;4090
2013-08-21;4159;65;4094
2013-08-22;4206;65;4141
2013-08-24;4274;65;4209
2013-08-25;4309;65;4244
2013-08-26;4342;66;4276
2013-08-27;4357;66;4291
2013-08-28;4377;66;4311
2013-08-29;4386;66;4320
2013-08-30;4397;66;4331
2013-09-01;4402;66;4336
2013-09-02;4418;64;4354
2013-09-03;4444;63;4381
2013-09-04;4455;63;4392
2013-09-05;4468;63;4405
2013-09-06;4490;63;4427
2013-09-08;4505;63;4442
2013-09-09;4515;63;4452
2013-09-10;4521;63;4458
2013-09-11;4531;63;4468
2013-09-12;4547;63;4484
2013-09-13;4552;63;4489
2013-09-15;4591;65;4526
2013-09-16;4602;65;4537
2013-09-17;4609;65;4544
2013-09-18;4618;65;4553
2013-09-19;4621;65;4556
2013-09-20;4627;66;4561
2013-09-22;4642;66;4576
2013-09-23;4649;66;4583
2013-09-24;4656;66;4590
2013-09-25;4662;66;4596
2013-09-26;4671;66;4605
2013-09-27;4688;65;4623
2013-09-29;4705;65;4640
2013-09-30;4709;65;4644
2013-10-01;4716;65;4651
2013-10-02;4724;65;4659
2013-10-03;4734;64;4670
2013-10-05;4735;64;4671
2013-10-06;4738;64;4674
2013-10-07;4748;64;4684
2013-10-08;4759;64;4695
2013-10-09;4769;63;4706
2013-10-11;4774;63;4711
2013-10-12;4776;64;4712
2013-10-13;4779;64;4715
2013-10-14;4781;64;4717
2013-10-15;4789;64;4725
2013-10-17;4797;64;4733
2013-10-18;4805;64;4741
2013-10-19;4808;64;4744
2013-10-20;4814;64;4750
2013-10-21;4820;64;4756
2013-10-23;4829;64;4765
2013-10-24;4836;64;4772
2013-10-25;4844;65;4779
2013-10-26;4854;65;4789
2013-10-27;4855;65;4790
2013-10-28;4861;66;4795
2013-10-30;4859;65;4794
2013-10-31;4867;65;4802
2013-11-01;4871;65;4806
2013-11-02;4877;65;4812
2013-11-03;4885;62;4823
2013-11-05;4893;62;4831
2013-11-06;4896;62;4834
2013-11-07;4898;62;4836
2013-11-08;4905;62;4843
2013-11-10;4914;62;4852
2013-11-11;4926;62;4864
2013-11-12;4928;62;4866
2013-11-13;4935;62;4873
2013-11-14;4937;62;4875
2013-11-16;4940;62;4878
2013-11-17;4943;62;4881
2013-11-18;4948;62;4886
2013-11-19;4957;62;4895
2013-11-21;4959;62;4897
2013-11-22;4999;62;4937
2013-11-23;5007;62;4945
2013-11-24;5019;58;4961
2013-11-26;5025;58;4967
2013-11-27;5034;58;4976
2013-11-28;5038;58;4980
2013-11-29;5050;58;4992
2013-11-30;5057;58;4999
2013-12-02;5062;58;5004
2013-12-03;5061;58;5003
2013-12-04;5071;58;5013
2013-12-05;5072;58;5014
2013-12-06;5076;58;5018
2013-12-07;5082;58;5024
2013-12-08;5086;58;5028
2013-12-09;5092;58;5034
2013-12-10;5097;58;5039
2013-12-11;5107;59;5048
2013-12-12;5116;59;5057
2013-12-13;5124;59;5065
2013-12-14;5131;59;5072
2013-12-15;5133;59;5074
2013-12-16;5142;59;5083
2013-12-17;5148;59;5089
2013-12-18;5149;59;5090
2013-12-19;5153;59;5094
2013-12-20;5154;59;5095
2013-12-21;5157;59;5098
2013-12-22;5163;59;5104
2013-12-23;5167;59;5108
2013-12-24;5170;59;5111
2013-12-25;5173;59;5114
2013-12-26;5175;60;5115
2013-12-27;5177;62;5115
2013-12-28;5179;62;5117
2013-12-29;5180;62;5118
2013-12-30;5183;62;5121
2013-12-31;5192;62;5130
2014-01-01;5196;62;5134
2014-01-02;5199;62;5137
2014-01-03;5198;62;5136
2014-01-04;5197;62;5135
2014-01-05;5208;62;5146
2014-01-06;5212;62;5150
2014-01-07;5236;62;5174
2014-01-08;5252;62;5190
2014-01-09;5267;62;5205
2014-01-10;5271;62;5209
2014-01-11;5272;62;5210
2014-01-12;5279;62;5217
2014-01-13;5282;62;5220
2014-01-14;5284;62;5222
2014-01-15;5294;62;5232
2014-01-16;5296;62;5234
2014-01-17;5300;62;5238
2014-01-18;5305;62;5243
2014-01-19;5309;62;5247
2014-01-20;5318;62;5256
2014-01-21;5328;62;5266
2014-01-22;5336;62;5274
2014-01-23;5347;62;5285
2014-01-24;5351;62;5289
2014-01-25;5357;62;5295
2014-01-26;5358;62;5296
2014-01-27;5362;63;5299
2014-01-28;5368;63;5305
2014-01-30;5374;63;5311
2014-01-31;5376;63;5313
2014-02-01;5376;63;5313
2014-02-02;5378;63;5315
2014-02-03;5385;63;5322
2014-02-04;5393;63;5330
2014-02-05;5397;63;5334
2014-02-06;5406;63;5343
2014-02-07;5410;63;5347
2014-02-08;5415;64;5351
2014-02-09;5419;64;5355
2014-02-10;5420;64;5356
2014-02-11;5424;64;5360
2014-02-12;5435;64;5371
2014-02-13;5437;64;5373
2014-02-14;5443;64;5379
2014-02-15;5448;65;5383
2014-02-16;5450;65;5385
2014-02-17;5458;65;5393
2014-02-18;5462;65;5397
2014-02-19;5467;65;5402
2014-02-20;5468;65;5403
2014-02-21;5481;65;5416
2014-02-22;5483;65;5418
2014-02-23;5484;65;5419
2014-02-24;5486;64;5422
2014-02-25;5494;64;5430
2014-02-26;5494;64;5430
2014-02-27;5497;64;5433
2014-02-28;5504;64;5440
2014-03-01;5509;64;5445
2014-03-02;5514;64;5450
2014-03-03;5530;64;5466
2014-03-04;5541;64;5477
2014-03-05;5548;64;5484
2014-03-06;5553;64;5489
2014-03-07;5559;64;5495
2014-03-08;5569;64;5505
2014-03-09;5574;63;5511
2014-03-10;5575;63;5512
2014-03-11;5576;63;5513
2014-03-12;5583;62;5521
2014-03-13;5590;62;5528
2014-03-14;5596;62;5534
2014-03-15;5598;62;5536
2014-03-16;5603;62;5541
2014-03-17;5606;62;5544
2014-03-18;5607;62;5545
2014-03-19;5609;62;5547
2014-03-20;5612;62;5550
2014-03-21;5616;62;5554
2014-03-22;5618;62;5556
2014-03-23;5625;62;5563
2014-03-24;5632;62;5570
2014-03-25;5641;62;5579
2014-03-26;5645;62;5583
2014-03-27;5656;62;5594
2014-03-28;5662;64;5598
2014-03-29;5670;64;5606
2014-03-30;5679;64;5615
2014-03-31;5691;64;5627
2014-04-01;5697;64;5633
2014-04-02;5703;66;5637
2014-04-03;5712;66;5646
2014-04-04;5718;66;5652
2014-04-05;5730;66;5664
2014-04-06;5735;66;5669
2014-04-07;5736;66;5670
2014-04-08;5744;66;5678
2014-04-09;5747;66;5681
2014-04-10;5749;66;5683
2014-04-11;5753;66;5687
2014-04-12;5755;66;5689
2014-04-13;5762;66;5696
2014-04-14;5764;66;5698
2014-04-15;5774;66;5708
2014-04-16;5781;66;5715
2014-04-17;5786;66;5720
2014-04-18;5793;66;5727
2014-04-19;5805;66;5739
2014-04-20;5807;66;5741
2014-04-21;5813;66;5747
2014-04-22;5815;66;5749
2014-04-23;5818;66;5752
2014-04-24;5830;66;5764
2014-04-25;5846;66;5780
2014-04-26;5854;69;5785
2014-04-27;5860;69;5791
2014-04-28;5873;70;5803
2014-04-29;5878;70;5808
2014-04-30;5884;70;5814
2014-05-01;5890;70;5820
2014-05-02;5896;70;5826
2014-05-03;5897;70;5827
2014-05-04;5900;70;5830
2014-05-05;5905;70;5835
