date;followers;following;fans
2013-04-18;1202;77;1125
2013-04-20;1201;77;1124
2013-04-22;1199;77;1122
2013-04-24;1199;77;1122
2013-04-26;1196;76;1120
2013-04-28;1195;76;1119
2013-04-30;1195;75;1120
2013-05-02;1195;75;1120
2013-05-04;1194;75;1119
2013-05-06;1193;75;1118
2013-05-08;1196;75;1121
2013-05-10;1195;74;1121
2013-05-12;1193;75;1118
2013-05-14;1195;75;1120
2013-05-16;1194;75;1119
2013-05-18;1195;75;1120
2013-05-20;1194;75;1119
2013-05-22;1193;75;1118
2013-05-24;1191;75;1116
2013-05-26;1188;74;1114
2013-05-28;1188;74;1114
2013-05-30;1190;75;1115
2013-06-01;1189;76;1113
2013-06-03;1189;76;1113
2013-06-05;1189;76;1113
2013-06-07;1190;77;1113
2013-06-09;1190;77;1113
2013-06-11;1190;77;1113
2013-06-20;1187;76;1111
2013-06-22;1187;77;1110
2013-06-24;1187;77;1110
2013-06-26;1189;77;1112
2013-06-28;1187;77;1110
2013-06-30;1182;77;1105
2013-07-02;1184;78;1106
2013-07-04;1182;78;1104
2013-07-06;1181;78;1103
2013-07-08;1181;78;1103
2013-07-10;1181;79;1102
2013-07-12;1181;79;1102
2013-07-14;1183;79;1104
2013-07-16;1182;79;1103
2013-07-18;1183;79;1104
2013-07-20;1181;79;1102
2013-07-22;1180;78;1102
2013-07-24;1178;78;1100
2013-07-26;1179;77;1102
2013-07-28;1166;77;1089
2013-07-30;1166;73;1093
2013-08-01;1165;73;1092
2013-08-03;1167;74;1093
2013-08-05;1167;73;1094
2013-08-07;1164;73;1091
2013-08-09;1162;74;1088
2013-08-11;1161;74;1087
2013-08-13;1161;73;1088
2013-08-15;1161;72;1089
2013-08-17;1162;71;1091
2013-08-19;1161;71;1090
2013-08-21;1160;71;1089
2013-08-23;1161;71;1090
2013-08-25;1162;71;1091
2013-08-27;1161;73;1088
2013-08-29;1162;75;1087
2013-08-31;1161;79;1082
2013-09-02;1160;78;1082
2013-09-04;1159;80;1079
2013-09-06;1161;80;1081
2013-09-08;1159;80;1079
2013-09-10;1158;85;1073
2013-09-12;1160;87;1073
2013-09-14;1160;81;1079
2013-09-16;1160;81;1079
2013-09-18;1160;82;1078
2013-09-20;1159;82;1077
2013-09-22;1159;83;1076
2013-09-24;1159;83;1076
2013-09-26;1159;81;1078
2013-09-28;1160;82;1078
2013-09-30;1158;82;1076
2013-10-02;1157;82;1075
2013-10-04;1156;82;1074
2013-10-06;1156;82;1074
2013-10-08;1156;83;1073
2013-10-10;1156;84;1072
2013-10-12;1158;85;1073
2013-10-14;1159;86;1073
2013-10-16;1161;86;1075
2013-10-18;1160;83;1077
2013-10-20;1160;81;1079
2013-10-22;1160;79;1081
2013-10-24;1161;81;1080
2013-10-26;1161;82;1079
2013-10-28;1159;83;1076
2013-10-30;1157;84;1073
2013-11-01;1157;85;1072
2013-11-03;1157;86;1071
2013-11-05;1157;87;1070
2013-11-07;1156;86;1070
2013-11-09;1156;86;1070
2013-11-11;1155;86;1069
2013-11-13;1157;72;1085
2013-11-15;1156;72;1084
2013-11-17;1157;73;1084
2013-11-19;1154;73;1081
2013-11-21;1152;73;1079
2013-11-23;1151;72;1079
2013-11-25;1151;72;1079
2013-11-27;1151;73;1078
2013-11-29;1151;72;1079
2013-12-01;1151;72;1079
2013-12-03;1151;72;1079
2013-12-05;1149;72;1077
2013-12-07;1148;72;1076
2013-12-09;1148;71;1077
2013-12-11;1152;73;1079
2013-12-13;1150;73;1077
2013-12-15;1151;75;1076
2013-12-17;1150;75;1075
2013-12-19;1152;66;1086
2013-12-21;1151;50;1101
2013-12-23;1151;50;1101
2013-12-25;1153;51;1102
2013-12-27;1153;52;1101
2013-12-29;1154;52;1102
2013-12-31;1152;52;1100
2014-01-02;1153;52;1101
2014-01-04;1150;52;1098
2014-01-06;1155;52;1103
2014-01-08;1153;55;1098
2014-01-10;1153;55;1098
2014-01-12;1154;55;1099
2014-01-14;1153;53;1100
2014-01-16;1150;53;1097
2014-01-18;1150;51;1099
2014-01-20;1149;50;1099
2014-01-22;1148;51;1097
2014-01-24;1148;52;1096
2014-01-26;1149;53;1096
2014-01-28;1154;54;1100
2014-01-30;1155;57;1098
2014-02-01;1154;55;1099
2014-02-03;1152;54;1098
2014-02-05;1153;53;1100
2014-02-07;1156;58;1098
2014-02-09;1158;62;1096
2014-02-11;1160;62;1098
2014-02-13;1163;54;1109
2014-02-15;1163;54;1109
2014-02-17;1165;54;1111
2014-02-19;1164;55;1109
2014-02-21;1163;55;1108
2014-02-23;1163;54;1109
2014-02-25;1165;55;1110
2014-02-27;1166;53;1113
2014-03-01;1168;54;1114
2014-03-03;1169;54;1115
2014-03-05;1168;56;1112
2014-03-07;1168;57;1111
2014-03-09;1169;57;1112
2014-03-11;1169;58;1111
2014-03-13;1170;57;1113
2014-03-15;1171;58;1113
2014-03-17;1171;58;1113
2014-03-19;1166;59;1107
2014-03-21;1164;58;1106
2014-03-23;1164;60;1104
2014-03-25;1163;59;1104
2014-03-27;1164;59;1105
2014-03-29;1164;55;1109
2014-03-31;1165;53;1112
2014-04-02;1165;55;1110
2014-04-04;1166;55;1111
2014-04-06;1167;55;1112
2014-04-08;1164;56;1108
2014-04-10;1164;56;1108
2014-04-12;1161;53;1108
2014-04-14;1159;50;1109
2014-04-16;1160;50;1110
2014-04-18;1159;50;1109
2014-04-20;1161;50;1111
2014-04-22;1158;50;1108
2014-04-24;1157;50;1107
2014-04-26;1157;50;1107
2014-04-28;1154;50;1104
2014-04-30;1159;53;1106
2014-05-02;1161;54;1107
2014-05-04;1162;54;1108
