date;followers;following;fans
2013-04-18;2152;123;2029
2013-04-20;2157;123;2034
2013-04-22;2159;123;2036
2013-04-24;2160;123;2037
2013-04-26;2163;123;2040
2013-04-28;2166;123;2043
2013-04-30;2168;123;2045
2013-05-02;2172;123;2049
2013-05-04;2173;123;2050
2013-05-06;2174;123;2051
2013-05-08;2177;123;2054
2013-05-10;2175;123;2052
2013-05-12;2181;123;2058
2013-05-14;2187;123;2064
2013-05-16;2186;123;2063
2013-05-18;2187;123;2064
2013-05-20;2186;123;2063
2013-05-22;2186;123;2063
2013-05-24;2189;123;2066
2013-05-26;2190;123;2067
2013-05-28;2196;123;2073
2013-05-30;2197;124;2073
2013-06-01;2198;124;2074
2013-06-03;2200;124;2076
2013-06-05;2206;124;2082
2013-06-07;2210;124;2086
2013-06-09;2214;124;2090
2013-06-11;2217;124;2093
2013-06-20;2237;124;2113
2013-06-22;2239;124;2115
2013-06-24;2245;124;2121
2013-06-26;2252;124;2128
2013-06-28;2280;124;2156
2013-06-30;2293;124;2169
2013-07-02;2304;124;2180
2013-07-04;2321;124;2197
2013-07-06;2327;124;2203
2013-07-08;2331;124;2207
2013-07-10;2338;124;2214
2013-07-12;2341;124;2217
2013-07-14;2342;124;2218
2013-07-16;2345;124;2221
2013-07-18;2347;124;2223
2013-07-20;2355;124;2231
2013-07-22;2356;124;2232
2013-07-24;2354;124;2230
2013-07-26;2359;124;2235
2013-07-28;2363;124;2239
2013-07-30;2361;124;2237
2013-08-01;2368;124;2244
2013-08-03;2373;124;2249
2013-08-05;2388;124;2264
2013-08-07;2401;124;2277
2013-08-09;2407;124;2283
2013-08-11;2422;124;2298
2013-08-13;2428;124;2304
2013-08-15;2436;124;2312
2013-08-17;2450;124;2326
2013-08-19;2465;124;2341
2013-08-21;2470;124;2346
2013-08-23;2481;124;2357
2013-08-25;2491;124;2367
2013-08-27;2504;124;2380
2013-08-29;2513;124;2389
2013-08-31;2524;124;2400
2013-09-02;2535;124;2411
2013-09-04;2550;124;2426
2013-09-06;2559;124;2435
2013-09-08;2564;124;2440
2013-09-10;2577;124;2453
2013-09-12;2586;125;2461
2013-09-14;2600;125;2475
2013-09-16;2610;125;2485
2013-09-18;2610;125;2485
2013-09-20;2622;125;2497
2013-09-22;2627;125;2502
2013-09-23;2632;125;2507
2013-09-24;2635;126;2509
