date;followers;following;fans
2013-04-17;7145;5797;1348
2013-04-19;7169;5876;1293
2013-04-21;7193;5873;1320
2013-04-23;7181;5865;1316
2013-04-26;7104;5936;1168
2013-04-28;7117;6030;1087
2013-04-29;7126;6071;1055
2013-05-02;7132;6126;1006
2013-11-04;29360;8117;21243
2013-11-05;29350;8114;21236
2013-11-06;29339;8111;21228
2013-11-07;29318;8102;21216
2013-11-08;29315;8108;21207
2013-11-09;29300;8101;21199
2013-11-10;29280;8095;21185
2013-11-11;29248;8074;21174
2013-11-12;29234;8072;21162
2013-11-13;29208;8070;21138
2013-11-14;29182;8073;21109
2013-11-15;29139;8051;21088
2013-11-16;29131;8047;21084
2013-11-17;29111;8043;21068
2013-11-18;29100;8043;21057
2013-11-19;29094;8051;21043
2013-11-20;29076;8049;21027
2013-11-21;29072;8047;21025
2013-11-22;29072;8044;21028
2013-11-23;29057;8041;21016
2013-11-24;29051;8035;21016
2013-11-25;29040;8031;21009
2013-11-26;29033;8035;20998
2013-11-27;29013;8025;20988
2013-11-28;28994;8021;20973
2013-11-29;28976;8014;20962
2013-11-30;28969;8015;20954
2013-12-01;28959;8005;20954
2013-12-02;28939;8001;20938
2013-12-03;28937;8002;20935
2013-12-04;28797;7941;20856
2013-12-05;28757;7932;20825
2013-12-06;28743;7932;20811
2013-12-07;28717;7918;20799
2013-12-08;28697;7903;20794
2013-12-09;28691;7897;20794
2013-12-10;28713;7921;20792
2013-12-11;28684;7910;20774
2013-12-12;28659;7911;20748
2013-12-13;28663;7920;20743
2013-12-14;28661;7918;20743
2013-12-15;28652;7913;20739
2013-12-16;28641;7913;20728
2013-12-17;28639;7908;20731
2013-12-18;28623;7906;20717
2013-12-19;28616;7903;20713
2013-12-20;28616;7905;20711
2013-12-21;28603;7898;20705
2013-12-22;28592;7895;20697
2013-12-23;28591;7893;20698
2013-12-24;28580;7891;20689
2013-12-25;28559;7890;20669
2013-12-26;28557;7892;20665
2013-12-27;28548;7893;20655
2013-12-28;28539;7892;20647
2013-12-29;28536;7889;20647
2013-12-30;28535;7889;20646
2013-12-31;28530;7892;20638
2014-01-01;28523;7888;20635
2014-01-02;28524;7889;20635
2014-01-03;28517;7892;20625
2014-01-04;28514;7872;20642
2014-01-05;28508;7869;20639
2014-01-06;28493;7871;20622
2014-01-07;28490;7874;20616
2014-01-08;28479;7872;20607
2014-01-09;28476;7872;20604
2014-01-10;28477;7872;20605
2014-01-11;28473;7876;20597
2014-01-12;28464;7876;20588
2014-01-13;28457;7876;20581
2014-01-14;28451;7876;20575
2014-01-15;28442;7851;20591
2014-01-16;28433;7849;20584
2014-01-17;28426;7849;20577
2014-01-18;28415;7847;20568
2014-01-19;28407;7846;20561
2014-01-20;28400;7844;20556
2014-01-21;28396;7846;20550
2014-01-22;28393;7844;20549
2014-01-23;28393;7844;20549
2014-01-24;28390;7842;20548
2014-01-25;28386;7843;20543
2014-01-26;28379;7843;20536
2014-01-27;28370;7841;20529
2014-01-28;28370;7843;20527
2014-01-29;28366;7846;20520
2014-01-30;28366;7846;20520
2014-01-31;28362;7821;20541
2014-02-01;28358;7820;20538
2014-02-02;28354;7817;20537
2014-02-03;28348;7817;20531
2014-02-04;28343;7816;20527
2014-02-05;28313;7816;20497
2014-02-06;28292;7817;20475
2014-02-07;28284;7814;20470
2014-02-08;28272;7814;20458
2014-02-09;28269;7814;20455
2014-02-10;28257;7812;20445
2014-02-11;28265;7817;20448
2014-02-12;28252;7818;20434
2014-02-13;28243;7816;20427
2014-02-14;28242;7815;20427
2014-02-15;28213;7792;20421
2014-02-16;28208;7788;20420
2014-02-17;28210;7789;20421
2014-02-18;28204;7792;20412
2014-02-19;28196;7791;20405
2014-02-20;28189;7789;20400
2014-02-21;28189;7794;20395
2014-02-22;28183;7795;20388
2014-02-23;28177;7795;20382
2014-02-24;28123;7794;20329
2014-02-25;28118;7799;20319
2014-02-26;28109;7798;20311
2014-02-27;28110;7798;20312
2014-02-28;28107;7797;20310
2014-03-01;28105;7798;20307
2014-03-02;28099;7796;20303
2014-03-03;28095;7795;20300
