date;followers;following;fans
2013-04-18;1249;63;1186
2013-04-20;1248;63;1185
2013-04-22;1248;63;1185
2013-04-24;1249;63;1186
2013-04-26;1247;63;1184
2013-04-28;1247;63;1184
2013-04-30;1246;63;1183
2013-05-02;1246;63;1183
2013-05-04;1244;63;1181
2013-05-06;1244;63;1181
2013-05-08;1244;63;1181
2013-05-10;1245;63;1182
2013-05-12;1241;63;1178
2013-05-14;1239;63;1176
2013-05-16;1243;63;1180
2013-05-18;1244;63;1181
2013-05-20;1245;63;1182
2013-05-22;1243;63;1180
2013-05-24;1241;63;1178
2013-05-26;1241;63;1178
2013-05-28;1240;63;1177
2013-05-30;1240;63;1177
2013-06-01;1241;63;1178
2013-06-03;1242;63;1179
2013-06-05;1240;63;1177
2013-06-07;1241;63;1178
2013-06-09;1242;63;1179
2013-06-11;1242;63;1179
2013-06-20;1240;63;1177
2013-06-22;1240;63;1177
2013-06-24;1240;63;1177
2013-06-26;1240;63;1177
2013-06-28;1240;63;1177
2013-06-30;1240;63;1177
2013-07-02;1240;63;1177
2013-07-04;1240;63;1177
2013-07-06;1239;63;1176
2013-07-08;1239;63;1176
2013-07-10;1238;63;1175
2013-07-12;1239;63;1176
2013-07-14;1239;63;1176
2013-07-16;1238;63;1175
2013-07-18;1238;63;1175
2013-07-20;1239;63;1176
2013-07-22;1240;63;1177
2013-07-24;1243;63;1180
2013-07-26;1242;63;1179
2013-07-28;1241;63;1178
2013-07-30;1242;63;1179
2013-08-01;1242;63;1179
2013-08-03;1241;63;1178
2013-08-05;1241;63;1178
2013-08-07;1240;63;1177
2013-08-09;1240;63;1177
2013-08-11;1240;63;1177
2013-08-13;1240;63;1177
2013-08-15;1240;63;1177
2013-08-17;1240;63;1177
2013-08-19;1239;63;1176
2013-08-21;1239;63;1176
2013-08-23;1239;63;1176
2013-08-25;1239;63;1176
2013-08-27;1239;63;1176
2013-08-29;1238;63;1175
2013-08-31;1238;63;1175
2013-09-02;1238;63;1175
2013-09-04;1237;63;1174
2013-09-06;1238;63;1175
2013-09-08;1238;63;1175
2013-09-10;1238;63;1175
2013-09-12;1238;63;1175
2013-09-14;1238;63;1175
2013-09-16;1238;63;1175
2013-09-18;1238;63;1175
2013-09-20;1238;63;1175
2013-09-22;1238;63;1175
2013-09-24;1237;63;1174
2013-09-26;1237;63;1174
2013-09-28;1237;63;1174
2013-09-29;1238;63;1175
2013-10-02;1238;63;1175
2013-10-04;1238;63;1175
2013-10-06;1238;63;1175
2013-10-08;1238;63;1175
2013-10-10;1238;63;1175
2013-10-12;1237;63;1174
2013-10-14;1237;63;1174
2013-10-16;1237;63;1174
2013-10-18;1237;63;1174
2013-10-20;1238;63;1175
2013-10-22;1238;63;1175
2013-10-24;1238;63;1175
2013-10-26;1237;63;1174
2013-10-28;1237;63;1174
2013-10-30;1235;63;1172
2013-11-01;1234;63;1171
2013-11-03;1234;63;1171
2013-11-05;1233;63;1170
2013-11-07;1233;63;1170
2013-11-09;1232;63;1169
2013-11-11;1232;63;1169
2013-11-13;1232;63;1169
2013-11-15;1233;63;1170
2013-11-17;1233;63;1170
2013-11-19;1233;63;1170
2013-11-21;1233;63;1170
2013-11-23;1234;63;1171
2013-11-25;1233;63;1170
2013-11-27;1232;63;1169
2013-11-29;1230;63;1167
2013-12-01;1230;63;1167
2013-12-03;1229;63;1166
2013-12-05;1229;63;1166
2013-12-07;1229;63;1166
2013-12-09;1228;63;1165
2013-12-11;1229;63;1166
2013-12-13;1229;63;1166
2013-12-15;1229;63;1166
2013-12-17;1229;63;1166
2013-12-19;1229;63;1166
2013-12-21;1229;63;1166
2013-12-23;1229;63;1166
2013-12-25;1229;63;1166
2013-12-27;1229;63;1166
2013-12-29;1229;63;1166
2013-12-31;1229;63;1166
2014-01-02;1229;63;1166
2014-01-04;1230;63;1167
2014-01-06;1230;63;1167
2014-01-08;1229;63;1166
2014-01-10;1229;63;1166
2014-01-12;1229;63;1166
2014-01-14;1229;63;1166
2014-01-16;1230;63;1167
2014-01-18;1231;63;1168
2014-01-20;1231;63;1168
2014-01-22;1231;63;1168
2014-01-24;1229;63;1166
2014-01-26;1229;63;1166
2014-01-28;1231;63;1168
2014-01-30;1231;63;1168
2014-02-01;1233;63;1170
2014-02-03;1235;63;1172
2014-02-05;1236;63;1173
2014-02-07;1236;63;1173
2014-02-09;1235;63;1172
2014-02-11;1234;63;1171
2014-02-13;1235;63;1172
2014-02-15;1234;63;1171
2014-02-17;1234;63;1171
2014-02-19;1234;63;1171
2014-02-21;1235;63;1172
2014-02-23;1234;63;1171
2014-02-25;1234;63;1171
2014-02-27;1234;63;1171
2014-03-01;1234;63;1171
2014-03-03;1233;63;1170
2014-03-05;1234;63;1171
2014-03-07;1234;63;1171
2014-03-09;1233;63;1170
2014-03-11;1234;63;1171
2014-03-13;1233;63;1170
2014-03-15;1231;63;1168
2014-03-17;1232;63;1169
2014-03-19;1234;63;1171
2014-03-21;1234;63;1171
2014-03-23;1234;63;1171
2014-03-25;1233;63;1170
2014-03-27;1233;63;1170
2014-03-29;1234;63;1171
2014-03-31;1235;63;1172
2014-04-02;1235;63;1172
2014-04-04;1234;63;1171
2014-04-06;1234;63;1171
2014-04-08;1234;63;1171
2014-04-10;1234;63;1171
2014-04-12;1236;63;1173
2014-04-14;1237;63;1174
2014-04-16;1238;63;1175
2014-04-18;1237;63;1174
2014-04-20;1237;63;1174
2014-04-22;1236;63;1173
2014-04-24;1234;63;1171
2014-04-26;1234;63;1171
2014-04-28;1234;63;1171
2014-04-30;1231;63;1168
2014-05-02;1231;63;1168
2014-05-04;1231;63;1168
