date;followers;following;fans
2013-04-18;1311;47;1264
2013-04-20;1314;47;1267
2013-04-22;1315;47;1268
2013-04-24;1332;47;1285
2013-04-26;1340;47;1293
2013-04-28;1342;49;1293
2013-04-30;1345;49;1296
2013-05-02;1355;49;1306
2013-05-04;1359;49;1310
2013-05-06;1366;49;1317
2013-05-08;1368;49;1319
2013-05-10;1372;49;1323
2013-05-12;1361;48;1313
2013-05-14;1364;48;1316
2013-05-16;1384;49;1335
2013-05-18;1388;49;1339
2013-05-20;1394;49;1345
2013-05-22;1396;49;1347
2013-05-24;1398;49;1349
2013-05-26;1413;49;1364
2013-05-28;1421;49;1372
2013-05-30;1423;49;1374
2013-06-01;1425;50;1375
2013-06-03;1430;50;1380
2013-06-05;1437;50;1387
2013-06-07;1439;50;1389
2013-06-09;1436;50;1386
2013-06-11;1440;50;1390
2013-06-20;1455;50;1405
2013-06-22;1454;50;1404
2013-06-24;1457;50;1407
2013-06-26;1465;50;1415
2013-06-28;1475;50;1425
2013-06-30;1484;50;1434
2013-07-02;1494;50;1444
2013-07-04;1499;78;1421
2013-07-06;1507;80;1427
2013-07-08;1519;80;1439
2013-07-10;1522;80;1442
2013-07-12;1524;80;1444
2013-07-14;1528;80;1448
2013-07-16;1539;80;1459
2013-07-18;1551;80;1471
2013-07-20;1556;80;1476
2013-07-22;1560;83;1477
2013-07-24;1567;93;1474
2013-07-26;1581;93;1488
2013-07-28;1594;93;1501
2013-07-30;1595;94;1501
2013-08-01;1604;94;1510
2013-08-03;1611;95;1516
2013-08-05;1614;95;1519
2013-08-07;1622;95;1527
2013-08-09;1625;95;1530
2013-08-11;1633;95;1538
2013-08-13;1635;95;1540
2013-08-15;1641;96;1545
2013-08-17;1644;96;1548
2013-08-19;1644;96;1548
2013-08-21;1654;96;1558
2013-08-23;1658;97;1561
2013-08-25;1666;97;1569
2013-08-27;1671;97;1574
2013-08-29;1677;97;1580
2013-08-31;1696;97;1599
2013-09-02;1698;97;1601
2013-09-04;1704;97;1607
2013-09-06;1706;97;1609
2013-09-08;1711;97;1614
2013-09-10;1716;159;1557
2013-09-12;1721;159;1562
2013-09-14;1721;159;1562
2013-09-16;1723;159;1564
2013-09-18;1733;159;1574
2013-09-20;1733;159;1574
2013-09-22;1732;159;1573
2013-09-24;1731;159;1572
2013-09-26;1737;159;1578
2013-09-28;1744;159;1585
2013-09-30;1741;159;1582
2013-10-02;1744;159;1585
2013-10-04;1747;159;1588
2013-10-06;1748;159;1589
2013-10-08;1751;159;1592
2013-10-10;1752;159;1593
2013-10-12;1753;159;1594
