date;followers;following;fans
2013-04-18;9476;265;9211
2013-04-20;9476;266;9210
2013-04-21;9475;265;9210
2013-04-22;9471;265;9206
2013-04-23;9475;266;9209
2013-04-25;9466;267;9199
2013-04-26;9469;268;9201
2013-04-27;9473;268;9205
2013-04-28;9483;267;9216
2013-04-29;9478;270;9208
2013-05-01;9480;272;9208
2013-05-02;9475;270;9205
2013-05-03;9477;270;9207
2013-05-04;9469;271;9198
2013-05-06;9472;271;9201
2013-05-07;9471;271;9200
2013-05-08;9473;272;9201
2013-05-09;9472;272;9200
2013-05-11;9468;273;9195
2013-05-12;9469;273;9196
2013-05-13;9468;273;9195
2013-05-14;9467;274;9193
2013-05-15;9469;274;9195
2013-05-16;9470;274;9196
2013-05-17;9471;276;9195
2013-05-18;9471;276;9195
2013-05-19;9472;278;9194
2013-05-20;9472;279;9193
2013-05-21;9470;279;9191
2013-05-22;9473;279;9194
2013-05-23;9474;279;9195
2013-05-24;9475;279;9196
2013-05-25;9473;279;9194
2013-05-26;9473;279;9194
2013-05-27;9467;279;9188
2013-05-28;9467;279;9188
2013-05-29;9460;280;9180
2013-05-30;9461;280;9181
2013-05-31;9463;280;9183
2013-06-01;9456;279;9177
2013-06-02;9448;279;9169
2013-06-03;9443;279;9164
2013-06-04;9444;280;9164
2013-06-05;9442;278;9164
2013-06-06;9438;278;9160
2013-06-07;9441;278;9163
2013-06-08;9441;278;9163
2013-06-09;9440;280;9160
2013-06-10;9430;280;9150
2013-06-11;9416;281;9135
2013-06-20;9400;285;9115
2013-06-21;9401;284;9117
2013-06-22;9401;284;9117
2013-06-23;9400;285;9115
2013-06-24;9398;286;9112
2013-06-25;9401;286;9115
2013-06-26;9406;285;9121
2013-06-27;9406;285;9121
2013-06-28;9409;285;9124
2013-06-29;9408;286;9122
2013-06-30;9402;286;9116
2013-07-02;9399;286;9113
2013-07-03;9397;286;9111
2013-07-04;9394;284;9110
2013-07-05;9394;284;9110
2013-07-06;9391;287;9104
2013-07-07;9394;288;9106
2013-07-08;9391;288;9103
2013-07-10;9386;246;9140
2013-07-11;9380;244;9136
2013-07-12;9384;245;9139
2013-07-13;9386;245;9141
2013-07-14;9384;245;9139
2013-07-15;9384;245;9139
2013-07-16;9382;245;9137
2013-07-17;9378;244;9134
2013-07-18;9374;246;9128
2013-07-19;9374;246;9128
2013-07-20;9365;246;9119
2013-07-21;9363;246;9117
2013-07-22;9359;246;9113
2013-07-23;9360;246;9114
2013-07-24;9352;245;9107
2013-07-25;9347;245;9102
2013-07-26;9349;245;9104
2013-07-27;9344;245;9099
2013-07-28;9343;246;9097
2013-07-29;9339;246;9093
2013-07-30;9342;246;9096
2013-07-31;9342;247;9095
2013-08-01;9340;247;9093
2013-08-02;9339;247;9092
2013-08-03;9337;247;9090
2013-08-04;9333;247;9086
2013-08-05;9329;247;9082
2013-08-06;9334;247;9087
2013-08-07;9330;247;9083
2013-08-08;9327;247;9080
2013-08-09;9324;247;9077
2013-08-10;9327;247;9080
2013-08-11;9326;248;9078
2013-08-12;9324;250;9074
2013-08-13;9321;250;9071
2013-08-14;9319;250;9069
2013-08-15;9320;250;9070
2013-08-16;9314;249;9065
2013-08-17;9305;249;9056
2013-08-18;9304;248;9056
2013-08-19;9301;249;9052
2013-08-20;9298;249;9049
2013-08-21;9299;249;9050
2013-08-22;9298;249;9049
2013-08-23;9292;249;9043
2013-08-24;9289;251;9038
2013-08-25;9288;251;9037
2013-08-26;9287;251;9036
2013-08-27;9286;251;9035
2013-08-28;9290;251;9039
2013-08-29;9291;253;9038
2013-08-30;9292;253;9039
2013-08-31;9291;253;9038
2013-09-01;9285;253;9032
2013-09-02;9286;254;9032
2013-09-03;9280;254;9026
2013-09-04;9275;254;9021
2013-09-05;9274;254;9020
2013-09-06;9274;254;9020
2013-09-07;9267;255;9012
2013-09-08;9261;255;9006
2013-09-09;9262;255;9007
2013-09-10;9259;255;9004
2013-09-11;9254;254;9000
2013-09-12;9254;254;9000
2013-09-13;9252;255;8997
2013-09-14;9250;255;8995
2013-09-15;9247;256;8991
2013-09-16;9247;256;8991
2013-09-17;9241;256;8985
2013-09-18;9244;258;8986
2013-09-19;9244;258;8986
2013-09-20;9237;259;8978
2013-09-21;9235;259;8976
2013-09-22;9236;259;8977
2013-09-23;9232;260;8972
2013-09-24;9229;260;8969
2013-09-25;9225;260;8965
2013-09-26;9226;260;8966
2013-09-27;9227;260;8967
2013-09-28;9225;260;8965
2013-09-29;9220;259;8961
2013-10-01;9217;263;8954
2013-10-02;9217;263;8954
2013-10-03;9215;263;8952
2013-10-04;9211;263;8948
2013-10-05;9216;264;8952
2013-10-06;9206;268;8938
2013-10-07;9202;269;8933
2013-10-08;9199;270;8929
2013-10-09;9197;270;8927
2013-10-10;9199;270;8929
2013-10-11;9200;270;8930
2013-10-12;9194;269;8925
2013-10-13;9196;269;8927
2013-10-14;9192;270;8922
2013-10-15;9188;270;8918
2013-10-16;9187;270;8917
2013-10-17;9187;270;8917
2013-10-18;9186;270;8916
2013-10-19;9184;270;8914
2013-10-20;9181;270;8911
2013-10-21;9183;270;8913
2013-10-22;9179;270;8909
2013-10-23;9175;270;8905
2013-10-24;9167;270;8897
2013-10-25;9165;270;8895
2013-10-26;9164;270;8894
2013-10-27;9163;270;8893
2013-10-28;9161;270;8891
2013-10-29;9155;270;8885
2013-10-30;9157;302;8855
2013-10-31;9159;302;8857
2013-11-01;9166;302;8864
2013-11-02;9168;302;8866
2013-11-04;9161;302;8859
2013-11-05;9157;302;8855
2013-11-06;9154;301;8853
2013-11-07;9150;301;8849
2013-11-08;9147;301;8846
2013-11-09;9146;302;8844
2013-11-10;9141;302;8839
2013-11-11;9143;302;8841
2013-11-12;9135;303;8832
2013-11-13;9133;303;8830
2013-11-14;9134;304;8830
2013-11-15;9127;304;8823
2013-11-16;9124;304;8820
2013-11-17;9120;304;8816
2013-11-18;9116;304;8812
2013-11-19;9125;305;8820
2013-11-20;9123;305;8818
2013-11-21;9124;306;8818
2013-11-22;9124;306;8818
2013-11-23;9120;306;8814
2013-11-25;9110;309;8801
2013-11-26;9106;309;8797
2013-11-27;9107;311;8796
2013-11-28;9102;312;8790
2013-11-29;9099;315;8784
2013-11-30;9096;315;8781
2013-12-01;9085;316;8769
2013-12-02;9087;316;8771
2013-12-03;9089;317;8772
2013-12-04;9091;317;8774
2013-12-05;9084;317;8767
2013-12-06;9078;317;8761
2013-12-07;9079;317;8762
2013-12-08;9079;318;8761
2013-12-09;9076;320;8756
2013-12-11;9069;320;8749
2013-12-12;9066;321;8745
2013-12-13;9068;322;8746
2013-12-14;9067;322;8745
2013-12-15;9067;322;8745
2013-12-16;9067;323;8744
2013-12-17;9064;322;8742
2013-12-18;9062;323;8739
2013-12-19;9063;323;8740
2013-12-20;9063;323;8740
2013-12-21;9062;323;8739
2013-12-22;9060;323;8737
2013-12-23;9056;323;8733
2013-12-24;9053;323;8730
2013-12-25;9052;324;8728
2013-12-26;9044;324;8720
2013-12-27;9040;324;8716
2013-12-28;9039;323;8716
2013-12-29;9037;323;8714
2013-12-30;9034;322;8712
2013-12-31;9030;321;8709
2014-01-01;9029;321;8708
2014-01-02;9032;321;8711
2014-01-03;9035;322;8713
2014-01-04;9032;322;8710
2014-01-05;9030;322;8708
2014-01-06;9022;322;8700
2014-01-07;9022;322;8700
2014-01-08;9022;322;8700
2014-01-09;9018;324;8694
2014-01-10;9018;324;8694
2014-01-11;9014;324;8690
2014-01-12;9012;324;8688
2014-01-13;9014;324;8690
2014-01-14;9009;325;8684
2014-01-15;9004;325;8679
2014-01-16;9002;325;8677
2014-01-17;9000;325;8675
2014-01-18;8997;328;8669
2014-01-19;8994;328;8666
2014-01-20;8991;328;8663
2014-01-21;8983;328;8655
2014-01-22;8980;328;8652
2014-01-23;8977;328;8649
2014-01-24;8975;328;8647
2014-01-25;8975;328;8647
2014-01-26;8974;328;8646
2014-01-27;8973;328;8645
2014-01-28;8970;328;8642
2014-01-30;8968;328;8640
2014-01-31;8968;328;8640
2014-02-01;8965;328;8637
2014-02-02;8965;328;8637
2014-02-03;8962;328;8634
2014-02-04;8962;328;8634
2014-02-05;8957;330;8627
2014-02-06;8954;329;8625
2014-02-07;8950;329;8621
2014-02-08;8949;336;8613
2014-02-09;8949;336;8613
2014-02-10;8944;335;8609
2014-02-11;8939;335;8604
2014-02-12;8935;335;8600
2014-02-13;8935;335;8600
2014-02-14;8936;335;8601
2014-02-15;8935;335;8600
2014-02-16;8933;335;8598
2014-02-17;8930;335;8595
2014-02-18;8931;336;8595
2014-02-19;8931;337;8594
2014-02-20;8927;337;8590
2014-02-21;8924;338;8586
2014-02-22;8921;338;8583
2014-02-23;8919;338;8581
2014-02-24;8915;338;8577
2014-02-25;8914;338;8576
2014-02-26;8913;338;8575
2014-02-27;8912;339;8573
2014-02-28;8910;339;8571
2014-03-01;8909;340;8569
2014-03-02;8909;341;8568
2014-03-03;8907;343;8564
2014-03-04;8905;343;8562
2014-03-05;8901;343;8558
2014-03-06;8897;343;8554
2014-03-07;8900;344;8556
2014-03-08;8898;344;8554
2014-03-09;8898;345;8553
2014-03-10;8898;345;8553
2014-03-11;8896;345;8551
2014-03-12;8897;346;8551
2014-03-13;8897;346;8551
2014-03-14;8897;346;8551
2014-03-15;8894;346;8548
2014-03-16;8893;346;8547
2014-03-17;8891;346;8545
2014-03-18;8889;345;8544
2014-03-19;8888;345;8543
2014-03-20;8886;345;8541
2014-03-21;8889;345;8544
2014-03-22;8887;345;8542
2014-03-23;8885;354;8531
2014-03-24;8887;354;8533
2014-03-25;8886;354;8532
2014-03-26;8887;354;8533
2014-03-27;8884;354;8530
2014-03-28;8886;354;8532
2014-03-29;8883;354;8529
2014-03-30;8883;354;8529
2014-03-31;8880;354;8526
2014-04-01;8877;355;8522
2014-04-02;8872;355;8517
2014-04-03;8872;358;8514
2014-04-04;8869;358;8511
2014-04-05;8869;358;8511
2014-04-06;8867;358;8509
2014-04-07;8865;358;8507
2014-04-08;8867;358;8509
2014-04-09;8865;358;8507
2014-04-10;8863;358;8505
2014-04-11;8862;358;8504
2014-04-12;8860;358;8502
2014-04-13;8855;359;8496
2014-04-14;8849;359;8490
2014-04-15;8848;359;8489
2014-04-16;8847;359;8488
2014-04-17;8845;359;8486
2014-04-18;8842;358;8484
2014-04-19;8841;358;8483
2014-04-20;8843;358;8485
2014-04-21;8840;358;8482
2014-04-22;8839;359;8480
2014-04-23;8839;361;8478
2014-04-24;8838;361;8477
2014-04-25;8838;362;8476
2014-04-26;8839;362;8477
2014-04-27;8836;363;8473
2014-04-28;8835;363;8472
2014-04-29;8833;363;8470
2014-04-30;8831;364;8467
2014-05-01;8828;365;8463
2014-05-02;8827;365;8462
2014-05-03;8824;365;8459
2014-05-04;8819;366;8453
2014-05-05;8815;366;8449
