date;followers;following;fans
2013-04-18;3811;404;3407
2013-04-19;3819;408;3411
2013-04-20;3825;408;3417
2013-04-21;3829;408;3421
2013-04-22;3828;408;3420
2013-04-23;3831;411;3420
2013-04-24;3838;411;3427
2013-04-25;3851;411;3440
2013-04-26;3863;413;3450
2013-04-27;3874;413;3461
2013-04-29;3881;413;3468
2013-04-30;3886;416;3470
2013-05-01;3897;416;3481
2013-05-02;3915;416;3499
2013-05-03;3925;415;3510
2013-05-04;3924;416;3508
2013-05-05;3930;416;3514
2013-05-06;3932;416;3516
2013-05-07;3936;416;3520
2013-05-08;3945;416;3529
2013-05-09;3952;416;3536
2013-05-11;3946;411;3535
2013-05-12;3954;411;3543
2013-05-13;3957;411;3546
2013-05-14;3979;411;3568
2013-05-15;3985;413;3572
2013-05-16;3994;415;3579
2013-05-17;4000;415;3585
2013-05-18;4005;416;3589
2013-05-19;4017;416;3601
2013-05-20;4034;417;3617
2013-05-22;4046;417;3629
2013-05-23;4060;417;3643
2013-05-24;4068;417;3651
2013-05-25;4079;418;3661
2013-05-26;4093;418;3675
2013-05-27;4100;418;3682
2013-05-28;4108;418;3690
2013-05-29;4129;419;3710
2013-05-31;4136;419;3717
2013-06-01;4140;419;3721
2013-06-02;4148;419;3729
2013-06-03;4153;419;3734
2013-06-04;4158;420;3738
2013-06-05;4157;420;3737
2013-06-06;4163;420;3743
2013-06-07;4170;420;3750
2013-06-09;4172;420;3752
2013-06-10;4174;420;3754
2013-06-11;4176;420;3756
2013-06-20;4220;420;3800
2013-06-21;4229;420;3809
2013-06-22;4234;423;3811
2013-06-23;4235;423;3812
2013-06-24;4249;423;3826
2013-06-26;4257;426;3831
2013-06-27;4264;431;3833
2013-06-28;4267;431;3836
2013-06-29;4276;432;3844
2013-06-30;4281;432;3849
2013-07-01;4283;432;3851
2013-07-02;4283;431;3852
2013-07-03;4293;433;3860
2013-07-04;4299;433;3866
2013-07-05;4311;433;3878
2013-07-07;4315;433;3882
2013-07-08;4326;433;3893
2013-07-09;4331;434;3897
2013-07-10;4341;434;3907
2013-07-11;4342;436;3906
2013-07-12;4351;436;3915
2013-07-13;4357;437;3920
2013-07-14;4358;437;3921
2013-07-16;4366;440;3926
2013-07-17;4374;440;3934
2013-07-18;4379;440;3939
2013-07-19;4383;442;3941
2013-07-20;4387;444;3943
2013-07-21;4392;443;3949
2013-07-22;4400;443;3957
2013-07-23;4401;443;3958
2013-07-24;4406;443;3963
2013-07-26;4412;443;3969
2013-07-27;4411;443;3968
2013-07-28;4413;443;3970
2013-07-29;4416;443;3973
2013-07-30;4419;443;3976
2013-07-31;4422;443;3979
2013-08-01;4434;443;3991
2013-08-03;4441;443;3998
2013-08-04;4440;443;3997
2013-08-05;4446;441;4005
2013-08-06;4452;441;4011
2013-08-07;4455;441;4014
2013-08-08;4460;441;4019
2013-08-09;4468;441;4027
2013-08-11;4473;441;4032
2013-08-12;4476;441;4035
2013-08-13;4482;440;4042
2013-08-14;4487;441;4046
2013-08-15;4487;442;4045
2013-08-16;4491;443;4048
2013-08-17;4494;444;4050
2013-08-18;4502;444;4058
2013-08-20;4511;444;4067
2013-08-21;4515;444;4071
2013-08-22;4519;444;4075
2013-08-23;4523;444;4079
2013-08-24;4528;444;4084
2013-08-25;4534;444;4090
2013-08-27;4542;444;4098
2013-08-28;4542;444;4098
2013-08-29;4550;445;4105
2013-08-30;4560;448;4112
2013-08-31;4565;448;4117
2013-09-01;4578;450;4128
2013-09-03;4587;451;4136
2013-09-04;4594;452;4142
2013-09-05;4599;452;4147
2013-09-06;4604;453;4151
2013-09-07;4610;453;4157
2013-09-08;4616;453;4163
2013-09-09;4624;453;4171
2013-09-11;4626;452;4174
2013-09-12;4628;452;4176
2013-09-13;4630;452;4178
2013-09-14;4638;452;4186
2013-09-15;4644;452;4192
2013-09-16;4652;453;4199
2013-09-18;4655;453;4202
2013-09-19;4659;453;4206
2013-09-20;4663;453;4210
2013-09-21;4668;453;4215
2013-09-22;4669;452;4217
2013-09-24;4677;452;4225
2013-09-25;4681;452;4229
2013-09-26;4686;453;4233
2013-09-27;4686;452;4234
2013-09-28;4690;452;4238
2013-09-29;4694;452;4242
2013-09-30;4701;452;4249
2013-10-02;4704;452;4252
2013-10-03;4712;452;4260
2013-10-04;4714;452;4262
2013-10-05;4719;452;4267
2013-10-06;4723;452;4271
2013-10-08;4735;452;4283
2013-10-09;4734;452;4282
2013-10-10;4742;452;4290
2013-10-11;4745;452;4293
2013-10-12;4750;452;4298
2013-10-14;4757;452;4305
2013-10-15;4758;452;4306
2013-10-16;4760;452;4308
2013-10-17;4761;453;4308
2013-10-18;4767;455;4312
2013-10-20;4770;455;4315
2013-10-21;4768;455;4313
2013-10-22;4773;455;4318
2013-10-23;4776;455;4321
2013-10-24;4782;454;4328
2013-10-26;4781;454;4327
2013-10-27;4782;454;4328
2013-10-28;4786;454;4332
2013-10-29;4793;454;4339
2013-10-31;4795;454;4341
2013-11-01;4805;454;4351
2013-11-02;4810;455;4355
2013-11-03;4816;455;4361
2013-11-04;4839;455;4384
2013-11-06;4860;455;4405
2013-11-07;4863;455;4408
2013-11-08;4872;454;4418
2013-11-09;4878;454;4424
2013-11-10;4890;454;4436
2013-11-12;4893;455;4438
2013-11-13;4897;455;4442
2013-11-14;4905;455;4450
2013-11-15;4919;455;4464
2013-11-17;4934;455;4479
2013-11-18;4944;455;4489
2013-11-19;4961;454;4507
2013-11-20;4965;454;4511
2013-11-21;4987;455;4532
2013-11-23;4992;456;4536
2013-11-24;4995;456;4539
2013-11-25;5008;456;4552
2013-11-26;5021;458;4563
2013-11-28;5030;459;4571
2013-11-29;5043;459;4584
2013-11-30;5053;459;4594
2013-12-01;5074;459;4615
2013-12-03;5092;459;4633
2013-12-04;5103;459;4644
2013-12-05;5114;459;4655
2013-12-06;5133;459;4674
2013-12-07;5147;459;4688
2013-12-09;5153;459;4694
2013-12-10;5157;459;4698
2013-12-11;5168;459;4709
2013-12-12;5181;460;4721
2013-12-14;5188;460;4728
2013-12-15;5195;460;4735
2013-12-16;5217;460;4757
2013-12-18;5232;460;4772
2013-12-19;5244;462;4782
2013-12-20;5246;462;4784
2013-12-21;5252;462;4790
2013-12-22;5269;462;4807
2013-12-24;5281;463;4818
2013-12-25;5293;463;4830
2013-12-26;5304;463;4841
2013-12-28;5321;463;4858
2013-12-29;5330;463;4867
2013-12-30;5344;463;4881
2013-12-31;5379;463;4916
2014-01-02;5389;463;4926
2014-01-03;5408;463;4945
2014-01-04;5430;466;4964
2014-01-06;5447;466;4981
2014-01-07;5460;466;4994
2014-01-08;5469;466;5003
2014-01-09;5475;467;5008
2014-01-10;5488;467;5021
2014-01-11;5498;467;5031
2014-01-12;5508;467;5041
2014-01-13;5515;467;5048
2014-01-14;5521;468;5053
2014-01-15;5527;467;5060
2014-01-16;5536;467;5069
2014-01-17;5546;467;5079
2014-01-18;5560;467;5093
2014-01-19;5568;467;5101
2014-01-20;5580;467;5113
2014-01-21;5600;470;5130
2014-01-22;5615;470;5145
2014-01-23;5622;474;5148
2014-01-24;5627;474;5153
2014-01-25;5627;474;5153
2014-01-26;5630;474;5156
2014-01-27;5631;474;5157
