date;followers;following;fans
2013-04-18;7944;88;7856
2013-04-19;7960;88;7872
2013-04-20;7967;88;7879
2013-04-21;7973;88;7885
2013-04-22;7984;88;7896
2013-04-23;7999;88;7911
2013-04-24;8011;88;7923
2013-04-25;8018;88;7930
2013-04-26;8029;89;7940
2013-04-27;8041;89;7952
2013-04-28;8050;89;7961
2013-04-29;8060;89;7971
2013-04-30;8068;89;7979
2013-05-01;8093;89;8004
2013-05-02;8110;90;8020
2013-05-03;8121;91;8030
2013-05-04;8126;91;8035
2013-05-05;8135;91;8044
2013-05-06;8151;91;8060
2013-05-07;8165;92;8073
2013-05-08;8190;92;8098
2013-05-09;8205;92;8113
2013-05-10;8215;92;8123
2013-05-11;8202;92;8110
2013-05-12;8204;92;8112
2013-05-13;8215;92;8123
2013-05-14;8235;92;8143
2013-05-15;8261;92;8169
2013-05-16;8270;92;8178
2013-05-17;8283;92;8191
2013-05-18;8297;92;8205
2013-05-19;8307;92;8215
2013-05-20;8314;92;8222
2013-05-21;8316;92;8224
2013-05-22;8321;92;8229
2013-05-23;8337;92;8245
2013-05-24;8343;92;8251
2013-05-25;8347;93;8254
2013-05-26;8355;93;8262
2013-05-27;8360;93;8267
2013-05-28;8366;93;8273
2013-05-29;8374;93;8281
2013-05-30;8384;93;8291
2013-05-31;8393;93;8300
2013-06-01;8406;94;8312
2013-06-02;8418;94;8324
2013-06-03;8429;94;8335
2013-06-04;8436;94;8342
2013-06-05;8450;94;8356
2013-06-06;8466;94;8372
2013-06-07;8482;94;8388
2013-06-08;8487;94;8393
2013-06-09;8490;94;8396
2013-06-10;8499;94;8405
2013-06-11;8512;94;8418
2013-06-20;8587;96;8491
2013-06-21;8603;96;8507
2013-06-22;8619;96;8523
2013-06-23;8633;96;8537
2013-06-24;8643;96;8547
2013-06-25;8650;96;8554
2013-06-26;8705;96;8609
2013-06-27;8732;96;8636
2013-06-28;8747;96;8651
2013-06-29;8768;96;8672
2013-06-30;8778;96;8682
