date;followers;following;fans
2013-04-17;14020;116;13904
2013-04-18;14101;116;13985
2013-04-19;14158;116;14042
2013-04-20;14200;116;14084
2013-04-21;14258;116;14142
2013-04-22;14320;116;14204
2013-04-23;14374;116;14258
2013-04-24;14414;116;14298
2013-04-25;14455;116;14339
2013-04-26;14497;115;14382
2013-04-27;14512;115;14397
2013-04-28;14558;116;14442
2013-04-29;14607;116;14491
2013-04-30;14642;116;14526
2013-05-01;14669;116;14553
2013-05-02;14707;117;14590
2013-05-03;14749;117;14632
2013-05-04;14777;118;14659
2013-05-05;14876;119;14757
2013-05-06;14970;120;14850
2013-05-07;15019;120;14899
2013-05-08;15116;120;14996
2013-05-09;15152;120;15032
2013-05-10;15193;120;15073
2013-05-11;15212;120;15092
2013-05-12;15283;120;15163
2013-05-13;15375;120;15255
2013-05-14;15439;121;15318
2013-05-15;15513;121;15392
2013-05-16;15554;121;15433
2013-05-17;15602;121;15481
2013-05-18;15637;121;15516
2013-05-19;15683;121;15562
2013-05-20;15729;121;15608
2013-05-21;15799;121;15678
2013-05-22;15856;121;15735
2013-05-23;15941;121;15820
2013-05-24;15980;122;15858
2013-05-25;16011;122;15889
2013-05-26;16094;122;15972
2013-05-27;16149;122;16027
2013-05-28;16191;121;16070
2013-05-29;16231;122;16109
2013-05-30;16309;122;16187
2013-05-31;16364;122;16242
2013-06-01;16409;122;16287
2013-06-02;16453;122;16331
2013-06-03;16488;123;16365
2013-06-04;16512;123;16389
2013-06-05;16546;123;16423
2013-06-06;16577;123;16454
2013-06-07;16608;123;16485
2013-06-08;16635;123;16512
2013-06-09;16669;124;16545
2013-06-10;16708;123;16585
2013-06-11;16760;123;16637
2013-06-20;17035;123;16912
2013-06-21;17079;123;16956
2013-06-22;17134;123;17011
2013-06-23;17184;123;17061
2013-06-24;17231;124;17107
2013-06-25;17256;124;17132
2013-06-26;17299;124;17175
2013-06-27;17325;124;17201
2013-06-28;17348;124;17224
2013-06-29;17379;124;17255
2013-06-30;17422;124;17298
2013-07-01;17467;124;17343
2013-07-02;17516;124;17392
2013-07-03;17533;124;17409
2013-07-04;17634;124;17510
2013-07-05;17674;124;17550
2013-07-06;17717;123;17594
2013-07-07;17752;123;17629
2013-07-08;17824;123;17701
2013-07-09;17852;123;17729
2013-07-10;17900;123;17777
2013-07-11;17943;123;17820
2013-07-12;17984;123;17861
2013-07-13;18039;123;17916
2013-07-14;18078;123;17955
2013-07-15;18107;123;17984
2013-07-16;18156;123;18033
2013-07-17;18197;123;18074
2013-07-18;18230;123;18107
2013-07-19;18259;123;18136
2013-07-20;18286;123;18163
2013-07-21;18323;123;18200
2013-07-22;18349;123;18226
2013-07-23;18382;123;18259
2013-07-24;18406;123;18283
2013-07-25;18444;123;18321
2013-07-26;18490;123;18367
2013-07-27;18541;123;18418
2013-07-28;18585;123;18462
2013-07-29;18628;122;18506
2013-07-30;18676;124;18552
2013-07-31;18725;124;18601
2013-08-01;18783;124;18659
2013-08-02;18829;124;18705
2013-08-03;18875;124;18751
2013-08-04;18901;124;18777
2013-08-05;18950;124;18826
2013-08-06;18980;125;18855
2013-08-07;19029;125;18904
2013-08-08;19070;125;18945
2013-08-09;19131;125;19006
2013-08-10;19159;127;19032
2013-08-11;19199;127;19072
2013-08-12;19259;127;19132
2013-08-13;19322;127;19195
2013-08-14;19366;127;19239
2013-08-15;19413;127;19286
2013-08-16;19450;128;19322
2013-08-17;19510;128;19382
2013-08-18;19545;128;19417
2013-08-19;19612;128;19484
2013-08-20;19661;128;19533
2013-08-21;19702;128;19574
2013-08-22;19750;128;19622
2013-08-23;19793;128;19665
