date;followers;following;fans
2013-04-18;4194;1859;2335
2013-04-20;4198;1858;2340
2013-04-22;4200;1857;2343
2013-04-24;4206;1858;2348
2013-04-26;4205;1859;2346
2013-04-28;4215;1859;2356
2013-04-30;4219;1859;2360
2013-05-02;4222;1858;2364
2013-05-04;4224;1858;2366
2013-05-06;4227;1858;2369
2013-05-08;4233;1859;2374
2013-05-10;4241;1858;2383
2013-05-12;4225;1843;2382
2013-05-14;4234;1844;2390
2013-05-16;4246;1851;2395
2013-05-18;4259;1858;2401
2013-05-20;4263;1858;2405
2013-05-22;4270;1858;2412
2013-05-24;4273;1858;2415
2013-05-26;4272;1859;2413
2013-05-28;4280;1859;2421
2013-05-30;4286;1859;2427
2013-06-01;4290;1859;2431
2013-06-03;4295;1858;2437
2013-06-05;4304;1858;2446
2013-06-07;4312;1858;2454
2013-06-09;4324;1858;2466
2013-06-11;4331;1857;2474
2013-06-20;4372;1857;2515
2013-06-21;4374;1857;2517
2013-06-22;4373;1857;2516
2013-06-23;4378;1857;2521
2013-06-25;4383;1856;2527
2013-06-26;4386;1855;2531
2013-06-27;4388;1855;2533
2013-06-28;4388;1855;2533
2013-06-29;4395;1855;2540
2013-06-30;4393;1855;2538
2013-07-01;4400;1855;2545
2013-07-02;4410;1855;2555
2013-07-04;4418;1855;2563
2013-07-05;4429;1855;2574
2013-07-06;4433;1855;2578
2013-07-07;4435;1855;2580
2013-07-08;4441;1855;2586
2013-07-09;4442;1856;2586
2013-07-10;4440;1856;2584
2013-07-11;4442;1856;2586
2013-07-13;4445;1856;2589
2013-07-14;4449;1856;2593
2013-07-15;4454;1855;2599
2013-07-16;4452;1855;2597
2013-07-17;4455;1854;2601
2013-07-18;4461;1855;2606
2013-07-19;4482;1855;2627
2013-07-21;4485;1855;2630
2013-07-22;4488;1855;2633
2013-07-23;4489;1855;2634
2013-07-24;4493;1854;2639
2013-07-25;4496;1854;2642
2013-07-26;4494;1850;2644
2013-07-27;4494;1849;2645
2013-07-29;4493;1846;2647
2013-07-30;4496;1847;2649
2013-07-31;4495;1847;2648
2013-08-01;4498;1848;2650
2013-08-02;4499;1848;2651
2013-08-03;4502;1847;2655
2013-08-04;4501;1847;2654
2013-08-05;4503;1846;2657
2013-08-07;4513;1850;2663
2013-08-08;4518;1850;2668
2013-08-09;4520;1850;2670
2013-08-10;4523;1849;2674
2013-08-11;4523;1849;2674
2013-08-12;4522;1849;2673
2013-08-13;4521;1850;2671
2013-08-14;4522;1849;2673
2013-08-16;4522;1849;2673
2013-08-17;4526;1848;2678
2013-08-18;4523;1849;2674
2013-08-19;4522;1850;2672
2013-08-20;4521;1850;2671
2013-08-21;4528;1850;2678
2013-08-23;4536;1851;2685
2013-08-24;4538;1851;2687
2013-08-25;4538;1850;2688
2013-08-26;4540;1850;2690
2013-08-27;4540;1850;2690
2013-08-28;4541;1850;2691
2013-08-29;4537;1850;2687
2013-08-31;4539;1850;2689
2013-09-01;4539;1849;2690
2013-09-02;4540;1849;2691
2013-09-03;4542;1849;2693
2013-09-04;4543;1849;2694
2013-09-05;4544;1849;2695
2013-09-06;4547;1849;2698
2013-09-08;4550;1849;2701
2013-09-09;4560;1849;2711
2013-09-10;4558;1849;2709
2013-09-11;4556;1849;2707
2013-09-12;4558;1849;2709
2013-09-13;4564;1849;2715
2013-09-15;4567;1846;2721
2013-09-16;4571;1848;2723
2013-09-17;4574;1848;2726
2013-09-18;4575;1847;2728
2013-09-19;4582;1848;2734
2013-09-20;4586;1847;2739
2013-09-22;4588;1846;2742
2013-09-23;4588;1847;2741
2013-09-24;4590;1847;2743
2013-09-25;4586;1847;2739
2013-09-26;4589;1846;2743
2013-09-28;4596;1846;2750
2013-09-29;4594;1846;2748
2013-09-30;4595;1845;2750
2013-10-01;4598;1845;2753
2013-10-02;4601;1845;2756
2013-10-04;4601;1845;2756
2013-10-05;4598;1844;2754
2013-10-06;4605;1845;2760
2013-10-07;4605;1845;2760
2013-10-08;4606;1845;2761
2013-10-10;4608;1845;2763
2013-10-11;4610;1845;2765
2013-10-12;4609;1845;2764
2013-10-13;4616;1845;2771
2013-10-14;4618;1842;2776
2013-10-15;4625;1842;2783
2013-10-17;4627;1841;2786
2013-10-18;4628;1841;2787
