date;followers;following;fans
2013-04-18;8932;8;8924
2013-04-20;8930;8;8922
2013-04-22;8930;8;8922
2013-04-23;8931;8;8923
2013-04-25;8931;8;8923
2013-04-26;8933;8;8925
2013-04-27;8933;8;8925
2013-04-28;8933;8;8925
2013-04-29;8940;8;8932
2013-05-01;8939;8;8931
2013-05-02;8941;8;8933
2013-05-03;8940;8;8932
2013-05-04;8934;8;8926
2013-05-06;8937;8;8929
2013-05-07;8939;8;8931
2013-05-08;8941;8;8933
2013-05-09;8944;8;8936
2013-05-11;8943;8;8935
2013-05-12;8942;8;8934
2013-05-13;8944;8;8936
2013-05-14;8947;8;8939
2013-05-15;8956;8;8948
2013-05-16;8955;8;8947
2013-05-17;8958;8;8950
2013-05-18;8965;8;8957
2013-05-19;8970;8;8962
2013-05-20;8973;8;8965
2013-05-21;8971;8;8963
2013-05-22;8977;8;8969
2013-05-23;8981;8;8973
2013-05-24;8985;8;8977
2013-05-25;8987;8;8979
2013-05-26;8987;8;8979
2013-05-27;8987;8;8979
2013-05-28;8991;8;8983
2013-05-29;8991;8;8983
2013-05-30;8995;8;8987
2013-05-31;8996;8;8988
2013-06-01;8997;8;8989
2013-06-02;9000;8;8992
2013-06-03;9001;8;8993
2013-06-04;9000;8;8992
2013-06-05;9001;8;8993
2013-06-06;9004;8;8996
2013-06-07;9003;8;8995
2013-06-08;9003;8;8995
2013-06-09;9002;8;8994
2013-06-10;9006;8;8998
2013-06-11;9004;8;8996
2013-06-20;9017;8;9009
2013-06-21;9023;8;9015
2013-06-22;9023;8;9015
2013-06-23;9024;8;9016
2013-06-24;9027;8;9019
2013-06-25;9029;8;9021
2013-06-26;9031;8;9023
2013-06-27;9033;8;9025
2013-06-28;9037;8;9029
2013-06-29;9041;8;9033
2013-06-30;9042;8;9034
2013-07-01;9045;8;9037
2013-07-02;9047;8;9039
2013-07-03;9059;8;9051
2013-07-04;9064;8;9056
2013-07-05;9066;8;9058
2013-07-06;9071;8;9063
2013-07-07;9077;8;9069
2013-07-08;9078;8;9070
2013-07-10;9086;8;9078
2013-07-11;9086;8;9078
2013-07-12;9085;9;9076
2013-07-13;9085;9;9076
2013-07-14;9089;9;9080
2013-07-15;9090;9;9081
2013-07-16;9090;9;9081
2013-07-17;9092;9;9083
2013-07-18;9095;9;9086
2013-07-19;9095;9;9086
2013-07-20;9096;9;9087
2013-07-21;9097;9;9088
2013-07-22;9100;9;9091
2013-07-23;9099;9;9090
2013-07-24;9100;9;9091
2013-07-25;9099;9;9090
2013-07-26;9100;9;9091
2013-07-27;9103;9;9094
2013-07-28;9101;9;9092
2013-07-29;9099;9;9090
2013-07-30;9102;9;9093
2013-07-31;9101;9;9092
2013-08-01;9106;9;9097
2013-08-02;9106;9;9097
2013-08-03;9106;9;9097
2013-08-04;9112;9;9103
2013-08-05;9114;9;9105
2013-08-06;9115;9;9106
2013-08-07;9116;9;9107
2013-08-08;9116;9;9107
2013-08-09;9115;9;9106
2013-08-10;9111;9;9102
2013-08-11;9112;9;9103
2013-08-12;9112;9;9103
2013-08-13;9116;9;9107
2013-08-14;9119;9;9110
2013-08-15;9124;9;9115
2013-08-16;9123;9;9114
2013-08-17;9125;9;9116
2013-08-18;9128;9;9119
2013-08-19;9128;9;9119
2013-08-20;9128;9;9119
2013-08-21;9131;9;9122
2013-08-22;9131;9;9122
2013-08-23;9132;9;9123
2013-08-24;9137;9;9128
2013-08-25;9140;9;9131
2013-08-26;9141;9;9132
2013-08-27;9144;9;9135
2013-08-28;9148;9;9139
2013-08-29;9149;9;9140
2013-08-30;9153;9;9144
2013-08-31;9153;9;9144
2013-09-01;9154;9;9145
2013-09-02;9155;9;9146
2013-09-03;9158;9;9149
2013-09-04;9155;9;9146
2013-09-05;9153;9;9144
2013-09-06;9163;9;9154
2013-09-07;9169;9;9160
2013-09-08;9172;9;9163
2013-09-09;9175;9;9166
2013-09-10;9177;9;9168
2013-09-11;9197;9;9188
2013-09-12;9204;9;9195
2013-09-13;9210;9;9201
2013-09-14;9217;9;9208
2013-09-15;9219;9;9210
2013-09-16;9223;9;9214
2013-09-17;9228;9;9219
2013-09-18;9229;9;9220
2013-09-19;9233;9;9224
2013-09-20;9236;9;9227
2013-09-21;9240;9;9231
2013-09-22;9241;9;9232
2013-09-23;9243;9;9234
2013-09-24;9249;9;9240
2013-09-25;9249;9;9240
2013-09-26;9248;9;9239
2013-09-27;9247;9;9238
2013-09-28;9255;9;9246
2013-09-29;9261;9;9252
2013-10-01;9268;9;9259
2013-10-02;9271;9;9262
2013-10-03;9273;9;9264
2013-10-04;9272;9;9263
2013-10-05;9271;9;9262
2013-10-06;9271;9;9262
2013-10-07;9268;9;9259
2013-10-08;9273;9;9264
2013-10-09;9276;9;9267
2013-10-10;9275;9;9266
2013-10-11;9272;9;9263
2013-10-12;9273;9;9264
2013-10-13;9276;9;9267
2013-10-14;9274;9;9265
2013-10-15;9271;9;9262
2013-10-16;9270;9;9261
2013-10-17;9273;9;9264
2013-10-18;9270;9;9261
2013-10-19;9265;9;9256
2013-10-20;9263;9;9254
2013-10-21;9262;9;9253
2013-10-22;9258;9;9249
2013-10-23;9256;9;9247
2013-10-24;9254;9;9245
2013-10-25;9253;9;9244
2013-10-26;9251;9;9242
2013-10-27;9254;9;9245
2013-10-28;9256;9;9247
2013-10-29;9252;9;9243
2013-10-30;9250;9;9241
2013-10-31;9254;9;9245
2013-11-01;9253;9;9244
2013-11-02;9255;9;9246
2013-11-04;9257;9;9248
2013-11-05;9258;9;9249
2013-11-06;9261;9;9252
2013-11-07;9264;9;9255
2013-11-08;9269;9;9260
2013-11-09;9271;9;9262
2013-11-10;9274;9;9265
2013-11-11;9277;9;9268
2013-11-12;9276;9;9267
2013-11-13;9271;9;9262
2013-11-14;9275;9;9266
2013-11-15;9276;9;9267
2013-11-16;9280;9;9271
2013-11-17;9282;9;9273
2013-11-18;9280;9;9271
2013-11-19;9281;9;9272
2013-11-20;9291;9;9282
2013-11-21;9294;9;9285
2013-11-22;9300;9;9291
2013-11-23;9311;9;9302
2013-11-24;9314;9;9305
2013-11-25;9313;9;9304
2013-11-26;9310;9;9301
2013-11-27;9315;9;9306
2013-11-28;9319;9;9310
2013-11-29;9321;9;9312
2013-11-30;9321;9;9312
2013-12-01;9321;9;9312
2013-12-02;9321;9;9312
2013-12-03;9321;9;9312
2013-12-04;9331;9;9322
2013-12-05;9334;9;9325
2013-12-06;9335;9;9326
2013-12-07;9335;9;9326
2013-12-08;9341;9;9332
2013-12-09;9346;9;9337
2013-12-11;9344;9;9335
2013-12-12;9353;9;9344
2013-12-13;9361;9;9352
2013-12-14;9366;9;9357
2013-12-15;9372;9;9363
2013-12-16;9375;9;9366
2013-12-17;9388;9;9379
2013-12-18;9396;9;9387
2013-12-19;9403;9;9394
2013-12-20;9411;9;9402
2013-12-21;9416;9;9407
2013-12-22;9418;9;9409
2013-12-23;9427;9;9418
2013-12-24;9431;9;9422
2013-12-25;9439;9;9430
2013-12-26;9443;9;9434
2013-12-27;9456;9;9447
2013-12-28;9461;9;9452
2013-12-29;9459;9;9450
2013-12-30;9459;9;9450
2013-12-31;9461;9;9452
2014-01-01;9465;9;9456
2014-01-02;9466;9;9457
2014-01-03;9469;9;9460
2014-01-04;9473;9;9464
2014-01-05;9480;9;9471
2014-01-06;9489;9;9480
2014-01-07;9496;9;9487
2014-01-08;9496;9;9487
2014-01-09;9496;9;9487
2014-01-10;9501;9;9492
2014-01-11;9508;9;9499
2014-01-12;9524;9;9515
2014-01-13;9535;9;9526
2014-01-14;9536;9;9527
2014-01-15;9547;9;9538
2014-01-16;9555;9;9546
2014-01-17;9565;9;9556
2014-01-18;9574;9;9565
2014-01-19;9584;9;9575
2014-01-20;9595;9;9586
2014-01-21;9610;9;9601
2014-01-22;9617;9;9608
2014-01-23;9623;9;9614
2014-01-24;9627;9;9618
2014-01-25;9627;9;9618
2014-01-26;9626;9;9617
2014-01-27;9623;9;9614
2014-01-28;9617;9;9608
2014-01-30;9615;9;9606
2014-01-31;9615;9;9606
2014-02-01;9613;9;9604
2014-02-02;9609;9;9600
2014-02-03;9608;9;9599
2014-02-04;9607;9;9598
2014-02-05;9604;9;9595
2014-02-06;9602;9;9593
2014-02-07;9601;9;9592
2014-02-08;9600;9;9591
2014-02-09;9597;9;9588
2014-02-10;9598;9;9589
2014-02-11;9599;9;9590
2014-02-12;9596;9;9587
2014-02-13;9596;9;9587
2014-02-14;9603;9;9594
2014-02-15;9600;9;9591
2014-02-16;9600;9;9591
2014-02-17;9600;9;9591
2014-02-18;9604;9;9595
2014-02-19;9600;9;9591
2014-02-20;9599;9;9590
2014-02-21;9593;9;9584
2014-02-22;9592;9;9583
2014-02-23;9589;9;9580
2014-02-24;9588;9;9579
2014-02-25;9588;9;9579
2014-02-26;9590;9;9581
2014-02-27;9587;9;9578
2014-02-28;9587;9;9578
2014-03-01;9589;9;9580
2014-03-02;9587;9;9578
2014-03-03;9585;9;9576
2014-03-04;9585;9;9576
2014-03-05;9586;9;9577
2014-03-06;9586;9;9577
2014-03-07;9584;9;9575
2014-03-08;9583;9;9574
2014-03-09;9584;9;9575
2014-03-10;9582;9;9573
2014-03-11;9579;9;9570
2014-03-12;9577;9;9568
2014-03-13;9578;9;9569
2014-03-14;9577;9;9568
2014-03-15;9574;9;9565
2014-03-16;9574;9;9565
2014-03-17;9573;9;9564
2014-03-18;9573;9;9564
2014-03-19;9575;9;9566
2014-03-20;9575;9;9566
2014-03-21;9575;9;9566
2014-03-22;9575;9;9566
2014-03-23;9576;9;9567
2014-03-24;9576;9;9567
2014-03-25;9574;9;9565
2014-03-26;9576;9;9567
2014-03-27;9578;9;9569
2014-03-28;9579;9;9570
2014-03-29;9580;9;9571
2014-03-30;9576;9;9567
2014-03-31;9577;9;9568
2014-04-01;9573;9;9564
2014-04-02;9571;9;9562
2014-04-03;9568;9;9559
2014-04-04;9569;9;9560
2014-04-05;9570;9;9561
2014-04-06;9570;9;9561
2014-04-07;9573;9;9564
2014-04-08;9570;9;9561
2014-04-09;9568;9;9559
2014-04-10;9567;9;9558
2014-04-11;9566;9;9557
2014-04-12;9567;9;9558
