date;followers;following;fans
2013-05-07;1225;177;1048
2013-05-09;1226;177;1049
2013-05-11;1227;178;1049
2013-05-13;1227;178;1049
2013-05-15;1227;179;1048
2013-05-17;1243;181;1062
2013-05-19;1246;183;1063
2013-05-21;1252;183;1069
2013-05-23;1254;185;1069
2013-05-25;1254;184;1070
2013-05-27;1255;184;1071
2013-05-29;1261;184;1077
2013-05-31;1276;184;1092
2013-06-02;1276;184;1092
2013-06-04;1279;184;1095
2013-06-06;1283;184;1099
2013-06-08;1287;184;1103
2013-06-10;1290;184;1106
2013-06-20;1298;188;1110
2013-06-22;1308;192;1116
2013-06-24;1310;192;1118
2013-06-26;1312;192;1120
2013-06-28;1323;191;1132
2013-06-30;1329;192;1137
2013-07-02;1328;192;1136
2013-07-04;1329;192;1137
2013-07-06;1330;193;1137
2013-07-08;1329;193;1136
2013-07-10;1338;193;1145
2013-07-12;1341;193;1148
2013-07-14;1343;194;1149
2013-07-16;1345;194;1151
2013-07-18;1350;194;1156
2013-07-20;1353;194;1159
2013-07-22;1353;194;1159
2013-07-24;1353;194;1159
2013-07-26;1356;194;1162
2013-07-28;1356;194;1162
2013-07-30;1355;194;1161
2013-08-01;1360;194;1166
2013-08-03;1364;195;1169
2013-08-05;1362;195;1167
2013-08-07;1366;195;1171
2013-08-09;1378;195;1183
2013-08-11;1379;195;1184
2013-08-13;1379;195;1184
2013-08-15;1384;195;1189
2013-08-17;1385;195;1190
2013-08-19;1386;195;1191
2013-08-21;1386;195;1191
2013-08-23;1392;195;1197
2013-08-25;1397;195;1202
2013-08-27;1397;195;1202
2013-08-29;1400;195;1205
2013-08-31;1400;194;1206
2013-09-02;1403;194;1209
2013-09-04;1406;196;1210
2013-09-06;1406;196;1210
2013-09-08;1408;196;1212
2013-09-10;1408;196;1212
2013-09-12;1410;196;1214
2013-09-14;1415;197;1218
2013-09-16;1415;198;1217
2013-09-18;1420;198;1222
2013-09-20;1425;198;1227
2013-09-22;1429;198;1231
2013-09-24;1435;198;1237
2013-09-26;1437;198;1239
2013-09-28;1437;198;1239
2013-09-29;1438;198;1240
2013-10-02;1440;200;1240
2013-10-04;1444;200;1244
2013-10-06;1446;200;1246
2013-10-08;1448;200;1248
2013-10-10;1455;200;1255
2013-10-12;1459;204;1255
2013-10-14;1457;204;1253
2013-10-16;1458;205;1253
2013-10-18;1461;207;1254
2013-10-20;1462;207;1255
2013-10-22;1463;207;1256
2013-10-24;1466;209;1257
2013-10-26;1472;211;1261
2013-10-28;1472;212;1260
2013-10-30;1472;213;1259
2013-11-01;1475;214;1261
2013-11-03;1477;214;1263
2013-11-05;1478;214;1264
2013-11-07;1488;215;1273
2013-11-09;1496;216;1280
2013-11-11;1508;217;1291
2013-11-12;1513;218;1295
2013-11-15;1519;218;1301
2013-11-17;1516;222;1294
2013-11-19;1515;209;1306
2013-11-21;1518;209;1309
2013-11-23;1524;211;1313
2013-11-25;1525;211;1314
2013-11-27;1530;211;1319
2013-11-29;1537;212;1325
2013-12-01;1541;212;1329
2013-12-03;1541;212;1329
2013-12-05;1541;212;1329
2013-12-07;1551;212;1339
2013-12-09;1552;213;1339
2013-12-11;1552;213;1339
2013-12-13;1551;213;1338
2013-12-15;1556;214;1342
2013-12-17;1561;214;1347
2013-12-19;1563;215;1348
2013-12-21;1576;215;1361
2013-12-23;1577;215;1362
2013-12-25;1580;215;1365
2013-12-27;1579;215;1364
2013-12-29;1579;215;1364
2013-12-31;1581;215;1366
2014-01-02;1582;215;1367
2014-01-04;1582;215;1367
2014-01-06;1583;215;1368
2014-01-08;1587;215;1372
2014-01-10;1596;216;1380
2014-01-12;1597;217;1380
2014-01-14;1598;217;1381
2014-01-16;1602;217;1385
2014-01-18;1604;218;1386
2014-01-20;1605;218;1387
2014-01-22;1604;220;1384
2014-01-24;1603;220;1383
2014-01-26;1605;220;1385
2014-01-28;1617;221;1396
2014-01-30;1619;221;1398
2014-02-01;1622;221;1401
2014-02-03;1623;221;1402
2014-02-05;1622;222;1400
2014-02-07;1629;222;1407
2014-02-09;1631;222;1409
2014-02-11;1632;222;1410
2014-02-13;1634;222;1412
2014-02-15;1634;222;1412
2014-02-17;1633;222;1411
2014-02-19;1635;222;1413
2014-02-21;1634;222;1412
2014-02-23;1634;222;1412
2014-02-25;1638;222;1416
2014-02-27;1639;221;1418
2014-03-01;1641;221;1420
2014-03-03;1639;221;1418
2014-03-05;1642;221;1421
2014-03-07;1649;224;1425
2014-03-09;1648;224;1424
2014-03-11;1647;224;1423
2014-03-13;1647;224;1423
2014-03-15;1651;223;1428
2014-03-17;1651;223;1428
2014-03-19;1655;224;1431
2014-03-21;1661;225;1436
2014-03-23;1661;224;1437
2014-03-25;1659;224;1435
2014-03-27;1659;225;1434
2014-03-29;1661;225;1436
2014-03-31;1660;225;1435
2014-04-02;1662;227;1435
2014-04-04;1674;227;1447
2014-04-06;1675;227;1448
2014-04-08;1676;228;1448
2014-04-10;1680;228;1452
2014-04-12;1685;228;1457
2014-04-14;1688;228;1460
2014-04-16;1694;228;1466
2014-04-18;1692;228;1464
2014-04-20;1694;228;1466
2014-04-22;1695;228;1467
2014-04-24;1697;228;1469
2014-04-26;1696;229;1467
2014-04-28;1698;230;1468
2014-04-30;1696;230;1466
2014-05-02;1699;231;1468
2014-05-04;1700;231;1469
