date;followers;following;fans
2013-09-08;1734;265;1469
2013-09-10;1731;263;1468
2013-09-12;1732;266;1466
2013-09-14;1740;266;1474
2013-09-16;1734;276;1458
2013-09-18;1731;273;1458
2013-09-20;1747;276;1471
2013-09-22;1741;272;1469
2013-09-24;1744;277;1467
2013-09-26;1744;278;1466
2013-09-28;1750;281;1469
2013-09-29;1746;282;1464
2013-10-01;1747;282;1465
2013-10-03;1748;282;1466
2013-10-05;1743;284;1459
2013-10-07;1741;288;1453
2013-10-09;1747;278;1469
2013-10-11;1745;279;1466
2013-10-13;1746;279;1467
2013-10-15;1747;276;1471
2013-10-17;1743;276;1467
2013-10-19;1748;280;1468
2013-10-21;1750;282;1468
2013-10-23;1748;282;1466
2013-10-25;1747;285;1462
2013-10-27;1742;286;1456
2013-10-29;1735;288;1447
2013-10-31;1727;283;1444
2013-11-02;1724;285;1439
2013-11-04;1720;286;1434
2013-11-06;1712;286;1426
2013-11-08;1711;286;1425
2013-11-10;1709;286;1423
2013-11-12;1705;283;1422
2013-11-14;1697;278;1419
2013-11-16;1695;279;1416
2013-11-18;1692;280;1412
2013-11-20;1690;283;1407
2013-11-22;1688;285;1403
2013-11-24;1686;287;1399
2013-11-26;1681;287;1394
2013-11-28;1678;287;1391
2013-11-30;1674;283;1391
2013-12-02;1674;282;1392
2013-12-04;1672;283;1389
2013-12-06;1668;284;1384
2013-12-08;1667;285;1382
2013-12-10;1665;282;1383
2013-12-12;1665;283;1382
2013-12-14;1667;287;1380
2013-12-16;1663;286;1377
2013-12-18;1663;288;1375
2013-12-20;1660;287;1373
2013-12-22;1659;289;1370
2013-12-24;1659;280;1379
2013-12-26;1657;281;1376
2013-12-28;1656;282;1374
2013-12-30;1653;283;1370
2014-01-01;1651;283;1368
2014-01-03;1650;286;1364
2014-01-05;1646;285;1361
2014-01-07;1649;288;1361
2014-01-09;1642;286;1356
2014-01-11;1634;283;1351
2014-01-13;1637;286;1351
2014-01-15;1635;291;1344
2014-01-17;1636;291;1345
2014-01-19;1637;279;1358
2014-01-21;1634;278;1356
2014-01-23;1632;274;1358
2014-01-25;1635;273;1362
2014-01-27;1630;271;1359
2014-01-30;1629;275;1354
2014-02-01;1625;278;1347
2014-02-03;1619;278;1341
2014-02-05;1616;275;1341
2014-02-07;1624;279;1345
2014-02-09;1624;279;1345
2014-02-11;1620;280;1340
2014-02-13;1619;280;1339
2014-02-15;1615;280;1335
2014-02-17;1617;282;1335
2014-02-19;1616;281;1335
2014-02-21;1615;255;1360
2014-02-23;1614;258;1356
2014-02-25;1607;255;1352
2014-02-27;1604;256;1348
2014-03-01;1605;259;1346
2014-03-03;1608;257;1351
2014-03-05;1610;257;1353
2014-03-07;1611;258;1353
2014-03-09;1611;259;1352
2014-03-11;1610;260;1350
2014-03-13;1606;260;1346
2014-03-15;1607;260;1347
2014-03-17;1606;259;1347
2014-03-19;1603;259;1344
2014-03-21;1598;259;1339
2014-03-23;1599;259;1340
2014-03-25;1598;260;1338
2014-03-27;1598;263;1335
2014-03-29;1597;263;1334
2014-03-31;1597;261;1336
2014-04-02;1598;264;1334
2014-04-04;1601;267;1334
2014-04-06;1603;268;1335
2014-04-08;1599;268;1331
2014-04-10;1605;268;1337
2014-04-12;1604;269;1335
2014-04-14;1607;270;1337
2014-04-16;1603;268;1335
2014-04-18;1600;266;1334
2014-04-20;1599;264;1335
2014-04-22;1599;266;1333
2014-04-24;1597;267;1330
2014-04-26;1593;266;1327
2014-04-28;1586;261;1325
2014-04-30;1582;262;1320
2014-05-02;1577;258;1319
2014-05-04;1576;259;1317
