date;followers;following;fans
2013-04-18;2643;580;2063
2013-04-20;2643;580;2063
2013-04-22;2644;580;2064
2013-04-24;2647;580;2067
2013-04-26;2648;580;2068
2013-04-28;2644;580;2064
2013-04-30;2645;580;2065
2013-05-02;2645;580;2065
2013-05-04;2645;580;2065
2013-05-06;2645;580;2065
2013-05-08;2643;580;2063
2013-05-10;2640;579;2061
2013-05-12;2622;574;2048
2013-05-14;2625;575;2050
2013-05-16;2638;579;2059
2013-05-18;2642;580;2062
2013-05-20;2642;580;2062
2013-05-22;2645;580;2065
2013-05-24;2645;580;2065
2013-05-26;2645;580;2065
2013-05-28;2645;580;2065
2013-05-30;2644;580;2064
2013-06-01;2643;579;2064
2013-06-03;2644;579;2065
2013-06-05;2645;579;2066
2013-06-07;2646;579;2067
2013-06-09;2648;579;2069
2013-06-11;2647;579;2068
2013-06-20;2646;579;2067
2013-06-22;2643;579;2064
2013-06-24;2644;579;2065
2013-06-26;2646;579;2067
2013-06-28;2647;579;2068
2013-06-30;2645;579;2066
2013-07-02;2647;579;2068
2013-07-04;2645;579;2066
2013-07-06;2646;579;2067
2013-07-08;2648;579;2069
2013-07-10;2644;579;2065
2013-07-12;2643;579;2064
2013-07-14;2642;579;2063
2013-07-16;2642;579;2063
2013-07-18;2640;579;2061
2013-07-20;2643;579;2064
2013-07-22;2644;579;2065
2013-07-24;2643;579;2064
2013-07-26;2642;579;2063
2013-07-28;2641;579;2062
2013-07-30;2637;578;2059
2013-08-01;2640;578;2062
2013-08-03;2642;578;2064
2013-08-05;2640;577;2063
2013-08-07;2639;577;2062
2013-08-09;2636;577;2059
2013-08-11;2635;577;2058
2013-08-13;2636;577;2059
2013-08-15;2636;577;2059
2013-08-17;2636;577;2059
2013-08-19;2638;577;2061
2013-08-21;2639;577;2062
2013-08-23;2640;577;2063
2013-08-25;2642;577;2065
2013-08-27;2645;577;2068
2013-08-29;2645;577;2068
2013-08-31;2645;577;2068
2013-09-02;2642;577;2065
2013-09-04;2644;577;2067
2013-09-06;2641;577;2064
2013-09-08;2641;577;2064
2013-09-10;2639;577;2062
2013-09-12;2642;577;2065
2013-09-14;2644;577;2067
2013-09-16;2643;577;2066
2013-09-18;2643;578;2065
2013-09-20;2642;579;2063
2013-09-22;2641;579;2062
2013-09-24;2641;579;2062
2013-09-26;2644;579;2065
2013-09-28;2647;579;2068
2013-09-30;2649;579;2070
2013-10-02;2651;579;2072
2013-10-04;2655;579;2076
2013-10-06;2654;579;2075
2013-10-08;2653;579;2074
2013-10-10;2657;579;2078
2013-10-12;2658;579;2079
2013-10-14;2655;579;2076
2013-10-16;2655;579;2076
2013-10-18;2656;579;2077
2013-10-20;2657;579;2078
2013-10-22;2660;579;2081
2013-10-24;2662;579;2083
2013-10-26;2664;579;2085
2013-10-28;2664;579;2085
2013-10-30;2668;579;2089
2013-11-01;2668;579;2089
2013-11-03;2668;579;2089
2013-11-05;2667;578;2089
2013-11-07;2668;578;2090
2013-11-09;2665;582;2083
2013-11-11;2663;583;2080
2013-11-13;2664;583;2081
2013-11-15;2663;583;2080
2013-11-17;2667;583;2084
2013-11-19;2665;583;2082
2013-11-21;2667;583;2084
2013-11-23;2664;583;2081
2013-11-25;2665;583;2082
2013-11-27;2665;583;2082
2013-11-29;2664;583;2081
2013-12-01;2663;583;2080
2013-12-03;2664;583;2081
2013-12-05;2664;583;2081
2013-12-07;2664;583;2081
2013-12-09;2665;583;2082
2013-12-11;2665;583;2082
2013-12-13;2666;583;2083
2013-12-15;2663;583;2080
2013-12-17;2661;583;2078
2013-12-19;2661;583;2078
2013-12-21;2662;583;2079
2013-12-23;2660;583;2077
2013-12-25;2660;584;2076
2013-12-27;2660;584;2076
2013-12-29;2660;584;2076
2013-12-31;2662;584;2078
2014-01-02;2662;584;2078
2014-01-04;2661;584;2077
2014-01-06;2661;585;2076
2014-01-08;2662;589;2073
2014-01-10;2662;589;2073
2014-01-12;2659;589;2070
2014-01-14;2659;589;2070
2014-01-16;2659;589;2070
2014-01-18;2656;589;2067
2014-01-20;2656;589;2067
2014-01-22;2657;589;2068
2014-01-24;2659;589;2070
2014-01-26;2659;589;2070
2014-01-28;2661;589;2072
2014-01-30;2662;589;2073
2014-02-01;2659;589;2070
2014-02-03;2661;596;2065
2014-02-05;2662;596;2066
2014-02-07;2660;596;2064
2014-02-09;2659;596;2063
2014-02-11;2658;596;2062
2014-02-13;2658;596;2062
2014-02-15;2658;598;2060
2014-02-17;2659;598;2061
2014-02-19;2658;598;2060
2014-02-21;2658;598;2060
2014-02-23;2656;598;2058
2014-02-25;2657;598;2059
2014-02-27;2657;598;2059
2014-03-01;2659;598;2061
2014-03-03;2660;598;2062
2014-03-05;2663;598;2065
2014-03-07;2665;598;2067
2014-03-09;2663;598;2065
2014-03-11;2663;598;2065
2014-03-13;2665;598;2067
2014-03-15;2663;598;2065
2014-03-17;2662;598;2064
2014-03-19;2662;598;2064
2014-03-21;2661;598;2063
2014-03-23;2662;598;2064
2014-03-25;2662;598;2064
2014-03-27;2663;598;2065
2014-03-29;2667;598;2069
2014-03-31;2666;598;2068
2014-04-02;2664;598;2066
2014-04-04;2663;598;2065
2014-04-06;2660;598;2062
2014-04-08;2661;598;2063
2014-04-10;2660;603;2057
2014-04-12;2661;603;2058
2014-04-14;2662;603;2059
2014-04-16;2663;603;2060
2014-04-18;2663;603;2060
2014-04-20;2664;603;2061
2014-04-22;2663;603;2060
2014-04-24;2662;603;2059
2014-04-26;2661;603;2058
2014-04-28;2658;603;2055
2014-04-30;2657;603;2054
2014-05-02;2658;603;2055
2014-05-04;2662;603;2059
