date;followers;following;fans
2013-04-18;1271;115;1156
2013-04-20;1291;115;1176
2013-04-22;1290;114;1176
2013-04-24;1288;114;1174
2013-04-26;1296;114;1182
2013-04-28;1322;111;1211
2013-04-30;1304;110;1194
2013-05-02;1297;111;1186
2013-05-04;1294;113;1181
2013-05-06;1361;105;1256
2013-05-08;1316;105;1211
2013-05-10;1322;105;1217
2013-05-12;1427;97;1330
2013-05-14;1383;98;1285
2013-05-16;1379;98;1281
2013-05-18;1368;98;1270
2013-05-20;1358;101;1257
2013-05-22;1353;101;1252
2013-05-24;1352;101;1251
2013-05-26;1392;100;1292
2013-05-28;1366;101;1265
2013-05-30;1377;98;1279
2013-06-01;1395;98;1297
2013-06-03;1515;101;1414
2013-06-05;1547;104;1443
2013-06-07;1535;106;1429
2013-06-09;1513;106;1407
2013-06-11;1515;106;1409
2013-06-20;1435;111;1324
2013-06-22;1431;111;1320
2013-06-24;1427;111;1316
2013-06-26;1414;111;1303
2013-06-28;1411;109;1302
2013-06-30;1408;109;1299
2013-07-02;1400;109;1291
2013-07-04;1472;113;1359
2013-07-06;1439;113;1326
2013-07-08;1430;119;1311
2013-07-10;1425;119;1306
2013-07-12;1423;119;1304
2013-07-14;1488;119;1369
2013-07-16;1439;121;1318
2013-07-18;1433;120;1313
2013-07-20;1429;121;1308
2013-07-22;1419;121;1298
2013-07-24;1406;121;1285
2013-07-26;1474;122;1352
2013-07-28;1389;117;1272
2013-07-30;1369;118;1251
2013-08-01;1365;118;1247
2013-08-03;1356;118;1238
2013-08-05;1350;118;1232
2013-08-07;1367;119;1248
2013-08-09;1351;119;1232
2013-08-11;1349;118;1231
2013-08-13;1342;118;1224
2013-08-15;1336;122;1214
2013-08-17;1333;137;1196
2013-08-19;1334;117;1217
2013-08-21;1349;117;1232
2013-08-23;1347;120;1227
2013-08-25;1338;116;1222
2013-08-27;1330;118;1212
2013-08-29;1364;118;1246
2013-08-31;1325;117;1208
2013-09-02;1323;117;1206
2013-09-04;1321;117;1204
2013-09-06;1361;116;1245
2013-09-08;1346;115;1231
2013-09-10;1337;115;1222
2013-09-12;1341;116;1225
2013-09-14;1365;116;1249
2013-09-16;1347;113;1234
2013-09-18;1342;117;1225
2013-09-20;1339;117;1222
2013-09-22;1361;122;1239
2013-09-24;1339;122;1217
2013-09-26;1336;123;1213
2013-09-28;1334;123;1211
2013-09-30;1328;122;1206
2013-10-02;1323;122;1201
2013-10-04;1318;120;1198
2013-10-06;1320;121;1199
2013-10-08;1323;121;1202
2013-10-10;1322;121;1201
2013-10-12;1325;124;1201
2013-10-14;1318;121;1197
2013-10-16;1315;120;1195
2013-10-18;1320;122;1198
2013-10-20;1352;123;1229
2013-10-22;1332;124;1208
2013-10-24;1360;126;1234
2013-10-26;1345;127;1218
2013-10-28;1331;130;1201
2013-10-30;1336;132;1204
2013-11-01;1334;131;1203
2013-11-03;1329;133;1196
2013-11-05;1328;133;1195
2013-11-07;1326;135;1191
2013-11-09;1325;136;1189
2013-11-11;1323;139;1184
2013-11-13;1322;138;1184
2013-11-15;1323;138;1185
2013-11-17;1322;139;1183
2013-11-19;1320;139;1181
2013-11-21;1313;139;1174
2013-11-23;1311;139;1172
2013-11-25;1314;139;1175
2013-11-27;1312;140;1172
2013-11-29;1305;140;1165
2013-12-01;1303;139;1164
2013-12-03;1300;139;1161
2013-12-05;1300;137;1163
2013-12-07;1303;137;1166
2013-12-09;1303;137;1166
2013-12-11;1363;138;1225
2013-12-13;1350;138;1212
2013-12-15;1342;138;1204
2013-12-17;1340;138;1202
2013-12-19;1338;138;1200
2013-12-21;1334;137;1197
2013-12-23;1363;139;1224
2013-12-25;1372;137;1235
2013-12-27;1368;137;1231
2013-12-29;1364;137;1227
2013-12-31;1359;135;1224
2014-01-02;1360;135;1225
2014-01-04;1360;135;1225
