date;followers;following;fans
2013-04-18;10604;1095;9509
2013-04-19;10606;1095;9511
2013-04-20;10605;1095;9510
2013-04-21;10609;1094;9515
2013-04-22;10641;1094;9547
2013-04-23;10654;1095;9559
2013-04-24;10667;1097;9570
2013-04-25;10781;1097;9684
2013-04-26;10915;1097;9818
2013-04-27;10950;1097;9853
2013-04-28;10963;1097;9866
2013-04-29;10976;1097;9879
2013-04-30;10984;1097;9887
2013-05-01;10991;1097;9894
2013-05-02;10994;1098;9896
2013-05-03;10998;1097;9901
2013-05-04;11012;1097;9915
2013-05-05;11083;1097;9986
2013-05-06;11102;1091;10011
2013-05-07;11109;1091;10018
2013-05-08;11113;1091;10022
2013-05-09;11124;1091;10033
2013-05-10;11130;1092;10038
2013-05-11;11096;1092;10004
2013-05-12;11109;1078;10031
2013-05-13;11141;1077;10064
2013-05-14;11163;1078;10085
2013-05-15;11199;1079;10120
2013-05-16;11211;1079;10132
2013-05-17;11223;1080;10143
2013-05-18;11234;1083;10151
2013-05-19;11245;1084;10161
2013-05-20;11243;1084;10159
2013-05-21;11272;1085;10187
2013-05-22;11287;1085;10202
2013-05-23;11297;1085;10212
2013-05-24;11309;1085;10224
2013-05-25;11310;1086;10224
2013-05-26;11320;1087;10233
2013-05-27;11446;1087;10359
2013-05-28;11486;1086;10400
2013-05-29;11491;1087;10404
2013-05-30;11492;1087;10405
2013-05-31;11518;1087;10431
2013-06-01;11539;1087;10452
2013-06-02;11547;1086;10461
2013-06-03;11558;1085;10473
2013-06-04;11564;1086;10478
2013-06-05;11568;1086;10482
2013-06-06;11572;1088;10484
2013-06-07;11588;1089;10499
2013-06-08;11587;1089;10498
2013-06-09;11593;1089;10504
2013-06-10;11587;1089;10498
2013-06-11;11595;1089;10506
2013-06-20;11622;1092;10530
2013-06-21;11632;1093;10539
2013-06-22;11636;1093;10543
2013-06-23;11638;1092;10546
2013-06-24;11650;1092;10558
2013-06-25;11656;1092;10564
2013-06-26;11660;1093;10567
2013-06-27;11666;1093;10573
2013-06-28;11674;1093;10581
2013-06-29;11676;1094;10582
2013-06-30;11672;1095;10577
2013-07-01;11681;1094;10587
2013-07-02;11688;1094;10594
2013-07-03;11691;1094;10597
2013-07-04;11690;1094;10596
2013-07-05;11692;1094;10598
2013-07-06;11691;1095;10596
2013-07-07;11693;1095;10598
2013-07-08;11702;1096;10606
2013-07-09;11698;1097;10601
2013-07-10;11696;1097;10599
2013-07-11;11699;1097;10602
2013-07-12;11705;1097;10608
2013-07-13;11717;1097;10620
2013-07-14;11714;1097;10617
2013-07-15;11708;1097;10611
2013-07-16;11711;1099;10612
