date;followers;following;fans
2013-04-18;11238;1892;9346
2013-04-20;11283;1893;9390
2013-04-22;11363;1892;9471
2013-04-23;11454;1893;9561
2013-04-25;11494;1896;9598
2013-04-26;11539;1895;9644
2013-04-27;11581;1894;9687
2013-04-28;11626;1898;9728
2013-04-29;11704;1899;9805
2013-05-01;11723;1898;9825
2013-05-02;11772;1899;9873
2013-05-03;11831;1899;9932
2013-05-04;11910;1900;10010
2013-05-05;11919;1900;10019
2013-05-06;11986;1901;10085
2013-05-07;12026;1901;10125
2013-05-08;12059;1906;10153
2013-05-09;12083;1907;10176
2013-05-10;12125;1907;10218
2013-05-11;12149;1908;10241
2013-05-12;12162;1907;10255
2013-05-13;12216;1910;10306
2013-05-14;12266;1912;10354
2013-05-15;12350;1916;10434
2013-05-16;12384;1916;10468
2013-05-17;12451;1917;10534
2013-05-18;12494;1918;10576
2013-05-19;12535;1920;10615
2013-05-20;12559;1913;10646
2013-05-21;12594;1918;10676
2013-05-22;12655;1917;10738
2013-05-23;12679;1913;10766
2013-05-24;12690;1913;10777
2013-05-25;12697;1912;10785
2013-05-26;12726;1911;10815
2013-05-27;12747;1914;10833
2013-05-28;12764;1920;10844
2013-05-29;12783;1924;10859
2013-05-30;12793;1924;10869
2013-05-31;12859;1924;10935
2013-06-01;12874;1923;10951
2013-06-02;12893;1912;10981
2013-06-03;12908;1910;10998
2013-06-04;12921;1910;11011
2013-06-05;12922;1910;11012
2013-06-06;12933;1908;11025
2013-06-07;12952;1909;11043
2013-06-08;12948;1909;11039
2013-06-09;12937;1906;11031
2013-06-10;12941;1911;11030
2013-06-11;12939;1912;11027
2013-06-20;12996;1911;11085
2013-06-21;13001;1912;11089
2013-06-22;13016;1913;11103
2013-06-23;13013;1911;11102
2013-06-24;13003;1908;11095
2013-06-25;13004;1905;11099
2013-06-26;13006;1905;11101
2013-06-27;13012;1905;11107
2013-06-28;13022;1903;11119
2013-06-29;13025;1904;11121
2013-06-30;13024;1903;11121
2013-07-01;13012;1903;11109
2013-07-02;13012;1903;11109
2013-07-03;13008;1903;11105
2013-07-04;13011;1903;11108
2013-07-05;13001;1903;11098
2013-07-06;12989;1903;11086
2013-07-07;12979;1901;11078
2013-07-08;12963;1900;11063
2013-07-09;12958;1899;11059
2013-07-10;12946;1894;11052
2013-07-11;12953;1898;11055
2013-07-12;12950;1891;11059
2013-07-13;12953;1891;11062
2013-07-14;12932;1888;11044
2013-07-15;12921;1888;11033
2013-07-16;12920;1886;11034
2013-07-17;12911;1885;11026
2013-07-18;12904;1885;11019
2013-07-19;12894;1885;11009
2013-07-20;12887;1884;11003
2013-07-21;12888;1884;11004
2013-07-22;12884;1884;11000
2013-07-23;12880;1884;10996
2013-07-24;12873;1885;10988
2013-07-25;12861;1879;10982
2013-07-26;12840;1877;10963
2013-07-27;12816;1875;10941
2013-07-28;12801;1873;10928
2013-07-29;12776;1869;10907
2013-07-30;12770;1871;10899
2013-07-31;12770;1869;10901
2013-08-01;12758;1868;10890
2013-08-02;12751;1866;10885
2013-08-03;12749;1866;10883
2013-08-04;12738;1865;10873
2013-08-05;12717;1863;10854
2013-08-06;12714;1863;10851
2013-08-07;12698;1863;10835
2013-08-08;12684;1865;10819
2013-08-09;12664;1864;10800
2013-08-10;12655;1864;10791
2013-08-11;12630;1863;10767
2013-08-12;12617;1864;10753
2013-08-13;12615;1863;10752
2013-08-14;12617;1865;10752
2013-08-15;12608;1865;10743
2013-08-16;12608;1864;10744
2013-08-17;12600;1865;10735
2013-08-18;12590;1865;10725
2013-08-19;12579;1864;10715
2013-08-20;12577;1864;10713
2013-08-21;12574;1864;10710
2013-08-22;12558;1863;10695
2013-08-23;12548;1862;10686
2013-08-24;12541;1863;10678
2013-08-25;12535;1862;10673
2013-08-26;12516;1862;10654
2013-08-27;12514;1862;10652
2013-08-28;12506;1860;10646
2013-08-29;12498;1861;10637
2013-08-30;12491;1862;10629
2013-08-31;12488;1859;10629
2013-09-01;12485;1858;10627
2013-09-02;12475;1858;10617
2013-09-03;12477;1858;10619
2013-09-04;12468;1856;10612
2013-09-05;12462;1855;10607
2013-09-06;12461;1854;10607
2013-09-07;12457;1856;10601
2013-09-08;12453;1856;10597
2013-09-09;12448;1855;10593
2013-09-10;12446;1856;10590
2013-09-11;12448;1856;10592
2013-09-12;12447;1856;10591
2013-09-13;12443;1856;10587
2013-09-14;12442;1856;10586
2013-09-15;12445;1856;10589
2013-09-16;12438;1856;10582
2013-09-17;12436;1856;10580
2013-09-18;12438;1855;10583
2013-09-19;12436;1855;10581
2013-09-20;12437;1855;10582
2013-09-21;12433;1855;10578
2013-09-22;12425;1855;10570
2013-09-23;12412;1856;10556
2013-09-24;12405;1854;10551
2013-09-25;12401;1855;10546
2013-09-26;12402;1854;10548
2013-09-27;12405;1855;10550
2013-09-28;12405;1853;10552
2013-09-29;12400;1852;10548
2013-09-30;12396;1853;10543
2013-10-01;12382;1851;10531
2013-10-02;12376;1850;10526
2013-10-03;12368;1851;10517
2013-10-04;12364;1852;10512
2013-10-05;12348;1849;10499
2013-10-06;12347;1850;10497
2013-10-07;12338;1850;10488
2013-10-08;12328;1851;10477
2013-10-09;12323;1851;10472
2013-10-10;12321;1851;10470
2013-10-11;12317;1850;10467
2013-10-12;12311;1849;10462
2013-10-13;12301;1847;10454
2013-10-14;12286;1848;10438
2013-10-15;12281;1848;10433
2013-10-16;12275;1846;10429
2013-10-17;12275;1847;10428
2013-10-18;12274;1848;10426
2013-10-19;12269;1847;10422
2013-10-20;12259;1849;10410
2013-10-21;12255;1849;10406
2013-10-22;12250;1849;10401
2013-10-23;12235;1848;10387
2013-10-24;12237;1848;10389
2013-10-25;12230;1848;10382
2013-10-26;12226;1849;10377
2013-10-27;12216;1849;10367
2013-10-28;12206;1848;10358
2013-10-29;12196;1847;10349
2013-10-30;12199;1847;10352
2013-10-31;12200;1847;10353
2013-11-01;12199;1847;10352
2013-11-02;12194;1847;10347
2013-11-03;12187;1846;10341
2013-11-04;12180;1847;10333
2013-11-05;12180;1847;10333
2013-11-06;12174;1848;10326
2013-11-07;12171;1848;10323
2013-11-08;12168;1848;10320
2013-11-09;12164;1848;10316
2013-11-10;12156;1848;10308
2013-11-11;12146;1848;10298
2013-11-12;12145;1848;10297
2013-11-13;12138;1847;10291
2013-11-14;12139;1846;10293
2013-11-15;12141;1846;10295
2013-11-16;12138;1845;10293
2013-11-17;12137;1845;10292
2013-11-18;12122;1844;10278
2013-11-19;12122;1843;10279
2013-11-20;12121;1842;10279
2013-11-21;12125;1842;10283
2013-11-22;12124;1842;10282
2013-11-23;12119;1842;10277
2013-11-24;12125;1842;10283
2013-11-25;12117;1841;10276
2013-11-26;12114;1842;10272
2013-11-27;12111;1842;10269
2013-11-28;12107;1841;10266
2013-11-29;12104;1841;10263
2013-11-30;12104;1841;10263
2013-12-01;12109;1842;10267
2013-12-02;12104;1842;10262
2013-12-03;12100;1842;10258
2013-12-04;12097;1842;10255
2013-12-05;12093;1842;10251
2013-12-06;12090;1843;10247
2013-12-07;12083;1843;10240
