date;followers;following;fans
2014-01-28;2365;126;2239
2014-01-30;2386;126;2260
2014-02-01;2393;126;2267
2014-02-03;2404;126;2278
2014-02-05;2415;126;2289
2014-02-07;2425;126;2299
2014-02-09;2436;126;2310
2014-02-11;2441;126;2315
2014-02-13;2448;126;2322
2014-02-15;2452;126;2326
2014-02-17;2459;126;2333
2014-02-19;2469;126;2343
2014-02-21;2473;126;2347
2014-02-23;2490;126;2364
2014-02-25;2496;126;2370
2014-02-27;2497;126;2371
2014-03-01;2500;126;2374
2014-03-03;2507;126;2381
2014-03-05;2526;126;2400
2014-03-07;2536;126;2410
2014-03-09;2545;126;2419
2014-03-11;2547;126;2421
2014-03-13;2549;126;2423
2014-03-15;2563;126;2437
2014-03-17;2575;147;2428
2014-03-19;2582;147;2435
2014-03-21;2590;147;2443
2014-03-23;2599;147;2452
2014-03-25;2610;147;2463
2014-03-27;2618;147;2471
2014-03-29;2625;147;2478
2014-03-31;2632;147;2485
2014-04-02;2640;147;2493
2014-04-04;2651;147;2504
2014-04-05;2649;147;2502
2014-04-07;2654;147;2507
2014-04-08;2659;147;2512
2014-04-10;2660;147;2513
2014-04-11;2663;147;2516
2014-04-12;2672;147;2525
2014-04-14;2675;147;2528
2014-04-15;2675;147;2528
2014-04-16;2681;147;2534
2014-04-18;2687;147;2540
2014-04-19;2692;147;2545
2014-04-21;2700;147;2553
2014-04-22;2701;147;2554
2014-04-23;2705;147;2558
2014-04-25;2716;147;2569
2014-04-26;2720;147;2573
2014-04-27;2721;147;2574
2014-04-29;2723;147;2576
2014-04-30;2727;147;2580
2014-05-01;2731;147;2584
2014-05-03;2736;147;2589
2014-05-04;2739;147;2592
2014-05-06;2739;147;2592
