date;followers;following;fans
2013-04-18;1642;295;1347
2013-04-20;1643;295;1348
2013-04-22;1648;295;1353
2013-04-24;1648;295;1353
2013-04-26;1648;295;1353
2013-04-28;1648;295;1353
2013-04-30;1650;295;1355
2013-05-02;1650;295;1355
2013-05-04;1655;295;1360
2013-05-06;1657;295;1362
2013-05-08;1662;295;1367
2013-05-10;1665;295;1370
2013-05-12;1659;295;1364
2013-05-14;1660;295;1365
2013-05-16;1669;295;1374
2013-05-18;1674;295;1379
2013-05-20;1674;295;1379
2013-05-22;1676;295;1381
2013-05-24;1678;294;1384
2013-05-26;1679;294;1385
2013-05-28;1682;294;1388
2013-05-30;1690;294;1396
2013-06-01;1693;294;1399
2013-06-03;1695;294;1401
2013-06-05;1701;294;1407
2013-06-07;1704;294;1410
2013-06-09;1705;294;1411
2013-06-11;1708;294;1414
2013-06-20;1714;294;1420
2013-06-22;1720;294;1426
2013-06-24;1721;294;1427
2013-06-26;1724;294;1430
2013-06-28;1723;294;1429
2013-06-30;1727;294;1433
2013-07-02;1726;294;1432
2013-07-04;1727;294;1433
2013-07-06;1727;294;1433
2013-07-08;1728;294;1434
2013-07-10;1727;293;1434
2013-07-12;1727;293;1434
2013-07-14;1733;293;1440
2013-07-16;1735;293;1442
2013-07-18;1737;293;1444
2013-07-20;1740;293;1447
2013-07-22;1739;293;1446
2013-07-24;1740;293;1447
2013-07-26;1742;293;1449
2013-07-28;1743;292;1451
2013-07-30;1745;292;1453
2013-08-01;1748;292;1456
2013-08-03;1752;292;1460
2013-08-05;1756;292;1464
2013-08-07;1758;292;1466
2013-08-09;1760;292;1468
2013-08-11;1760;292;1468
2013-08-13;1764;292;1472
2013-08-15;1766;292;1474
2013-08-17;1766;292;1474
2013-08-19;1769;292;1477
2013-08-21;1769;292;1477
2013-08-23;1770;292;1478
2013-08-25;1771;292;1479
2013-08-27;1774;292;1482
2013-08-29;1773;292;1481
2013-08-31;1777;292;1485
2013-09-02;1783;292;1491
2013-09-04;1786;292;1494
2013-09-06;1792;292;1500
2013-09-08;1796;292;1504
2013-09-10;1800;292;1508
2013-09-12;1803;292;1511
2013-09-14;1804;292;1512
2013-09-16;1806;292;1514
2013-09-18;1811;290;1521
2013-09-20;1813;290;1523
2013-09-22;1812;290;1522
2013-09-24;1816;290;1526
2013-09-26;1818;290;1528
2013-09-28;1817;290;1527
2013-09-30;1818;290;1528
2013-10-02;1823;290;1533
2013-10-04;1825;290;1535
2013-10-06;1828;290;1538
2013-10-08;1831;290;1541
2013-10-10;1836;290;1546
2013-10-12;1838;290;1548
2013-10-14;1842;290;1552
2013-10-16;1842;290;1552
2013-10-18;1844;290;1554
2013-10-20;1847;290;1557
2013-10-22;1847;290;1557
2013-10-24;1852;290;1562
2013-10-26;1852;290;1562
2013-10-28;1853;290;1563
2013-10-30;1855;290;1565
2013-11-01;1855;290;1565
2013-11-03;1855;290;1565
2013-11-05;1852;290;1562
2013-11-07;1858;290;1568
2013-11-09;1858;289;1569
2013-11-11;1862;289;1573
2013-11-13;1860;289;1571
2013-11-15;1865;289;1576
2013-11-17;1866;289;1577
2013-11-19;1867;289;1578
2013-11-21;1869;289;1580
2013-11-23;1872;289;1583
2013-11-25;1875;289;1586
2013-11-27;1875;289;1586
2013-11-29;1873;289;1584
2013-12-01;1875;289;1586
2013-12-03;1876;289;1587
2013-12-05;1877;289;1588
2013-12-07;1877;289;1588
2013-12-09;1880;289;1591
2013-12-11;1880;289;1591
2013-12-13;1879;289;1590
2013-12-15;1882;289;1593
2013-12-17;1883;289;1594
2013-12-19;1882;289;1593
2013-12-21;1882;289;1593
2013-12-23;1880;289;1591
2013-12-25;1883;289;1594
2013-12-27;1884;289;1595
2013-12-29;1884;289;1595
2013-12-31;1885;289;1596
2014-01-02;1887;289;1598
2014-01-04;1887;289;1598
2014-01-06;1888;289;1599
2014-01-08;1887;289;1598
2014-01-10;1890;289;1601
2014-01-12;1890;289;1601
2014-01-14;1893;289;1604
2014-01-16;1895;289;1606
2014-01-18;1897;289;1608
2014-01-20;1895;289;1606
2014-01-22;1895;289;1606
2014-01-24;1897;289;1608
2014-01-26;1897;289;1608
2014-01-28;1899;289;1610
2014-01-30;1898;289;1609
2014-02-01;1899;289;1610
2014-02-03;1901;289;1612
2014-02-05;1902;289;1613
2014-02-07;1903;289;1614
2014-02-09;1902;289;1613
2014-02-11;1900;289;1611
2014-02-13;1901;289;1612
2014-02-15;1902;289;1613
2014-02-17;1905;289;1616
2014-02-19;1910;289;1621
2014-02-21;1911;289;1622
2014-02-23;1911;289;1622
2014-02-25;1910;289;1621
2014-02-27;1910;289;1621
2014-03-01;1914;289;1625
2014-03-03;1917;289;1628
2014-03-05;1917;289;1628
2014-03-07;1919;289;1630
2014-03-09;1921;289;1632
2014-03-11;1921;289;1632
2014-03-13;1923;289;1634
2014-03-15;1923;289;1634
2014-03-17;1924;289;1635
2014-03-19;1925;289;1636
2014-03-21;1926;289;1637
2014-03-23;1925;289;1636
2014-03-25;1927;289;1638
2014-03-27;1930;289;1641
2014-03-29;1930;289;1641
2014-03-31;1932;289;1643
2014-04-02;1937;289;1648
2014-04-04;1939;289;1650
2014-04-06;1942;289;1653
2014-04-08;1945;289;1656
2014-04-10;1945;289;1656
2014-04-12;1948;289;1659
2014-04-14;1950;289;1661
2014-04-16;1952;289;1663
2014-04-18;1952;289;1663
2014-04-20;1953;289;1664
2014-04-22;1954;289;1665
2014-04-24;1956;289;1667
2014-04-26;1956;289;1667
2014-04-28;1957;289;1668
2014-04-30;1957;289;1668
2014-05-02;1957;289;1668
2014-05-04;1960;289;1671
