date;followers;following;fans
2013-04-18;7057;5;7052
2013-04-20;7064;5;7059
2013-04-21;7064;5;7059
2013-04-22;7069;5;7064
2013-04-23;7077;5;7072
2013-04-25;7083;5;7078
2013-04-26;7092;5;7087
2013-04-27;7099;5;7094
2013-04-28;7101;5;7096
2013-04-29;7108;5;7103
2013-05-01;7112;5;7107
2013-05-02;7115;5;7110
2013-05-03;7136;5;7131
2013-05-04;7140;5;7135
2013-05-05;7146;5;7141
2013-05-06;7153;5;7148
2013-05-07;7158;5;7153
2013-05-08;7165;5;7160
2013-05-09;7167;5;7162
2013-05-11;7163;5;7158
2013-05-12;7171;5;7166
2013-05-13;7175;5;7170
2013-05-14;7180;5;7175
2013-05-15;7198;5;7193
2013-05-16;7198;5;7193
2013-05-17;7201;5;7196
2013-05-18;7208;5;7203
2013-05-20;7209;5;7204
2013-05-21;7211;5;7206
2013-05-22;7211;5;7206
2013-05-23;7214;5;7209
2013-05-24;7225;5;7220
2013-05-26;7228;5;7223
2013-05-27;7227;5;7222
2013-05-28;7234;5;7229
2013-05-30;7254;5;7249
2013-05-31;7265;5;7260
2013-06-01;7271;5;7266
2013-06-02;7274;5;7269
2013-06-03;7272;5;7267
2013-06-04;7285;5;7280
2013-06-05;7299;5;7294
2013-06-06;7312;5;7307
2013-06-08;7316;5;7311
2013-06-09;7317;5;7312
2013-06-10;7324;5;7319
2013-06-11;7327;5;7322
2013-06-20;7382;5;7377
2013-06-21;7390;5;7385
2013-06-22;7398;5;7393
2013-06-24;7406;5;7401
2013-06-25;7422;5;7417
2013-06-26;7426;5;7421
2013-06-27;7431;5;7426
2013-06-28;7451;5;7446
2013-06-30;7462;5;7457
2013-07-02;7468;5;7463
2013-07-03;7482;5;7477
2013-07-04;7487;5;7482
2013-07-06;7496;5;7491
2013-07-07;7499;5;7494
2013-07-08;7513;5;7508
2013-07-09;7516;5;7511
2013-07-10;7531;5;7526
2013-07-12;7540;5;7535
2013-07-13;7544;5;7539
2013-07-14;7547;5;7542
2013-07-15;7545;5;7540
2013-07-16;7552;5;7547
2013-07-18;7570;5;7565
2013-07-19;7576;5;7571
2013-07-20;7580;5;7575
2013-07-21;7588;5;7583
2013-07-22;7588;5;7583
2013-07-23;7586;5;7581
2013-07-24;7588;5;7583
2013-07-25;7594;5;7589
2013-07-26;7603;5;7598
2013-07-27;7599;5;7594
2013-07-28;7603;5;7598
2013-07-29;7605;5;7600
2013-07-30;7611;5;7606
2013-07-31;7623;5;7618
2013-08-01;7633;5;7628
2013-08-03;7659;5;7654
2013-08-05;7677;5;7672
2013-08-06;7693;5;7688
2013-08-07;7711;5;7706
2013-08-08;7723;5;7718
2013-08-09;7731;5;7726
2013-08-10;7741;5;7736
2013-08-11;7754;5;7749
2013-08-12;7755;5;7750
2013-08-13;7764;5;7759
2013-08-14;7783;5;7778
2013-08-15;7786;5;7781
2013-08-16;7799;5;7794
2013-08-17;7815;5;7810
2013-08-18;7822;5;7817
2013-08-19;7828;5;7823
2013-08-20;7839;5;7834
2013-08-21;7848;5;7843
2013-08-22;7857;5;7852
2013-08-23;7867;5;7862
2013-08-24;7882;5;7877
2013-08-25;7885;5;7880
2013-08-26;7889;5;7884
2013-08-27;7903;5;7898
2013-08-28;7915;5;7910
2013-08-29;7921;5;7916
2013-08-30;7932;5;7927
2013-08-31;7939;5;7934
2013-09-01;7944;5;7939
2013-09-02;7952;5;7947
2013-09-03;7961;5;7956
2013-09-04;7973;5;7968
2013-09-05;7990;5;7985
2013-09-06;8006;5;8001
2013-09-07;8016;5;8011
2013-09-08;8025;5;8020
2013-09-09;8027;5;8022
2013-09-10;8039;5;8034
2013-09-11;8049;5;8044
2013-09-12;8065;5;8060
2013-09-13;8081;5;8076
2013-09-14;8093;5;8088
2013-09-15;8110;5;8105
2013-09-16;8115;5;8110
2013-09-17;8135;5;8130
2013-09-18;8156;5;8151
2013-09-19;8169;5;8164
2013-09-20;8180;5;8175
2013-09-21;8194;5;8189
2013-09-22;8204;5;8199
2013-09-23;8213;5;8208
2013-09-24;8221;5;8216
2013-09-25;8234;5;8229
2013-09-26;8250;5;8245
2013-09-27;8260;5;8255
2013-09-28;8276;5;8271
2013-09-29;8278;5;8273
2013-10-01;8292;5;8287
2013-10-02;8321;5;8316
2013-10-03;8331;5;8326
2013-10-04;8331;5;8326
2013-10-05;8348;5;8343
2013-10-06;8359;5;8354
2013-10-07;8362;5;8357
2013-10-08;8373;5;8368
2013-10-09;8387;5;8382
2013-10-10;8396;5;8391
2013-10-11;8399;5;8394
2013-10-12;8408;5;8403
2013-10-13;8414;5;8409
2013-10-14;8417;5;8412
2013-10-15;8423;5;8418
2013-10-16;8438;5;8433
2013-10-17;8450;5;8445
2013-10-18;8461;5;8456
2013-10-19;8462;5;8457
2013-10-20;8468;5;8463
2013-10-21;8473;5;8468
2013-10-22;8477;5;8472
2013-10-23;8484;5;8479
2013-10-24;8485;5;8480
2013-10-25;8501;5;8496
2013-10-26;8507;5;8502
2013-10-27;8508;5;8503
2013-10-28;8516;5;8511
2013-10-30;8516;5;8511
2013-10-31;8525;5;8520
2013-11-01;8535;5;8530
2013-11-02;8540;5;8535
2013-11-03;8541;5;8536
2013-11-04;8555;5;8550
2013-11-06;8569;5;8564
2013-11-07;8578;5;8573
2013-11-08;8597;5;8592
2013-11-10;8615;5;8610
2013-11-12;8627;5;8622
2013-11-13;8639;5;8634
2013-11-15;8658;5;8653
2013-11-16;8669;5;8664
2013-11-17;8671;5;8666
2013-11-18;8673;5;8668
2013-11-19;8675;5;8670
2013-11-21;8696;5;8691
2013-11-22;8703;5;8698
2013-11-23;8715;5;8710
2013-11-25;8720;5;8715
2013-11-26;8734;5;8729
2013-11-27;8741;5;8736
2013-11-28;8749;5;8744
2013-11-29;8765;5;8760
2013-11-30;8781;5;8776
2013-12-02;8786;5;8781
2013-12-03;8800;5;8795
2013-12-04;8827;5;8822
2013-12-05;8840;5;8835
2013-12-06;8845;5;8840
2013-12-08;8863;5;8858
2013-12-09;8897;5;8892
2013-12-11;8924;5;8919
2013-12-12;8945;5;8940
2013-12-13;8960;5;8955
2013-12-14;8962;5;8957
2013-12-15;8970;5;8965
2013-12-16;8973;5;8968
2013-12-17;8992;5;8987
2013-12-18;9004;5;8999
2013-12-19;9022;5;9017
2013-12-20;9049;5;9044
2013-12-21;9060;5;9055
2013-12-22;9074;5;9069
2013-12-23;9085;5;9080
2013-12-24;9099;5;9094
2013-12-26;9107;5;9102
2013-12-27;9110;5;9105
2013-12-28;9120;5;9115
2013-12-29;9135;5;9130
2013-12-30;9147;5;9142
2013-12-31;9164;5;9159
2014-01-01;9182;5;9177
2014-01-02;9185;5;9180
2014-01-03;9213;5;9208
2014-01-04;9223;5;9218
2014-01-05;9238;5;9233
2014-01-06;9235;5;9230
2014-01-07;9245;5;9240
2014-01-08;9254;5;9249
2014-01-09;9256;5;9251
2014-01-10;9261;5;9256
2014-01-11;9272;5;9267
2014-01-12;9285;5;9280
2014-01-13;9289;5;9284
2014-01-14;9304;5;9299
2014-01-15;9306;5;9301
2014-01-16;9319;5;9314
2014-01-17;9324;5;9319
2014-01-18;9332;5;9327
2014-01-19;9339;5;9334
2014-01-20;9339;5;9334
2014-01-21;9341;5;9336
2014-01-22;9344;5;9339
2014-01-23;9352;5;9347
2014-01-24;9362;5;9357
2014-01-25;9379;5;9374
2014-01-26;9385;5;9380
2014-01-28;9398;5;9393
2014-01-29;9403;5;9398
2014-01-30;9408;5;9403
2014-02-01;9411;5;9406
2014-02-02;9420;5;9415
2014-02-03;9419;5;9414
2014-02-04;9425;5;9420
2014-02-05;9428;5;9423
2014-02-06;9432;5;9427
2014-02-07;9430;5;9425
2014-02-08;9435;5;9430
2014-02-09;9444;5;9439
2014-02-10;9444;5;9439
2014-02-11;9452;5;9447
2014-02-12;9461;5;9456
2014-02-13;9475;5;9470
2014-02-14;9483;5;9478
2014-02-15;9494;5;9489
2014-02-16;9507;5;9502
2014-02-17;9511;5;9506
2014-02-18;9517;5;9512
2014-02-19;9523;5;9518
2014-02-20;9531;5;9526
2014-02-21;9535;5;9530
2014-02-22;9538;5;9533
2014-02-23;9546;5;9541
2014-02-24;9548;5;9543
2014-02-25;9551;5;9546
2014-02-26;9558;5;9553
2014-02-27;9562;5;9557
2014-02-28;9568;5;9563
2014-03-01;9579;5;9574
2014-03-02;9585;5;9580
2014-03-03;9589;5;9584
2014-03-04;9587;5;9582
2014-03-05;9594;5;9589
