date;followers;following;fans
2013-04-18;2695;237;2458
2013-04-20;2700;237;2463
2013-04-22;2709;237;2472
2013-04-24;2731;236;2495
2013-04-26;2733;237;2496
2013-04-28;2733;237;2496
2013-04-30;2745;237;2508
2013-05-01;2746;237;2509
2013-05-02;2747;237;2510
2013-05-03;2749;237;2512
2013-05-04;2747;237;2510
2013-05-05;2748;237;2511
2013-05-06;2747;237;2510
2013-05-07;2747;237;2510
2013-05-08;2746;237;2509
2013-05-09;2746;237;2509
2013-05-10;2747;237;2510
2013-05-11;2743;237;2506
2013-05-13;2744;237;2507
2013-05-14;2748;237;2511
2013-05-15;2751;237;2514
2013-05-16;2753;237;2516
2013-05-17;2757;237;2520
2013-05-18;2759;238;2521
2013-05-19;2759;238;2521
2013-05-20;2758;238;2520
2013-05-21;2761;238;2523
2013-05-23;2764;238;2526
2013-05-24;2764;240;2524
2013-05-25;2768;241;2527
2013-05-26;2770;241;2529
2013-05-27;2768;241;2527
2013-05-28;2774;241;2533
2013-05-29;2771;241;2530
2013-05-30;2778;241;2537
2013-06-01;2778;241;2537
2013-06-02;2779;241;2538
2013-06-03;2779;241;2538
2013-06-04;2783;241;2542
2013-06-05;2785;241;2544
2013-06-06;2788;241;2547
2013-06-07;2787;239;2548
2013-06-08;2790;239;2551
2013-06-10;2791;239;2552
2013-06-11;2790;239;2551
2013-06-20;2811;239;2572
2013-06-21;2815;239;2576
2013-06-22;2822;239;2583
2013-06-23;2820;239;2581
2013-06-24;2819;239;2580
2013-06-25;2818;239;2579
2013-06-27;2817;239;2578
2013-06-28;2817;239;2578
2013-06-29;2814;239;2575
2013-06-30;2811;239;2572
2013-07-01;2811;239;2572
2013-07-02;2812;239;2573
2013-07-03;2812;239;2573
2013-07-04;2812;239;2573
2013-07-05;2812;239;2573
2013-07-07;2818;239;2579
2013-07-08;2819;239;2580
2013-07-09;2820;239;2581
2013-07-10;2821;239;2582
2013-07-11;2821;239;2582
2013-07-12;2823;239;2584
2013-07-13;2824;239;2585
2013-07-14;2825;239;2586
2013-07-15;2826;239;2587
2013-07-17;2831;239;2592
2013-07-18;2830;239;2591
2013-07-19;2829;239;2590
2013-07-20;2829;239;2590
2013-07-21;2828;239;2589
2013-07-22;2828;239;2589
2013-07-23;2830;239;2591
2013-07-24;2831;239;2592
2013-07-25;2835;239;2596
2013-07-27;2837;239;2598
2013-07-28;2835;239;2596
2013-07-29;2834;239;2595
2013-07-30;2831;239;2592
2013-07-31;2833;239;2594
2013-08-01;2834;239;2595
2013-08-02;2834;239;2595
2013-08-03;2833;239;2594
2013-08-05;2833;239;2594
2013-08-06;2835;239;2596
2013-08-07;2840;239;2601
2013-08-08;2842;239;2603
2013-08-09;2844;239;2605
2013-08-10;2846;239;2607
2013-08-11;2847;239;2608
