date;followers;following;fans
2013-04-18;3453;65;3388
2013-04-19;3456;65;3391
2013-04-20;3460;65;3395
2013-04-21;3463;65;3398
2013-04-22;3467;65;3402
2013-04-23;3469;65;3404
2013-04-24;3473;65;3408
2013-04-25;3476;65;3411
2013-04-26;3477;65;3412
2013-04-27;3481;65;3416
2013-04-29;3483;65;3418
2013-04-30;3489;65;3424
2013-05-01;3492;65;3427
2013-05-02;3493;65;3428
2013-05-03;3496;65;3431
2013-05-04;3502;65;3437
2013-05-05;3511;65;3446
2013-05-06;3513;65;3448
2013-05-07;3520;65;3455
2013-05-08;3525;65;3460
2013-05-09;3532;65;3467
2013-05-11;3522;65;3457
2013-05-12;3527;65;3462
2013-05-13;3530;65;3465
2013-05-14;3538;65;3473
2013-05-15;3546;65;3481
2013-05-16;3551;65;3486
2013-05-17;3557;65;3492
2013-05-18;3568;65;3503
2013-05-19;3572;65;3507
2013-05-20;3584;65;3519
2013-05-22;3585;65;3520
2013-05-23;3594;65;3529
2013-05-24;3597;65;3532
2013-05-25;3602;65;3537
2013-05-26;3607;65;3542
2013-05-27;3615;65;3550
2013-05-28;3621;65;3556
2013-05-29;3630;65;3565
2013-05-31;3639;65;3574
2013-06-01;3643;65;3578
2013-06-02;3645;65;3580
2013-06-03;3649;65;3584
2013-06-04;3653;65;3588
2013-06-05;3653;65;3588
2013-06-06;3655;65;3590
2013-06-07;3660;65;3595
2013-06-09;3661;65;3596
2013-06-10;3663;65;3598
2013-06-11;3670;65;3605
2013-06-20;3693;65;3628
2013-06-21;3696;65;3631
2013-06-22;3700;65;3635
2013-06-23;3704;65;3639
2013-06-24;3706;65;3641
2013-06-26;3710;65;3645
2013-06-27;3709;65;3644
2013-06-28;3713;65;3648
2013-06-29;3713;65;3648
2013-06-30;3715;65;3650
2013-07-01;3719;65;3654
2013-07-02;3721;65;3656
2013-07-03;3721;65;3656
2013-07-04;3722;65;3657
2013-07-05;3718;65;3653
2013-07-07;3718;65;3653
2013-07-08;3719;65;3654
2013-07-09;3719;65;3654
2013-07-10;3721;65;3656
2013-07-11;3721;65;3656
2013-07-12;3720;65;3655
2013-07-13;3720;65;3655
2013-07-14;3723;65;3658
2013-07-16;3726;65;3661
2013-07-17;3729;65;3664
2013-07-18;3731;65;3666
2013-07-19;3731;65;3666
2013-07-20;3732;65;3667
2013-07-21;3731;65;3666
2013-07-22;3734;65;3669
2013-07-23;3736;65;3671
2013-07-25;3736;65;3671
2013-07-26;3738;65;3673
2013-07-27;3735;65;3670
2013-07-28;3733;65;3668
2013-07-29;3733;65;3668
2013-07-30;3733;65;3668
2013-07-31;3734;65;3669
2013-08-01;3733;65;3668
2013-08-03;3735;65;3670
2013-08-04;3736;65;3671
2013-08-05;3736;65;3671
2013-08-06;3739;65;3674
2013-08-07;3743;65;3678
2013-08-08;3743;65;3678
2013-08-09;3743;65;3678
2013-08-11;3742;65;3677
2013-08-12;3743;65;3678
2013-08-13;3745;65;3680
2013-08-14;3749;65;3684
2013-08-15;3748;65;3683
2013-08-16;3752;65;3687
