date;followers;following;fans
2013-04-18;1743;146;1597
2013-04-20;1745;146;1599
2013-04-22;1747;146;1601
2013-04-24;1752;146;1606
2013-04-26;1753;146;1607
2013-04-28;1761;146;1615
2013-04-30;1766;146;1620
2013-05-02;1767;146;1621
2013-05-04;1769;146;1623
2013-05-06;1771;146;1625
2013-05-08;1768;146;1622
2013-05-10;1770;146;1624
2013-05-12;1769;146;1623
2013-05-14;1768;146;1622
2013-05-16;1765;146;1619
2013-05-18;1767;146;1621
2013-05-20;1769;146;1623
2013-05-22;1767;146;1621
2013-05-24;1769;146;1623
2013-05-26;1774;146;1628
2013-05-28;1777;146;1631
2013-05-30;1782;146;1636
2013-06-01;1783;146;1637
2013-06-03;1781;145;1636
2013-06-05;1783;145;1638
2013-06-07;1787;145;1642
2013-06-09;1791;145;1646
2013-06-11;1791;145;1646
2013-06-20;1788;145;1643
2013-06-22;1791;145;1646
2013-06-24;1789;145;1644
2013-06-26;1789;145;1644
2013-06-28;1793;145;1648
2013-06-30;1800;147;1653
2013-07-02;1811;147;1664
2013-07-04;1809;147;1662
2013-07-06;1811;147;1664
2013-07-08;1811;148;1663
2013-07-10;1811;146;1665
2013-07-12;1815;146;1669
2013-07-14;1821;146;1675
2013-07-16;1824;146;1678
2013-07-18;1828;149;1679
2013-07-20;1826;149;1677
2013-07-22;1824;149;1675
2013-07-24;1822;149;1673
2013-07-26;1823;149;1674
2013-07-28;1827;149;1678
2013-07-30;1826;149;1677
2013-08-01;1826;149;1677
2013-08-03;1829;149;1680
2013-08-05;1832;149;1683
2013-08-07;1836;149;1687
2013-08-09;1834;149;1685
2013-08-11;1835;149;1686
2013-08-13;1839;150;1689
2013-08-15;1845;150;1695
2013-08-17;1846;150;1696
2013-08-19;1848;150;1698
2013-08-21;1848;150;1698
2013-08-23;1849;150;1699
2013-08-25;1852;150;1702
2013-08-27;1853;150;1703
2013-08-29;1854;150;1704
2013-08-31;1853;151;1702
2013-09-02;1853;151;1702
2013-09-04;1855;151;1704
2013-09-06;1857;151;1706
2013-09-08;1858;151;1707
2013-09-10;1863;151;1712
2013-09-12;1866;151;1715
2013-09-14;1872;151;1721
2013-09-16;1872;151;1721
2013-09-18;1876;151;1725
2013-09-20;1875;151;1724
2013-09-22;1877;151;1726
2013-09-24;1879;151;1728
2013-09-26;1880;151;1729
2013-09-28;1883;151;1732
2013-09-30;1882;151;1731
2013-10-02;1883;151;1732
2013-10-04;1885;151;1734
2013-10-06;1888;151;1737
2013-10-08;1890;151;1739
2013-10-10;1894;151;1743
2013-10-12;1896;151;1745
2013-10-14;1901;151;1750
2013-10-16;1902;151;1751
2013-10-18;1903;151;1752
2013-10-20;1904;151;1753
2013-10-22;1903;151;1752
2013-10-24;1906;151;1755
2013-10-26;1905;151;1754
2013-10-28;1910;151;1759
2013-10-30;1912;151;1761
2013-11-01;1912;151;1761
2013-11-03;1912;151;1761
2013-11-05;1911;151;1760
2013-11-07;1915;151;1764
2013-11-09;1913;151;1762
2013-11-11;1913;151;1762
2013-11-13;1918;151;1767
2013-11-15;1916;151;1765
2013-11-17;1917;151;1766
2013-11-19;1917;151;1766
2013-11-21;1920;151;1769
2013-11-23;1917;151;1766
2013-11-25;1913;151;1762
2013-11-27;1915;151;1764
2013-11-29;1917;151;1766
2013-12-01;1919;151;1768
2013-12-03;1921;151;1770
2013-12-05;1920;151;1769
2013-12-07;1926;151;1775
2013-12-09;1925;151;1774
2013-12-11;1925;151;1774
2013-12-13;1927;151;1776
2013-12-15;1932;151;1781
2013-12-17;1933;151;1782
2013-12-19;1931;151;1780
2013-12-21;1928;151;1777
2013-12-23;1927;151;1776
2013-12-25;1929;151;1778
2013-12-27;1932;151;1781
2013-12-29;1933;151;1782
2013-12-31;1934;151;1783
2014-01-02;1936;151;1785
2014-01-04;1936;151;1785
2014-01-06;1938;151;1787
2014-01-08;1938;149;1789
2014-01-10;1937;150;1787
2014-01-12;1936;150;1786
2014-01-14;1938;150;1788
2014-01-16;1937;150;1787
2014-01-18;1940;150;1790
2014-01-20;1942;150;1792
2014-01-22;1943;150;1793
2014-01-24;1946;149;1797
2014-01-26;1947;149;1798
2014-01-28;1955;149;1806
2014-01-30;1953;149;1804
2014-02-01;1959;149;1810
2014-02-03;1959;149;1810
2014-02-05;1961;149;1812
2014-02-07;1964;149;1815
2014-02-09;1966;149;1817
2014-02-11;1964;149;1815
2014-02-13;1966;149;1817
2014-02-15;1965;149;1816
2014-02-17;1968;149;1819
2014-02-19;1969;149;1820
2014-02-21;1973;149;1824
2014-02-23;1971;149;1822
2014-02-25;1974;149;1825
2014-02-27;1974;151;1823
2014-03-01;1978;151;1827
2014-03-03;1981;151;1830
2014-03-05;1984;152;1832
2014-03-07;1986;152;1834
2014-03-09;1983;152;1831
2014-03-11;1979;151;1828
2014-03-13;1981;151;1830
2014-03-15;1982;151;1831
2014-03-17;1985;162;1823
2014-03-19;1988;162;1826
2014-03-21;1989;163;1826
2014-03-23;1990;163;1827
2014-03-25;1990;164;1826
2014-03-27;1990;164;1826
2014-03-29;1991;164;1827
2014-03-31;1996;164;1832
2014-04-02;2002;165;1837
2014-04-04;2003;165;1838
2014-04-06;2005;165;1840
2014-04-08;2004;165;1839
2014-04-10;2006;165;1841
2014-04-12;2009;166;1843
2014-04-14;2011;166;1845
2014-04-16;2010;166;1844
2014-04-18;2013;167;1846
2014-04-20;2016;167;1849
2014-04-22;2016;167;1849
2014-04-24;2021;167;1854
2014-04-26;2021;167;1854
2014-04-28;2020;167;1853
2014-04-30;2025;167;1858
2014-05-02;2028;167;1861
2014-05-04;2032;169;1863
