date;followers;following;fans
2013-04-19;1703;334;1369
2013-04-20;1706;334;1372
2013-04-22;1707;333;1374
2013-04-25;1711;334;1377
2013-04-27;1702;333;1369
2013-04-28;1702;334;1368
2013-05-01;1698;334;1364
2013-05-02;1702;334;1368
2013-05-04;1699;334;1365
2013-05-06;1697;334;1363
2013-05-08;1693;334;1359
2013-05-11;1691;334;1357
2013-05-13;1688;333;1355
2013-05-15;1687;333;1354
2013-05-17;1681;334;1347
2013-05-19;1682;334;1348
2013-05-21;1674;334;1340
2013-05-23;1698;334;1364
2013-05-25;1695;334;1361
2013-05-27;1692;334;1358
2013-05-28;1693;334;1359
2013-05-31;1690;333;1357
2013-06-01;1688;333;1355
2013-06-04;1684;333;1351
2013-06-05;1679;333;1346
2013-06-08;1676;332;1344
2013-06-10;1685;332;1353
2013-06-20;1706;333;1373
2013-06-21;1703;331;1372
2013-06-23;1703;331;1372
2013-06-26;1697;331;1366
2013-06-27;1697;331;1366
2013-06-30;1700;331;1369
2013-07-02;1700;331;1369
2013-07-04;1699;331;1368
2013-07-06;1699;331;1368
2013-07-07;1700;331;1369
2013-07-10;1693;329;1364
2013-07-12;1689;331;1358
2013-07-13;1690;331;1359
2013-07-16;1690;331;1359
2013-07-18;1689;331;1358
2013-07-20;1689;331;1358
2013-07-22;1688;331;1357
2013-07-24;1686;331;1355
2013-07-26;1682;331;1351
2013-07-28;1679;331;1348
2013-07-30;1680;331;1349
2013-08-01;1678;331;1347
2013-08-03;1678;331;1347
2013-08-05;1681;331;1350
2013-08-07;1694;331;1363
2013-08-09;1701;332;1369
2013-08-11;1704;333;1371
2013-08-13;1701;333;1368
2013-08-15;1703;333;1370
2013-08-17;1704;333;1371
2013-08-19;1702;333;1369
2013-08-21;1730;333;1397
2013-08-23;1733;333;1400
2013-08-25;1734;333;1401
2013-08-27;1734;333;1401
2013-08-29;1738;334;1404
2013-08-31;1737;334;1403
2013-09-02;1735;333;1402
2013-09-04;1737;333;1404
2013-09-06;1740;333;1407
2013-09-08;1739;333;1406
2013-09-10;1734;332;1402
2013-09-12;1736;332;1404
2013-09-14;1739;333;1406
2013-09-16;1735;333;1402
2013-09-18;1733;334;1399
2013-09-20;1733;334;1399
2013-09-22;1733;334;1399
2013-09-24;1730;334;1396
2013-09-26;1731;334;1397
2013-09-28;1729;334;1395
2013-09-29;1726;334;1392
2013-10-01;1723;334;1389
2013-10-03;1721;334;1387
2013-10-05;1719;333;1386
2013-10-07;1717;334;1383
2013-10-09;1716;334;1382
2013-10-11;1714;334;1380
2013-10-13;1712;334;1378
2013-10-15;1712;334;1378
2013-10-17;1707;334;1373
2013-10-19;1707;334;1373
2013-10-21;1705;334;1371
2013-10-23;1700;334;1366
2013-10-25;1699;334;1365
2013-10-27;1697;333;1364
2013-10-29;1695;333;1362
2013-10-31;1692;333;1359
2013-11-02;1691;333;1358
2013-11-04;1692;333;1359
2013-11-06;1692;333;1359
2013-11-08;1688;333;1355
2013-11-10;1684;332;1352
2013-11-12;1678;333;1345
2013-11-14;1677;332;1345
2013-11-16;1679;331;1348
2013-11-18;1678;331;1347
2013-11-20;1676;331;1345
2013-11-22;1676;331;1345
2013-11-24;1674;331;1343
2013-11-26;1670;330;1340
2013-11-28;1669;330;1339
2013-11-30;1667;330;1337
2013-12-02;1665;330;1335
2013-12-04;1665;330;1335
2013-12-06;1665;330;1335
2013-12-08;1663;331;1332
2013-12-10;1663;331;1332
2013-12-12;1663;332;1331
2013-12-14;1661;332;1329
2013-12-16;1656;332;1324
2013-12-18;1654;332;1322
2013-12-20;1653;332;1321
2013-12-22;1652;332;1320
2013-12-24;1649;332;1317
2013-12-26;1648;332;1316
2013-12-28;1646;332;1314
2013-12-30;1643;332;1311
2014-01-01;1640;332;1308
2014-01-03;1639;332;1307
2014-01-05;1637;332;1305
2014-01-07;1634;331;1303
2014-01-09;1632;331;1301
2014-01-11;1633;331;1302
2014-01-13;1629;331;1298
2014-01-15;1628;331;1297
2014-01-17;1626;331;1295
2014-01-19;1624;330;1294
2014-01-21;1621;330;1291
2014-01-23;1620;330;1290
2014-01-25;1618;329;1289
2014-01-27;1613;329;1284
2014-01-29;1612;330;1282
2014-02-01;1611;329;1282
2014-02-03;1611;330;1281
2014-02-04;1609;330;1279
2014-02-07;1608;330;1278
2014-02-09;1604;330;1274
2014-02-11;1603;330;1273
2014-02-13;1633;332;1301
2014-02-15;1719;336;1383
2014-02-17;1877;336;1541
2014-02-19;1919;339;1580
2014-02-21;1925;339;1586
2014-02-23;1932;339;1593
2014-02-25;1933;340;1593
2014-02-27;1933;340;1593
2014-03-01;1930;340;1590
2014-03-03;1930;340;1590
2014-03-05;1930;340;1590
2014-03-07;1933;339;1594
2014-03-09;1934;339;1595
2014-03-11;1932;339;1593
2014-03-13;1927;339;1588
2014-03-15;1924;338;1586
2014-03-17;1932;337;1595
2014-03-19;1932;337;1595
2014-03-21;1933;337;1596
2014-03-23;1930;337;1593
2014-03-25;1934;336;1598
2014-03-27;1934;336;1598
2014-03-29;1934;335;1599
2014-03-31;1933;335;1598
2014-04-02;1929;334;1595
2014-04-04;1930;333;1597
2014-04-06;1926;334;1592
2014-04-08;1923;334;1589
2014-04-10;1938;334;1604
2014-04-12;1934;334;1600
2014-04-14;1934;334;1600
2014-04-16;1935;334;1601
2014-04-18;1932;334;1598
2014-04-20;1934;334;1600
2014-04-22;1945;334;1611
2014-04-24;1944;334;1610
2014-04-26;1943;334;1609
2014-04-28;1941;334;1607
2014-04-30;1941;334;1607
2014-05-02;1939;333;1606
2014-05-04;1940;334;1606
