date;followers;following;fans
2013-04-18;1487;8;1479
2013-04-20;1489;8;1481
2013-04-22;1489;8;1481
2013-04-24;1488;8;1480
2013-04-26;1489;8;1481
2013-04-28;1493;8;1485
2013-04-30;1493;8;1485
2013-05-02;1496;8;1488
2013-05-04;1495;8;1487
2013-05-06;1502;8;1494
2013-05-08;1506;8;1498
2013-05-10;1507;8;1499
2013-05-12;1502;8;1494
2013-05-14;1505;8;1497
2013-05-16;1512;8;1504
2013-05-18;1515;8;1507
2013-05-20;1519;8;1511
2013-05-22;1521;8;1513
2013-05-24;1525;8;1517
2013-05-26;1530;8;1522
2013-05-28;1531;8;1523
2013-05-30;1532;8;1524
2013-06-01;1537;8;1529
2013-06-03;1543;8;1535
2013-06-05;1545;8;1537
2013-06-07;1549;8;1541
2013-06-09;1551;8;1543
2013-06-11;1555;8;1547
2013-06-20;1564;8;1556
2013-06-22;1569;8;1561
2013-06-24;1571;8;1563
2013-06-26;1571;8;1563
2013-06-28;1575;8;1567
2013-06-30;1576;8;1568
2013-07-02;1573;8;1565
2013-07-04;1576;8;1568
2013-07-06;1582;8;1574
2013-07-08;1584;8;1576
2013-07-10;1584;7;1577
2013-07-12;1585;7;1578
2013-07-14;1588;7;1581
2013-07-16;1591;7;1584
2013-07-18;1592;7;1585
2013-07-20;1595;7;1588
2013-07-22;1597;7;1590
2013-07-24;1599;7;1592
2013-07-26;1600;7;1593
2013-07-28;1599;7;1592
2013-07-30;1599;7;1592
2013-08-01;1599;7;1592
2013-08-03;1599;8;1591
2013-08-05;1602;8;1594
2013-08-07;1605;9;1596
2013-08-09;1610;9;1601
2013-08-11;1611;9;1602
2013-08-13;1612;9;1603
2013-08-15;1616;9;1607
2013-08-17;1617;9;1608
2013-08-19;1623;9;1614
2013-08-21;1627;9;1618
2013-08-23;1628;9;1619
2013-08-25;1632;9;1623
2013-08-27;1636;9;1627
2013-08-29;1638;9;1629
2013-08-31;1643;9;1634
2013-09-02;1642;9;1633
2013-09-04;1643;9;1634
2013-09-06;1646;9;1637
2013-09-08;1647;9;1638
2013-09-10;1647;9;1638
2013-09-12;1650;9;1641
2013-09-14;1650;9;1641
2013-09-16;1657;9;1648
2013-09-18;1656;9;1647
2013-09-20;1656;9;1647
2013-09-22;1659;9;1650
2013-09-24;1666;9;1657
2013-09-26;1668;9;1659
2013-09-28;1668;9;1659
