date;followers;following;fans
2013-06-01;3215;2210;1005
2013-06-03;3220;2210;1010
2013-06-05;3241;2211;1030
2013-06-07;3251;2212;1039
2013-06-09;3257;2214;1043
2013-06-11;3257;2217;1040
2013-06-20;3286;2219;1067
2013-06-22;3301;2220;1081
2013-06-24;3303;2219;1084
2013-06-26;3310;2224;1086
2013-06-28;3315;2226;1089
2013-06-30;3327;2227;1100
2013-07-02;3331;2228;1103
2013-07-04;3340;2229;1111
2013-07-06;3346;2229;1117
2013-07-08;3351;2230;1121
2013-07-10;3356;2230;1126
2013-07-12;3361;2230;1131
2013-07-14;3368;2230;1138
2013-07-16;3370;2229;1141
2013-07-18;3373;2233;1140
2013-07-20;3381;2233;1148
2013-07-22;3384;2233;1151
2013-07-24;3392;2233;1159
2013-07-26;3397;2235;1162
2013-07-28;3402;2235;1167
2013-07-30;3403;2235;1168
2013-08-01;3415;2236;1179
2013-08-03;3421;2238;1183
2013-08-05;3424;2235;1189
2013-08-07;3431;2236;1195
2013-08-09;3435;2236;1199
2013-08-11;3438;2236;1202
2013-08-13;3437;2236;1201
2013-08-15;3441;2235;1206
2013-08-17;3445;2235;1210
2013-08-19;3450;2236;1214
2013-08-21;3461;2238;1223
2013-08-23;3465;2238;1227
2013-08-25;3475;2237;1238
2013-08-27;3481;2238;1243
2013-08-29;3480;2236;1244
2013-08-31;3486;2236;1250
2013-09-02;3492;2236;1256
2013-09-04;3503;2238;1265
2013-09-06;3508;2238;1270
2013-09-08;3512;2238;1274
2013-09-10;3520;2238;1282
2013-09-12;3522;2240;1282
2013-09-14;3527;2240;1287
2013-09-16;3532;2240;1292
2013-09-18;3543;2240;1303
2013-09-20;3547;2240;1307
2013-09-22;3547;2238;1309
2013-09-24;3549;2238;1311
2013-09-26;3557;2238;1319
2013-09-28;3561;2238;1323
2013-09-30;3568;2242;1326
2013-10-02;3574;2242;1332
2013-10-04;3572;2243;1329
2013-10-06;3574;2242;1332
2013-10-08;3579;2242;1337
2013-10-10;3586;2241;1345
2013-10-12;3594;2240;1354
2013-10-14;3592;2242;1350
2013-10-16;3597;2241;1356
2013-10-18;3603;2241;1362
2013-10-20;3608;2244;1364
2013-10-22;3620;2244;1376
2013-10-24;3623;2245;1378
2013-10-26;3624;2244;1380
2013-10-28;3632;2244;1388
2013-10-30;3639;2245;1394
2013-11-01;3644;2245;1399
2013-11-03;3647;2245;1402
2013-11-05;3648;2245;1403
2013-11-07;3647;2245;1402
2013-11-09;3660;2244;1416
2013-11-11;3658;2244;1414
2013-11-13;3662;2244;1418
2013-11-15;3669;2244;1425
2013-11-17;3673;2243;1430
2013-11-19;3674;2243;1431
2013-11-21;3674;2242;1432
2013-11-23;3679;2242;1437
2013-11-25;3682;2242;1440
2013-11-27;3685;2242;1443
2013-11-29;3688;2242;1446
2013-12-01;3694;2242;1452
2013-12-03;3697;2244;1453
2013-12-05;3701;2244;1457
2013-12-07;3708;2244;1464
2013-12-09;3710;2244;1466
2013-12-11;3719;2243;1476
2013-12-13;3724;2243;1481
2013-12-15;3730;2242;1488
2013-12-17;3733;2242;1491
2013-12-19;3735;2242;1493
2013-12-21;3744;2244;1500
2013-12-23;3749;2243;1506
2013-12-25;3750;2243;1507
2013-12-27;3755;2243;1512
2013-12-29;3756;2244;1512
2013-12-31;3758;2246;1512
2014-01-02;3770;2246;1524
2014-01-04;3773;2246;1527
2014-01-06;3782;2248;1534
2014-01-08;3782;2248;1534
2014-01-10;3784;2249;1535
2014-01-12;3788;2249;1539
2014-01-14;3796;2249;1547
2014-01-16;3806;2249;1557
2014-01-18;3808;2251;1557
2014-01-20;3808;2252;1556
2014-01-22;3819;2252;1567
2014-01-24;3821;2252;1569
2014-01-26;3824;2251;1573
2014-01-28;3832;2251;1581
2014-01-30;3835;2251;1584
2014-02-01;3836;2252;1584
2014-02-03;3841;2252;1589
2014-02-05;3849;2253;1596
2014-02-07;3858;2253;1605
2014-02-09;3867;2254;1613
2014-02-11;3874;2254;1620
2014-02-13;3878;2254;1624
2014-02-15;3884;2255;1629
2014-02-17;3883;2255;1628
2014-02-19;3887;2255;1632
2014-02-21;3889;2254;1635
2014-02-23;3893;2253;1640
2014-02-25;3900;2253;1647
2014-02-27;3901;2253;1648
2014-03-01;3909;2253;1656
2014-03-03;3910;2254;1656
2014-03-05;3915;2254;1661
2014-03-07;3921;2255;1666
2014-03-09;3922;2256;1666
2014-03-11;3931;2257;1674
2014-03-13;3936;2257;1679
2014-03-15;3931;2257;1674
2014-03-17;3935;2255;1680
2014-03-19;3942;2256;1686
2014-03-21;3947;2256;1691
2014-03-23;3956;2256;1700
2014-03-25;3961;2255;1706
2014-03-27;3963;2255;1708
2014-03-29;3976;2256;1720
2014-03-31;3978;2257;1721
2014-04-02;3983;2257;1726
2014-04-04;3987;2257;1730
2014-04-06;3989;2256;1733
2014-04-08;3995;2256;1739
2014-04-10;4002;2256;1746
2014-04-12;4003;2255;1748
2014-04-14;4006;2255;1751
2014-04-16;4007;2255;1752
2014-04-18;4013;2256;1757
2014-04-20;4015;2254;1761
2014-04-22;4022;2256;1766
2014-04-24;4028;2256;1772
2014-04-26;4027;2256;1771
2014-04-28;4028;2256;1772
2014-04-30;4032;2257;1775
2014-05-02;4033;2256;1777
2014-05-04;4043;2257;1786
