date;followers;following;fans
2013-04-18;9141;0;9141
2013-04-19;9137;0;9137
2013-04-20;9131;0;9131
2013-04-21;9127;0;9127
2013-04-22;9128;0;9128
2013-04-23;9126;0;9126
2013-04-24;9124;0;9124
2013-04-25;9124;0;9124
2013-04-26;9122;0;9122
2013-04-27;9119;0;9119
2013-04-28;9116;0;9116
2013-04-29;9113;0;9113
2013-04-30;9111;0;9111
2013-05-01;9112;1;9111
2013-05-02;9107;1;9106
2013-05-03;9105;1;9104
2013-05-04;9101;1;9100
2013-05-05;9096;1;9095
2013-05-06;9097;1;9096
2013-05-07;9097;1;9096
2013-05-08;9097;1;9096
2013-05-09;9097;1;9096
2013-05-10;9094;1;9093
2013-05-11;9088;1;9087
2013-05-12;9083;1;9082
2013-05-13;9080;1;9079
2013-05-14;9078;1;9077
2013-05-15;9081;1;9080
2013-05-16;9078;1;9077
2013-05-17;9077;1;9076
2013-05-18;9078;1;9077
2013-05-19;9076;1;9075
2013-05-20;9076;1;9075
2013-05-21;9074;1;9073
2013-05-22;9069;1;9068
2013-05-23;9063;1;9062
2013-05-24;9059;1;9058
2013-05-25;9060;1;9059
2013-05-26;9061;1;9060
2013-05-27;9059;1;9058
2013-05-28;9057;1;9056
2013-05-29;9057;1;9056
2013-05-30;9054;1;9053
2013-05-31;9053;1;9052
2013-06-01;9052;1;9051
2013-06-02;9050;1;9049
2013-06-03;9047;1;9046
2013-06-04;9042;1;9041
2013-06-05;9038;1;9037
2013-06-06;9040;1;9039
2013-06-07;9037;1;9036
2013-06-08;9034;1;9033
2013-06-09;9032;1;9031
2013-06-10;9031;1;9030
2013-06-11;9025;1;9024
2013-06-20;9005;1;9004
2013-06-21;9002;1;9001
2013-06-22;9000;1;8999
2013-06-23;8997;1;8996
2013-06-24;8995;1;8994
2013-06-25;8992;1;8991
2013-06-26;8992;1;8991
2013-06-27;8991;1;8990
2013-06-28;8991;1;8990
2013-06-29;8988;1;8987
2013-06-30;8988;1;8987
2013-07-02;8986;1;8985
2013-07-03;8984;1;8983
2013-07-04;8984;1;8983
2013-07-05;8982;1;8981
2013-07-06;8981;1;8980
2013-07-07;8980;1;8979
2013-07-08;8979;1;8978
2013-07-10;8972;1;8971
2013-07-11;8969;1;8968
2013-07-12;8969;1;8968
2013-07-13;8969;1;8968
2013-07-14;8968;1;8967
2013-07-15;8965;1;8964
2013-07-16;8961;1;8960
2013-07-17;8958;1;8957
2013-07-18;8957;1;8956
2013-07-19;8958;1;8957
2013-07-20;8956;1;8955
2013-07-21;8953;1;8952
2013-07-22;8953;1;8952
2013-07-23;8950;1;8949
2013-07-24;8947;1;8946
2013-07-25;8948;1;8947
2013-07-26;8946;1;8945
2013-07-27;8941;1;8940
2013-07-28;8939;1;8938
2013-07-29;8933;1;8932
2013-07-30;8930;1;8929
2013-07-31;8929;1;8928
2013-08-01;8926;1;8925
2013-08-02;8926;1;8925
2013-08-03;8925;1;8924
2013-08-04;8923;1;8922
2013-08-05;8924;1;8923
2013-08-06;8921;1;8920
2013-08-07;8918;1;8917
2013-08-08;8917;1;8916
2013-08-09;8916;1;8915
2013-08-10;8914;1;8913
2013-08-11;8914;1;8913
2013-08-12;8914;1;8913
2013-08-13;8910;1;8909
2013-08-14;8909;1;8908
2013-08-15;8907;1;8906
2013-08-16;8906;1;8905
2013-08-17;8904;1;8903
2013-08-18;8901;1;8900
2013-08-19;8901;1;8900
2013-08-20;8897;1;8896
2013-08-21;8895;1;8894
2013-08-22;8894;1;8893
2013-08-23;8889;1;8888
2013-08-24;8888;1;8887
2013-08-25;8886;1;8885
2013-08-26;8883;1;8882
2013-08-27;8881;1;8880
2013-08-28;8879;1;8878
2013-08-29;8874;1;8873
2013-08-30;8874;1;8873
2013-08-31;8873;1;8872
2013-09-01;8871;1;8870
2013-09-02;8868;1;8867
2013-09-03;8865;1;8864
2013-09-04;8861;1;8860
2013-09-05;8860;1;8859
2013-09-06;8860;1;8859
2013-09-07;8858;1;8857
2013-09-08;8856;1;8855
2013-09-09;8856;0;8856
2013-09-10;8855;0;8855
2013-09-11;8853;0;8853
2013-09-12;8850;0;8850
2013-09-13;8848;0;8848
2013-09-14;8841;0;8841
2013-09-15;8837;0;8837
2013-09-16;8835;0;8835
2013-09-17;8835;0;8835
2013-09-18;8832;0;8832
2013-09-19;8829;0;8829
2013-09-20;8822;0;8822
2013-09-21;8820;0;8820
2013-09-22;8815;0;8815
2013-09-23;8814;0;8814
2013-09-24;8812;0;8812
2013-09-25;8807;0;8807
2013-09-26;8806;0;8806
2013-09-27;8802;0;8802
2013-09-28;8799;0;8799
2013-09-29;8798;0;8798
2013-10-01;8794;0;8794
2013-10-02;8790;0;8790
2013-10-03;8786;0;8786
2013-10-04;8786;0;8786
2013-10-05;8784;0;8784
2013-10-06;8783;0;8783
2013-10-07;8782;0;8782
