date;followers;following;fans
2013-04-18;8327;80;8247
2013-04-20;8366;80;8286
2013-04-22;8463;80;8383
2013-04-23;8501;80;8421
2013-04-25;8526;80;8446
2013-04-26;8546;80;8466
2013-04-27;8554;80;8474
2013-04-28;8587;80;8507
2013-04-29;8628;80;8548
2013-05-01;8679;80;8599
2013-05-02;8705;80;8625
2013-05-03;8718;80;8638
2013-05-04;8773;80;8693
2013-05-06;8805;80;8725
2013-05-07;8829;80;8749
2013-05-08;8850;80;8770
2013-05-09;8876;80;8796
2013-05-11;8927;80;8847
2013-05-12;8973;80;8893
2013-05-13;9026;80;8946
2013-05-14;9046;80;8966
2013-05-15;9054;80;8974
2013-05-16;9071;80;8991
2013-05-17;9090;80;9010
2013-05-18;9117;80;9037
2013-05-19;9136;80;9056
2013-05-20;9159;80;9079
2013-05-21;9182;80;9102
2013-05-22;9210;80;9130
2013-05-23;9226;80;9146
2013-05-24;9243;80;9163
2013-05-25;9258;80;9178
2013-05-26;9286;80;9206
2013-05-27;9300;80;9220
2013-05-28;9315;80;9235
2013-05-29;9328;80;9248
2013-05-30;9351;80;9271
2013-05-31;9365;80;9285
2013-06-01;9379;80;9299
2013-06-02;9389;80;9309
2013-06-03;9391;80;9311
2013-06-04;9400;80;9320
2013-06-05;9412;80;9332
2013-06-06;9419;80;9339
2013-06-07;9429;80;9349
2013-06-08;9434;80;9354
2013-06-09;9452;80;9372
2013-06-10;9468;80;9388
2013-06-11;9483;80;9403
2013-06-20;9563;80;9483
2013-06-21;9574;80;9494
2013-06-22;9589;80;9509
2013-06-23;9601;82;9519
2013-06-24;9596;82;9514
2013-06-25;9607;82;9525
2013-06-26;9618;82;9536
2013-06-27;9621;82;9539
2013-06-28;9632;82;9550
2013-06-29;9638;82;9556
2013-06-30;9656;82;9574
2013-07-02;9671;82;9589
2013-07-03;9672;82;9590
2013-07-04;9686;82;9604
2013-07-05;9692;82;9610
2013-07-06;9696;82;9614
2013-07-07;9710;82;9628
2013-07-08;9725;82;9643
2013-07-10;9739;82;9657
2013-07-11;9741;82;9659
2013-07-12;9753;82;9671
2013-07-13;9761;82;9679
2013-07-14;9766;82;9684
2013-07-15;9780;82;9698
2013-07-16;9779;82;9697
2013-07-17;9786;82;9704
2013-07-18;9788;82;9706
2013-07-19;9793;82;9711
2013-07-20;9800;82;9718
2013-07-21;9807;82;9725
2013-07-22;9807;82;9725
2013-07-23;9811;82;9729
2013-07-24;9810;82;9728
2013-07-25;9812;81;9731
2013-07-26;9812;81;9731
2013-07-27;9817;82;9735
2013-07-28;9827;82;9745
2013-07-29;9832;82;9750
2013-07-30;9845;82;9763
2013-07-31;9849;82;9767
2013-08-01;9857;82;9775
2013-08-02;9862;83;9779
2013-08-03;9862;83;9779
2013-08-04;9868;82;9786
2013-08-05;9875;82;9793
2013-08-06;9886;82;9804
2013-08-07;9892;82;9810
2013-08-08;9900;82;9818
2013-08-09;9899;82;9817
2013-08-10;9900;82;9818
2013-08-11;9908;82;9826
2013-08-12;9913;82;9831
2013-08-13;9922;82;9840
2013-08-14;9930;82;9848
2013-08-15;9929;82;9847
2013-08-16;9930;82;9848
2013-08-17;9941;82;9859
2013-08-18;9941;82;9859
2013-08-19;9944;82;9862
2013-08-20;9953;81;9872
2013-08-21;9960;81;9879
2013-08-22;9960;81;9879
2013-08-23;9956;81;9875
2013-08-24;9957;81;9876
2013-08-25;9961;81;9880
2013-08-26;9964;81;9883
2013-08-27;9966;81;9885
2013-08-28;9965;81;9884
2013-08-29;9968;81;9887
2013-08-30;9973;81;9892
2013-08-31;9979;81;9898
2013-09-01;9987;81;9906
2013-09-02;9990;81;9909
2013-09-03;9987;81;9906
2013-09-04;9988;81;9907
2013-09-05;9995;81;9914
2013-09-06;9999;81;9918
2013-09-07;10000;81;9919
2013-09-08;9998;81;9917
2013-09-09;9996;81;9915
2013-09-10;9994;81;9913
2013-09-11;9997;81;9916
2013-09-12;9999;81;9918
2013-09-13;10006;81;9925
2013-09-14;10008;81;9927
2013-09-15;10009;81;9928
2013-09-16;10005;81;9924
2013-09-17;10012;81;9931
2013-09-18;10014;81;9933
2013-09-19;10015;81;9934
2013-09-20;10022;81;9941
2013-09-21;10023;81;9942
2013-09-22;10018;81;9937
2013-09-23;10022;81;9941
2013-09-24;10029;81;9948
2013-09-25;10024;81;9943
2013-09-26;10024;81;9943
2013-09-27;10028;81;9947
2013-09-28;10033;81;9952
2013-09-29;10031;81;9950
2013-10-01;10035;81;9954
2013-10-02;10035;81;9954
2013-10-03;10033;81;9952
2013-10-04;10036;81;9955
2013-10-05;10042;81;9961
2013-10-06;10054;81;9973
2013-10-07;10066;81;9985
2013-10-08;10066;81;9985
2013-10-09;10074;81;9993
2013-10-10;10089;81;10008
2013-10-11;10097;81;10016
2013-10-12;10100;81;10019
2013-10-13;10104;81;10023
2013-10-14;10107;81;10026
2013-10-15;10111;81;10030
2013-10-16;10118;81;10037
2013-10-17;10120;81;10039
2013-10-18;10127;81;10046
2013-10-19;10133;81;10052
2013-10-20;10140;81;10059
2013-10-21;10139;81;10058
2013-10-22;10138;81;10057
2013-10-23;10136;81;10055
2013-10-24;10140;81;10059
2013-10-25;10141;81;10060
2013-10-26;10148;81;10067
2013-10-27;10154;81;10073
2013-10-28;10160;82;10078
2013-10-29;10163;82;10081
2013-10-30;10162;82;10080
2013-10-31;10156;82;10074
2013-11-01;10159;82;10077
2013-11-02;10149;82;10067
2013-11-03;10151;82;10069
2013-11-04;10149;82;10067
2013-11-05;10144;82;10062
2013-11-06;10146;82;10064
2013-11-07;10146;82;10064
2013-11-08;10146;83;10063
2013-11-09;10147;83;10064
2013-11-10;10152;83;10069
2013-11-11;10159;83;10076
2013-11-12;10158;83;10075
2013-11-13;10157;83;10074
2013-11-14;10155;83;10072
2013-11-15;10156;83;10073
2013-11-16;10155;83;10072
2013-11-17;10151;83;10068
2013-11-18;10166;83;10083
2013-11-19;10170;83;10087
2013-11-20;10172;83;10089
2013-11-21;10175;83;10092
2013-11-22;10177;83;10094
2013-11-23;10175;83;10092
2013-11-24;10176;83;10093
2013-11-25;10183;83;10100
2013-11-26;10187;83;10104
2013-11-27;10186;83;10103
2013-11-28;10188;83;10105
