date;followers;following;fans
2014-03-04;1380;368;1012
2014-03-06;1395;368;1027
2014-03-08;1407;369;1038
2014-03-10;1432;373;1059
2014-03-12;1448;377;1071
2014-03-14;1459;378;1081
2014-03-16;1471;377;1094
2014-03-18;1474;367;1107
2014-03-20;1489;360;1129
2014-03-22;1501;362;1139
2014-03-24;1521;365;1156
2014-03-26;1523;366;1157
2014-03-28;1520;363;1157
2014-03-30;1521;361;1160
2014-04-01;1533;362;1171
2014-04-03;1542;362;1180
2014-04-05;1563;364;1199
2014-04-07;1572;359;1213
2014-04-09;1579;355;1224
2014-04-11;1593;354;1239
2014-04-13;1597;355;1242
2014-04-15;1604;357;1247
2014-04-17;1607;357;1250
2014-04-19;1619;357;1262
2014-04-21;1635;357;1278
2014-04-23;1649;357;1292
2014-04-25;1653;357;1296
2014-04-27;1657;357;1300
2014-04-29;1669;358;1311
2014-05-01;1677;357;1320
2014-05-03;1683;357;1326
2014-05-05;1714;356;1358
