date;followers;following;fans
2013-04-18;2380;97;2283
2013-04-20;2386;97;2289
2013-04-22;2390;97;2293
2013-04-24;2397;97;2300
2013-04-26;2397;97;2300
2013-04-28;2399;97;2302
2013-04-30;2403;97;2306
2013-05-02;2407;97;2310
2013-05-04;2416;97;2319
2013-05-06;2421;97;2324
2013-05-08;2421;97;2324
2013-05-10;2424;97;2327
2013-05-12;2422;97;2325
2013-05-14;2429;97;2332
2013-05-16;2436;97;2339
2013-05-18;2442;97;2345
2013-05-20;2449;97;2352
2013-05-22;2448;97;2351
2013-05-24;2454;97;2357
2013-05-26;2459;97;2362
2013-05-28;2466;97;2369
2013-05-30;2473;97;2376
2013-06-01;2477;97;2380
2013-06-03;2479;97;2382
2013-06-05;2482;97;2385
2013-06-07;2490;97;2393
2013-06-09;2495;97;2398
2013-06-11;2496;97;2399
2013-06-20;2509;98;2411
2013-06-22;2507;98;2409
2013-06-24;2508;98;2410
2013-06-26;2513;99;2414
2013-06-28;2514;99;2415
2013-06-30;2512;99;2413
2013-07-02;2513;99;2414
2013-07-04;2524;99;2425
2013-07-06;2527;99;2428
2013-07-08;2524;99;2425
2013-07-10;2528;99;2429
2013-07-12;2530;100;2430
2013-07-14;2529;100;2429
2013-07-16;2530;100;2430
2013-07-18;2534;100;2434
2013-07-20;2540;101;2439
2013-07-22;2544;101;2443
2013-07-24;2541;101;2440
2013-07-26;2545;101;2444
2013-07-28;2546;101;2445
2013-07-30;2544;101;2443
2013-08-01;2548;102;2446
2013-08-03;2551;102;2449
2013-08-05;2552;102;2450
2013-08-07;2557;102;2455
2013-08-09;2558;103;2455
2013-08-11;2561;103;2458
2013-08-13;2560;103;2457
2013-08-15;2565;103;2462
2013-08-17;2565;103;2462
2013-08-19;2565;103;2462
2013-08-21;2569;103;2466
2013-08-23;2575;103;2472
2013-08-25;2576;103;2473
2013-08-27;2576;103;2473
2013-08-29;2586;103;2483
2013-08-31;2586;103;2483
2013-09-02;2586;103;2483
2013-09-04;2594;104;2490
2013-09-06;2599;104;2495
2013-09-08;2603;105;2498
2013-09-10;2610;106;2504
2013-09-11;2614;106;2508
2013-09-12;2615;106;2509
2013-09-13;2614;106;2508
2013-09-14;2618;106;2512
2013-09-15;2621;106;2515
2013-09-17;2629;106;2523
2013-09-18;2628;106;2522
2013-09-19;2629;106;2523
2013-09-20;2633;106;2527
2013-09-21;2636;107;2529
2013-09-22;2639;107;2532
2013-09-24;2639;107;2532
2013-09-25;2640;107;2533
2013-09-26;2643;107;2536
2013-09-27;2648;107;2541
2013-09-28;2652;106;2546
2013-09-30;2651;106;2545
2013-10-01;2658;108;2550
2013-10-02;2661;108;2553
2013-10-03;2663;108;2555
2013-10-04;2665;108;2557
2013-10-06;2662;108;2554
2013-10-07;2666;108;2558
2013-10-08;2666;108;2558
2013-10-09;2674;108;2566
2013-10-10;2674;108;2566
2013-10-12;2681;108;2573
2013-10-13;2686;108;2578
2013-10-14;2688;108;2580
2013-10-15;2687;108;2579
2013-10-16;2690;110;2580
2013-10-17;2690;110;2580
2013-10-19;2685;110;2575
2013-10-20;2684;110;2574
2013-10-21;2684;110;2574
2013-10-22;2686;110;2576
2013-10-23;2692;111;2581
2013-10-25;2698;113;2585
2013-10-26;2699;113;2586
2013-10-27;2701;113;2588
2013-10-28;2702;113;2589
2013-10-29;2706;115;2591
2013-10-31;2708;115;2593
2013-11-01;2711;115;2596
2013-11-02;2713;115;2598
2013-11-03;2714;115;2599
2013-11-04;2719;115;2604
2013-11-06;2720;115;2605
2013-11-07;2721;115;2606
2013-11-08;2727;115;2612
2013-11-09;2726;115;2611
2013-11-11;2728;115;2613
2013-11-12;2727;115;2612
2013-11-13;2728;115;2613
2013-11-14;2726;115;2611
2013-11-16;2728;115;2613
