date;followers;following;fans
2013-04-18;12151;2305;9846
2013-04-19;12161;2305;9856
2013-04-20;12170;2321;9849
2013-04-21;12182;2320;9862
2013-04-22;12200;2320;9880
2013-04-23;12216;2320;9896
2013-04-24;12229;2334;9895
2013-04-25;12250;2334;9916
2013-04-26;12271;2335;9936
2013-04-27;12271;2336;9935
2013-04-28;12277;2335;9942
2013-04-29;12285;2336;9949
2013-04-30;12296;2350;9946
2013-05-01;12310;2358;9952
2013-05-02;12322;2358;9964
2013-05-03;12336;2371;9965
2013-05-04;12341;2374;9967
2013-05-05;12345;2374;9971
2013-05-06;12354;2374;9980
2013-05-07;12365;2374;9991
2013-05-08;12384;2374;10010
2013-05-09;12397;2374;10023
2013-05-10;12400;2372;10028
2013-05-11;12385;2367;10018
2013-05-12;12398;2368;10030
2013-05-13;12413;2368;10045
2013-05-14;12432;2393;10039
2013-05-15;12466;2398;10068
2013-05-16;12473;2401;10072
2013-05-17;12495;2401;10094
2013-05-18;12508;2402;10106
2013-05-19;12512;2402;10110
2013-05-20;12519;2402;10117
2013-05-21;12532;2402;10130
2013-05-22;12547;2418;10129
2013-05-23;12581;2418;10163
2013-05-24;12597;2429;10168
2013-05-25;12602;2429;10173
2013-05-26;12611;2428;10183
2013-05-27;12619;2428;10191
2013-05-28;12637;2428;10209
2013-05-29;12641;2438;10203
2013-05-30;12657;2441;10216
2013-05-31;12679;2442;10237
2013-06-01;12692;2442;10250
2013-06-02;12694;2442;10252
2013-06-03;12716;2442;10274
2013-06-04;12730;2442;10288
2013-06-05;12740;2442;10298
2013-06-06;12752;2442;10310
2013-06-07;12774;2442;10332
2013-06-08;12779;2443;10336
2013-06-09;12789;2443;10346
2013-06-10;12799;2443;10356
2013-06-11;12811;2443;10368
2013-06-20;12927;2465;10462
2013-06-21;12943;2475;10468
2013-06-22;12958;2480;10478
2013-06-23;12977;2481;10496
2013-06-24;12981;2481;10500
2013-06-25;12989;2498;10491
2013-06-26;12997;2506;10491
2013-06-27;13005;2518;10487
2013-06-28;13019;2528;10491
2013-06-29;13030;2545;10485
2013-06-30;13041;2546;10495
2013-07-01;13058;2559;10499
2013-07-02;13081;2573;10508
2013-07-03;13092;2576;10516
2013-07-04;13098;2582;10516
2013-07-05;13110;2582;10528
2013-07-06;13125;2582;10543
2013-07-07;13136;2580;10556
2013-07-08;13151;2580;10571
2013-07-09;13166;2580;10586
2013-07-10;13178;2580;10598
2013-07-11;13192;2597;10595
2013-07-12;13214;2610;10604
2013-07-13;13221;2621;10600
2013-07-14;13227;2620;10607
2013-07-15;13232;2620;10612
2013-07-16;13249;2660;10589
2013-07-17;13256;2667;10589
2013-07-18;13268;2682;10586
2013-07-19;13281;2699;10582
2013-07-20;13299;2697;10602
2013-07-21;13301;2696;10605
2013-07-22;13304;2696;10608
2013-07-23;13315;2721;10594
2013-07-24;13328;2722;10606
2013-07-25;13340;2723;10617
2013-07-26;13352;2723;10629
2013-07-27;13365;2740;10625
2013-07-28;13370;2740;10630
