date;followers;following;fans
2013-04-17;2144;115;2029
2013-04-20;2145;115;2030
2013-04-22;2154;115;2039
2013-04-24;2154;115;2039
2013-04-26;2155;115;2040
2013-04-28;2161;115;2046
2013-04-30;2162;115;2047
2013-05-02;2164;115;2049
2013-05-04;2169;115;2054
2013-05-06;2173;115;2058
2013-05-08;2174;115;2059
2013-05-10;2179;115;2064
2013-05-12;2181;115;2066
2013-05-14;2188;114;2074
2013-05-16;2188;114;2074
2013-05-18;2192;114;2078
2013-05-20;2196;114;2082
2013-05-22;2197;114;2083
2013-05-24;2195;113;2082
2013-05-26;2205;113;2092
2013-05-28;2217;113;2104
2013-05-30;2222;113;2109
2013-06-01;2233;113;2120
2013-06-03;2238;113;2125
2013-06-05;2246;113;2133
2013-06-07;2247;113;2134
2013-06-09;2249;113;2136
2013-06-11;2247;113;2134
2013-06-20;2259;112;2147
2013-06-22;2263;112;2151
2013-06-24;2274;112;2162
2013-06-26;2280;112;2168
2013-06-28;2285;112;2173
2013-06-30;2290;112;2178
2013-07-02;2296;112;2184
2013-07-04;2301;112;2189
2013-07-06;2309;112;2197
2013-07-08;2309;112;2197
2013-07-10;2317;112;2205
2013-07-12;2323;112;2211
2013-07-14;2328;112;2216
2013-07-16;2332;112;2220
2013-07-18;2336;112;2224
2013-07-20;2338;112;2226
2013-07-22;2347;112;2235
2013-07-24;2351;112;2239
2013-07-26;2355;112;2243
2013-07-28;2358;112;2246
2013-07-30;2360;112;2248
2013-08-01;2369;112;2257
2013-08-03;2370;112;2258
2013-08-05;2375;112;2263
2013-08-07;2380;112;2268
2013-08-09;2381;112;2269
2013-08-11;2389;112;2277
2013-08-13;2392;112;2280
2013-08-15;2400;112;2288
2013-08-17;2409;112;2297
2013-08-19;2413;112;2301
2013-08-21;2422;112;2310
2013-08-23;2426;112;2314
2013-08-25;2429;112;2317
2013-08-27;2432;112;2320
2013-08-29;2439;112;2327
2013-08-31;2439;112;2327
2013-09-02;2441;112;2329
2013-09-04;2446;112;2334
2013-09-06;2457;112;2345
2013-09-08;2460;112;2348
2013-09-10;2461;112;2349
2013-09-12;2469;112;2357
2013-09-14;2468;112;2356
2013-09-16;2475;112;2363
2013-09-18;2479;112;2367
2013-09-20;2487;112;2375
2013-09-22;2492;112;2380
2013-09-24;2500;112;2388
2013-09-26;2503;112;2391
2013-09-28;2505;112;2393
2013-09-30;2506;112;2394
2013-10-02;2511;112;2399
2013-10-04;2522;112;2410
2013-10-06;2530;112;2418
2013-10-08;2533;112;2421
2013-10-10;2544;112;2432
2013-10-12;2552;112;2440
2013-10-14;2562;112;2450
2013-10-16;2567;112;2455
2013-10-18;2575;112;2463
2013-10-20;2582;112;2470
2013-10-22;2589;112;2477
2013-10-24;2594;112;2482
2013-10-26;2595;112;2483
2013-10-28;2604;112;2492
2013-10-30;2610;112;2498
2013-11-01;2617;112;2505
2013-11-02;2621;112;2509
2013-11-03;2627;112;2515
2013-11-04;2631;112;2519
2013-11-05;2637;112;2525
2013-11-07;2642;112;2530
2013-11-08;2646;112;2534
2013-11-09;2646;112;2534
2013-11-10;2646;112;2534
2013-11-12;2654;112;2542
2013-11-13;2657;112;2545
2013-11-14;2662;112;2550
2013-11-15;2668;112;2556
2013-11-16;2676;112;2564
2013-11-18;2679;112;2567
2013-11-19;2681;112;2569
2013-11-20;2686;112;2574
2013-11-21;2688;112;2576
2013-11-22;2693;112;2581
2013-11-24;2697;112;2585
2013-11-25;2700;112;2588
2013-11-26;2701;112;2589
2013-11-27;2701;112;2589
2013-11-29;2702;112;2590
2013-11-30;2704;112;2592
2013-12-01;2707;112;2595
2013-12-02;2708;112;2596
2013-12-04;2712;112;2600
2013-12-05;2716;112;2604
2013-12-06;2716;112;2604
2013-12-07;2721;112;2609
2013-12-09;2723;112;2611
2013-12-10;2724;112;2612
2013-12-11;2725;112;2613
2013-12-12;2730;112;2618
2013-12-14;2732;112;2620
2013-12-15;2735;112;2623
2013-12-16;2738;112;2626
2013-12-17;2741;112;2629
2013-12-19;2743;112;2631
2013-12-20;2746;112;2634
2013-12-21;2746;112;2634
2013-12-22;2744;112;2632
2013-12-24;2744;112;2632
2013-12-25;2746;112;2634
2013-12-26;2747;112;2635
2013-12-27;2750;112;2638
2013-12-29;2754;112;2642
2013-12-30;2759;112;2647
2013-12-31;2762;112;2650
2014-01-02;2764;112;2652
2014-01-03;2767;112;2655
2014-01-04;2772;112;2660
2014-01-06;2772;112;2660
2014-01-07;2774;112;2662
2014-01-08;2775;112;2663
2014-01-09;2775;112;2663
2014-01-11;2782;112;2670
2014-01-12;2785;112;2673
2014-01-13;2788;112;2676
2014-01-14;2791;112;2679
2014-01-16;2795;112;2683
2014-01-17;2796;112;2684
2014-01-18;2799;112;2687
2014-01-20;2806;112;2694
2014-01-21;2812;112;2700
2014-01-22;2819;112;2707
2014-01-23;2822;112;2710
2014-01-25;2823;112;2711
2014-01-26;2830;112;2718
2014-01-27;2838;112;2726
2014-01-29;2841;112;2729
2014-01-31;2844;112;2732
2014-02-01;2848;112;2736
2014-02-02;2850;112;2738
2014-02-03;2858;112;2746
2014-02-05;2862;112;2750
2014-02-06;2862;112;2750
2014-02-07;2867;112;2755
2014-02-09;2873;112;2761
2014-02-10;2880;112;2768
2014-02-11;2880;112;2768
2014-02-12;2881;112;2769
2014-02-14;2883;112;2771
2014-02-15;2883;112;2771
2014-02-16;2887;112;2775
2014-02-17;2893;112;2781
2014-02-19;2898;112;2786
2014-02-20;2902;112;2790
2014-02-22;2909;112;2797
2014-02-23;2907;112;2795
2014-02-24;2912;112;2800
2014-02-26;2918;112;2806
2014-02-27;2917;112;2805
2014-02-28;2921;112;2809
2014-03-02;2925;112;2813
2014-03-03;2925;112;2813
2014-03-04;2926;112;2814
2014-03-06;2928;112;2816
2014-03-07;2932;112;2820
2014-03-08;2932;112;2820
2014-03-10;2935;112;2823
2014-03-11;2935;112;2823
2014-03-13;2941;112;2829
2014-03-14;2940;112;2828
2014-03-15;2941;112;2829
2014-03-17;2941;112;2829
2014-03-18;2945;112;2833
2014-03-19;2944;112;2832
2014-03-20;2949;112;2837
2014-03-22;2952;112;2840
2014-03-23;2952;112;2840
2014-03-24;2956;112;2844
2014-03-26;2958;112;2846
2014-03-27;2962;112;2850
2014-03-29;2962;112;2850
2014-03-30;2964;112;2852
2014-03-31;2969;112;2857
2014-04-02;2973;112;2861
2014-04-03;2975;112;2863
2014-04-04;2978;112;2866
2014-04-06;2981;112;2869
2014-04-07;2982;112;2870
2014-04-09;2987;112;2875
2014-04-10;2987;112;2875
2014-04-12;2990;112;2878
2014-04-13;2993;112;2881
2014-04-14;2995;112;2883
2014-04-16;2995;112;2883
2014-04-17;2995;112;2883
2014-04-18;3000;112;2888
2014-04-20;3003;112;2891
2014-04-21;3010;112;2898
2014-04-22;3010;112;2898
2014-04-24;3012;112;2900
2014-04-25;3016;112;2904
2014-04-26;3018;112;2906
2014-04-28;3016;112;2904
2014-04-29;3014;112;2902
2014-04-30;3017;112;2905
2014-05-02;3020;112;2908
2014-05-03;3019;112;2907
2014-05-04;3020;112;2908
2014-05-06;3023;112;2911
