date;followers;following;fans
2013-04-18;2520;1130;1390
2013-04-20;2522;1130;1392
2013-04-22;2523;1129;1394
2013-04-24;2531;1136;1395
2013-04-26;2534;1144;1390
2013-04-28;2539;1145;1394
2013-04-30;2537;1148;1389
2013-05-02;2536;1149;1387
2013-05-04;2537;1149;1388
2013-05-06;2536;1147;1389
2013-05-08;2542;1151;1391
2013-05-10;2544;1149;1395
2013-05-12;2546;1151;1395
2013-05-14;2546;1152;1394
2013-05-16;2549;1153;1396
2013-05-18;2556;1153;1403
2013-05-20;2559;1159;1400
2013-05-22;2556;1159;1397
2013-05-24;2554;1159;1395
2013-05-26;2560;1159;1401
2013-05-28;2561;1162;1399
2013-05-30;2563;1163;1400
2013-06-01;2562;1163;1399
2013-06-03;2569;1165;1404
2013-06-05;2570;1165;1405
2013-06-07;2572;1169;1403
2013-06-09;2569;1175;1394
2013-06-11;2564;1177;1387
2013-06-20;2565;1179;1386
2013-06-22;2573;1179;1394
2013-06-24;2574;1179;1395
2013-06-26;2579;1180;1399
2013-06-28;2584;1182;1402
2013-06-30;2580;1180;1400
2013-07-02;2584;1182;1402
2013-07-04;2588;1184;1404
2013-07-06;2588;1185;1403
2013-07-08;2591;1187;1404
2013-07-10;2596;1186;1410
2013-07-12;2605;1188;1417
2013-07-14;2604;1189;1415
2013-07-16;2607;1189;1418
2013-07-18;2611;1192;1419
2013-07-20;2606;1191;1415
2013-07-22;2611;1192;1419
2013-07-24;2609;1194;1415
2013-07-26;2622;1200;1422
2013-07-28;2628;1201;1427
2013-07-30;2636;1201;1435
2013-08-01;2632;1201;1431
2013-08-03;2635;1201;1434
2013-08-05;2640;1200;1440
2013-08-07;2640;1200;1440
2013-08-09;2644;1202;1442
2013-08-11;2646;1204;1442
2013-08-13;2650;1205;1445
2013-08-15;2656;1204;1452
2013-08-17;2663;1205;1458
2013-08-19;2675;1209;1466
2013-08-21;2683;1209;1474
2013-08-23;2689;1210;1479
2013-08-25;2697;1210;1487
2013-08-27;2699;1213;1486
2013-08-29;2704;1216;1488
2013-08-31;2703;1217;1486
