date;followers;following;fans
2013-04-17;45504;36;45468
2013-04-18;45562;37;45525
2013-04-19;45803;37;45766
2013-04-20;45921;33;45888
2013-04-21;46092;33;46059
2013-04-22;46278;34;46244
2013-04-23;46520;32;46488
2013-04-24;46681;30;46651
2013-04-25;46874;34;46840
2013-04-26;47051;38;47013
2013-04-27;47134;38;47096
2013-04-28;47041;39;47002
2013-04-29;47163;39;47124
2013-04-30;47545;38;47507
2013-05-01;47640;36;47604
2013-05-02;47781;38;47743
2013-05-03;47772;41;47731
2013-05-04;47849;39;47810
2013-05-05;47965;38;47927
2013-05-06;48081;37;48044
2013-05-07;48610;40;48570
2013-05-08;49150;37;49113
2013-05-09;49256;43;49213
2013-05-10;49747;48;49699
2013-05-11;50090;47;50043
2013-05-12;50575;49;50526
2013-05-13;51079;49;51030
2013-05-14;51109;52;51057
2013-05-15;50863;49;50814
2013-05-16;50653;51;50602
2013-05-17;50497;57;50440
2013-05-18;50343;57;50286
2013-05-19;50200;57;50143
2013-05-20;50083;54;50029
2013-05-21;49991;54;49937
2013-05-22;49900;51;49849
2013-05-23;49795;53;49742
2013-05-24;49733;41;49692
2013-05-25;49671;43;49628
2013-05-26;49585;44;49541
2013-05-27;49520;49;49471
2013-05-28;49426;51;49375
2013-05-29;49371;51;49320
2013-05-30;49294;49;49245
2013-05-31;49213;53;49160
2013-06-01;49075;58;49017
2013-06-02;49261;61;49200
2013-06-03;50421;61;50360
2013-06-04;51092;61;51031
2013-06-05;51806;63;51743
2013-06-06;52520;65;52455
2013-06-07;52934;71;52863
2013-06-08;52444;73;52371
2013-06-09;52153;79;52074
2013-06-10;51937;78;51859
2013-06-11;51748;76;51672
2013-06-20;50815;79;50736
2013-06-21;50750;81;50669
2013-06-22;50669;75;50594
2013-06-23;50582;77;50505
2013-06-24;50514;83;50431
2013-06-25;50466;70;50396
2013-06-26;50398;70;50328
2013-06-27;50350;72;50278
2013-06-28;50285;74;50211
2013-06-29;50246;75;50171
2013-06-30;50172;69;50103
2013-07-01;50107;70;50037
2013-07-02;50050;74;49976
2013-07-03;50001;76;49925
2013-07-04;49957;78;49879
2013-07-05;49936;78;49858
2013-07-06;49883;79;49804
2013-07-07;49839;80;49759
2013-07-08;49798;74;49724
2013-07-09;49747;75;49672
2013-07-10;49693;78;49615
2013-07-11;49632;79;49553
2013-07-12;49577;80;49497
2013-07-13;49519;80;49439
2013-07-14;49474;82;49392
2013-07-15;49413;83;49330
2013-07-16;49372;86;49286
2013-07-17;49328;91;49237
2013-07-18;49274;92;49182
2013-07-19;49225;92;49133
2013-07-20;49190;92;49098
2013-07-21;49165;93;49072
2013-07-22;49103;94;49009
2013-07-23;49075;78;48997
2013-07-24;49030;80;48950
2013-07-25;49000;80;48920
