date;followers;following;fans
2014-02-17;7413;402;7011
2014-02-18;7415;402;7013
2014-02-19;7414;402;7012
2014-02-20;7416;402;7014
2014-02-21;7411;418;6993
2014-02-22;7413;418;6995
2014-02-23;7414;418;6996
2014-02-24;7416;418;6998
2014-02-25;7418;418;7000
2014-02-26;7423;465;6958
2014-02-27;7428;465;6963
2014-02-28;7429;465;6964
2014-03-01;7426;470;6956
2014-03-02;7426;470;6956
2014-03-03;7428;471;6957
2014-03-04;7429;471;6958
2014-03-05;7429;471;6958
2014-03-06;7430;471;6959
2014-03-07;7433;471;6962
2014-03-08;7436;484;6952
2014-03-09;7438;484;6954
2014-03-10;7437;484;6953
2014-03-11;7436;484;6952
2014-03-12;7439;484;6955
2014-03-13;7442;484;6958
2014-03-14;7442;484;6958
2014-03-15;7444;484;6960
2014-03-16;7445;484;6961
2014-03-17;7446;484;6962
2014-03-18;7444;484;6960
2014-03-19;7443;484;6959
2014-03-20;7442;484;6958
2014-03-21;7442;484;6958
2014-03-22;7442;484;6958
2014-03-23;7441;484;6957
2014-03-24;7440;484;6956
2014-03-25;7445;484;6961
2014-03-26;7450;484;6966
2014-03-27;7452;484;6968
2014-03-28;7455;484;6971
2014-03-29;7466;512;6954
2014-03-30;7465;512;6953
2014-03-31;7465;512;6953
2014-04-01;7466;526;6940
2014-04-02;7467;526;6941
2014-04-03;7468;526;6942
2014-04-04;7467;526;6941
2014-04-05;7465;526;6939
2014-04-06;7466;526;6940
2014-04-07;7468;526;6942
2014-04-08;7468;526;6942
2014-04-09;7466;526;6940
2014-04-10;7464;526;6938
2014-04-11;7466;526;6940
2014-04-12;7466;526;6940
2014-04-13;7464;533;6931
2014-04-14;7464;534;6930
2014-04-15;7463;534;6929
2014-04-16;7465;534;6931
2014-04-17;7467;534;6933
2014-04-18;7466;534;6932
2014-04-19;7466;534;6932
2014-04-20;7466;534;6932
2014-04-21;7465;534;6931
2014-04-22;7464;534;6930
2014-04-23;7464;534;6930
2014-04-24;7463;534;6929
2014-04-25;7462;534;6928
2014-04-26;7464;534;6930
2014-04-27;7465;549;6916
2014-04-28;7465;549;6916
2014-04-29;7464;549;6915
2014-04-30;7464;549;6915
2014-05-01;7463;549;6914
2014-05-02;7462;549;6913
2014-05-03;7463;549;6914
2014-05-04;7462;548;6914
2014-05-05;7463;548;6915
