date;followers;following;fans
2013-06-09;1067;65;1002
2013-06-11;1066;65;1001
2013-06-20;1068;64;1004
2013-06-22;1070;64;1006
2013-06-24;1072;64;1008
2013-06-26;1076;64;1012
2013-06-28;1086;64;1022
2013-06-30;1086;64;1022
2013-07-02;1087;64;1023
2013-07-04;1087;64;1023
2013-07-06;1090;64;1026
2013-07-08;1093;64;1029
2013-07-10;1095;64;1031
2013-07-12;1095;64;1031
2013-07-14;1096;64;1032
2013-07-16;1096;64;1032
2013-07-18;1097;64;1033
2013-07-20;1098;64;1034
2013-07-22;1100;64;1036
2013-07-24;1101;64;1037
2013-07-26;1103;64;1039
2013-07-28;1101;64;1037
2013-07-30;1098;64;1034
2013-08-01;1098;64;1034
2013-08-03;1100;64;1036
2013-08-05;1101;64;1037
2013-08-07;1102;64;1038
2013-08-09;1102;64;1038
2013-08-11;1101;64;1037
2013-08-13;1102;64;1038
2013-08-15;1104;64;1040
2013-08-17;1105;64;1041
2013-08-19;1107;64;1043
2013-08-21;1107;64;1043
2013-08-23;1106;64;1042
2013-08-25;1108;64;1044
2013-08-27;1112;64;1048
2013-08-29;1112;64;1048
2013-08-31;1112;64;1048
2013-09-02;1112;64;1048
2013-09-04;1111;64;1047
2013-09-06;1114;64;1050
2013-09-08;1114;64;1050
2013-09-10;1116;64;1052
2013-09-12;1119;64;1055
2013-09-14;1121;64;1057
2013-09-16;1126;64;1062
2013-09-18;1126;64;1062
2013-09-20;1130;64;1066
2013-09-22;1131;64;1067
2013-09-24;1135;63;1072
2013-09-26;1136;64;1072
2013-09-28;1139;64;1075
2013-09-30;1140;64;1076
2013-10-02;1141;64;1077
2013-10-04;1143;63;1080
2013-10-06;1145;63;1082
2013-10-08;1146;63;1083
2013-10-10;1147;63;1084
2013-10-12;1148;63;1085
2013-10-14;1152;63;1089
2013-10-16;1155;63;1092
2013-10-18;1156;63;1093
2013-10-20;1158;63;1095
2013-10-22;1158;63;1095
2013-10-24;1157;63;1094
2013-10-26;1157;63;1094
2013-10-28;1159;63;1096
2013-10-30;1157;63;1094
2013-11-01;1158;63;1095
2013-11-03;1161;63;1098
2013-11-05;1165;62;1103
2013-11-07;1175;64;1111
2013-11-09;1176;64;1112
2013-11-11;1176;64;1112
2013-11-13;1176;64;1112
2013-11-15;1176;64;1112
2013-11-17;1178;64;1114
2013-11-19;1181;64;1117
2013-11-21;1183;64;1119
2013-11-23;1185;64;1121
2013-11-25;1184;64;1120
2013-11-27;1184;64;1120
2013-11-29;1183;64;1119
2013-12-01;1183;64;1119
2013-12-03;1186;64;1122
2013-12-05;1187;64;1123
2013-12-07;1189;64;1125
2013-12-09;1188;65;1123
2013-12-11;1189;65;1124
2013-12-13;1190;65;1125
2013-12-15;1190;65;1125
2013-12-17;1190;65;1125
2013-12-19;1190;65;1125
2013-12-21;1193;65;1128
2013-12-23;1193;65;1128
2013-12-25;1194;65;1129
2013-12-27;1197;65;1132
2013-12-29;1196;65;1131
2013-12-31;1196;65;1131
2014-01-02;1198;65;1133
2014-01-04;1198;65;1133
2014-01-06;1198;65;1133
2014-01-08;1201;66;1135
2014-01-10;1202;66;1136
2014-01-12;1203;66;1137
2014-01-14;1204;66;1138
2014-01-16;1203;66;1137
2014-01-18;1205;66;1139
2014-01-20;1206;66;1140
2014-01-22;1203;66;1137
2014-01-24;1204;66;1138
2014-01-26;1206;66;1140
2014-01-28;1209;66;1143
2014-01-30;1209;66;1143
2014-02-01;1209;66;1143
2014-02-03;1210;66;1144
2014-02-05;1209;66;1143
2014-02-07;1211;66;1145
2014-02-09;1214;66;1148
2014-02-11;1215;66;1149
2014-02-13;1215;66;1149
2014-02-15;1214;66;1148
2014-02-17;1215;64;1151
2014-02-19;1213;66;1147
2014-02-21;1210;67;1143
2014-02-23;1211;67;1144
2014-02-25;1210;67;1143
2014-02-27;1211;67;1144
2014-03-01;1211;68;1143
2014-03-03;1210;68;1142
2014-03-05;1210;68;1142
2014-03-07;1211;68;1143
2014-03-09;1213;68;1145
2014-03-11;1213;68;1145
2014-03-13;1213;68;1145
2014-03-15;1216;68;1148
2014-03-17;1217;68;1149
2014-03-19;1221;68;1153
2014-03-21;1221;68;1153
2014-03-23;1223;68;1155
2014-03-25;1224;68;1156
2014-03-27;1227;68;1159
2014-03-29;1228;68;1160
2014-03-31;1228;68;1160
2014-04-02;1227;68;1159
2014-04-04;1227;68;1159
2014-04-06;1226;68;1158
2014-04-08;1227;67;1160
2014-04-10;1228;67;1161
2014-04-12;1227;67;1160
2014-04-14;1227;67;1160
2014-04-16;1228;67;1161
2014-04-18;1228;67;1161
2014-04-20;1229;67;1162
2014-04-22;1229;67;1162
2014-04-24;1229;67;1162
2014-04-26;1235;67;1168
2014-04-28;1238;67;1171
2014-04-30;1238;67;1171
2014-05-02;1241;68;1173
2014-05-04;1240;68;1172
