date;followers;following;fans
2013-04-17;2857;6;2851
2013-04-18;2866;6;2860
2013-04-19;2867;6;2861
2013-04-20;2869;6;2863
2013-04-21;2869;6;2863
2013-04-22;2877;6;2871
2013-04-23;2884;6;2878
2013-04-24;2886;6;2880
2013-04-25;2895;6;2889
2013-04-27;2901;6;2895
2013-04-28;2904;6;2898
2013-04-29;2909;6;2903
2013-04-30;2911;6;2905
2013-05-01;2917;6;2911
2013-05-02;2919;6;2913
2013-05-03;2923;6;2917
2013-05-04;2924;6;2918
2013-05-05;2930;7;2923
2013-05-06;2934;7;2927
2013-05-08;2936;7;2929
2013-05-09;2941;7;2934
2013-05-10;2940;7;2933
2013-05-11;2943;7;2936
2013-05-12;2948;7;2941
2013-05-13;2954;7;2947
2013-05-14;2958;7;2951
2013-05-15;2961;7;2954
2013-05-16;2967;7;2960
2013-05-18;2978;7;2971
2013-05-19;2981;7;2974
2013-05-20;2983;7;2976
2013-05-21;2986;7;2979
2013-05-22;2989;7;2982
2013-05-23;2994;7;2987
2013-05-24;3000;7;2993
2013-05-25;3006;7;2999
2013-05-26;3011;7;3004
2013-05-27;3015;7;3008
2013-05-29;3017;7;3010
2013-05-30;3017;7;3010
2013-05-31;3022;7;3015
2013-06-01;3028;7;3021
2013-06-02;3037;7;3030
2013-06-03;3037;7;3030
2013-06-04;3041;7;3034
2013-06-05;3039;7;3032
2013-06-07;3039;7;3032
2013-06-08;3041;7;3034
2013-06-09;3045;7;3038
2013-06-10;3049;7;3042
2013-06-11;3057;7;3050
2013-06-20;3093;7;3086
2013-06-21;3097;7;3090
2013-06-22;3105;7;3098
2013-06-23;3113;7;3106
2013-06-24;3125;7;3118
2013-06-26;3137;7;3130
2013-06-27;3141;7;3134
2013-06-28;3149;7;3142
2013-06-29;3154;7;3147
2013-06-30;3155;7;3148
2013-07-01;3161;7;3154
2013-07-02;3166;7;3159
2013-07-03;3183;7;3176
2013-07-05;3194;7;3187
2013-07-06;3196;7;3189
2013-07-07;3197;7;3190
2013-07-08;3204;7;3197
2013-07-09;3210;7;3203
2013-07-10;3211;7;3204
2013-07-11;3217;7;3210
2013-07-12;3221;7;3214
2013-07-13;3231;7;3224
2013-07-15;3236;7;3229
2013-07-16;3237;7;3230
2013-07-17;3244;7;3237
2013-07-18;3254;7;3247
2013-07-19;3260;7;3253
2013-07-20;3265;7;3258
2013-07-21;3269;7;3262
2013-07-22;3280;7;3273
2013-07-24;3286;7;3279
