date;followers;following;fans
2013-04-17;2192;308;1884
2013-04-20;2198;308;1890
2013-04-22;2201;308;1893
2013-04-24;2203;308;1895
2013-04-26;2204;308;1896
2013-04-28;2213;308;1905
2013-04-30;2214;308;1906
2013-05-02;2214;308;1906
2013-05-03;2218;308;1910
2013-05-06;2220;308;1912
2013-05-08;2228;308;1920
2013-05-09;2232;308;1924
2013-05-11;2228;308;1920
2013-05-14;2231;308;1923
2013-05-16;2241;308;1933
2013-05-18;2246;308;1938
2013-05-20;2249;308;1941
2013-05-22;2259;308;1951
2013-05-23;2262;308;1954
2013-05-26;2263;308;1955
2013-05-28;2267;308;1959
2013-05-30;2276;308;1968
2013-06-01;2280;307;1973
2013-06-03;2285;307;1978
2013-06-05;2285;307;1978
2013-06-06;2291;307;1984
2013-06-09;2297;307;1990
2013-06-11;2301;307;1994
2013-06-20;2310;305;2005
2013-06-22;2312;305;2007
2013-06-24;2315;305;2010
2013-06-26;2324;305;2019
2013-06-28;2327;305;2022
2013-06-30;2327;305;2022
2013-07-02;2328;305;2023
2013-07-04;2339;305;2034
2013-07-06;2342;305;2037
2013-07-08;2342;305;2037
2013-07-10;2342;305;2037
2013-07-12;2346;305;2041
2013-07-14;2347;305;2042
2013-07-16;2347;305;2042
2013-07-18;2352;304;2048
2013-07-20;2358;305;2053
2013-07-22;2360;305;2055
2013-07-24;2363;305;2058
2013-07-26;2368;305;2063
2013-07-28;2373;305;2068
2013-07-30;2380;305;2075
2013-08-01;2384;305;2079
2013-08-03;2387;305;2082
2013-08-05;2385;305;2080
2013-08-07;2384;304;2080
2013-08-09;2387;304;2083
2013-08-11;2387;304;2083
2013-08-13;2386;304;2082
2013-08-15;2386;304;2082
2013-08-17;2386;304;2082
2013-08-19;2389;304;2085
2013-08-21;2397;304;2093
2013-08-23;2397;304;2093
2013-08-25;2403;304;2099
2013-08-27;2406;304;2102
2013-08-29;2408;304;2104
2013-08-31;2413;304;2109
2013-09-02;2417;304;2113
2013-09-04;2419;304;2115
2013-09-06;2423;304;2119
2013-09-08;2430;304;2126
2013-09-10;2435;304;2131
2013-09-12;2442;304;2138
2013-09-14;2446;304;2142
2013-09-16;2452;304;2148
2013-09-18;2463;304;2159
2013-09-20;2468;304;2164
2013-09-22;2475;304;2171
2013-09-24;2474;304;2170
2013-09-26;2481;304;2177
2013-09-28;2484;304;2180
2013-09-29;2491;304;2187
2013-10-01;2492;303;2189
2013-10-03;2499;303;2196
2013-10-05;2505;303;2202
2013-10-07;2512;303;2209
2013-10-09;2527;303;2224
2013-10-11;2532;303;2229
2013-10-13;2535;303;2232
2013-10-15;2539;303;2236
2013-10-17;2543;303;2240
2013-10-19;2548;303;2245
2013-10-21;2549;303;2246
