date;followers;following;fans
2013-04-18;7821;755;7066
2013-04-19;7828;755;7073
2013-04-20;7836;755;7081
2013-04-21;7838;756;7082
2013-04-22;7842;756;7086
2013-04-23;7852;756;7096
2013-04-24;7848;756;7092
2013-04-25;7845;756;7089
2013-04-26;7849;756;7093
2013-04-27;7843;756;7087
2013-04-28;7850;756;7094
2013-04-29;7849;756;7093
2013-04-30;7852;756;7096
2013-05-01;7857;756;7101
2013-05-02;7856;756;7100
2013-05-03;7862;756;7106
2013-05-04;7866;756;7110
2013-05-05;7870;756;7114
2013-05-06;7867;756;7111
2013-05-07;7871;756;7115
2013-05-08;7865;756;7109
2013-05-09;7871;757;7114
2013-05-11;7882;757;7125
2013-05-12;7886;757;7129
2013-05-13;7885;757;7128
2013-05-14;7899;758;7141
2013-05-15;7928;758;7170
2013-05-16;7980;754;7226
2013-05-17;7994;754;7240
2013-05-18;8004;757;7247
2013-05-19;8001;757;7244
2013-05-20;8004;757;7247
2013-05-21;8005;757;7248
2013-05-22;8029;759;7270
2013-05-23;8040;759;7281
2013-05-24;8087;759;7328
2013-05-25;8148;759;7389
2013-05-26;8153;759;7394
2013-05-27;8154;759;7395
2013-05-28;8188;759;7429
2013-05-29;8209;760;7449
2013-05-30;8204;760;7444
2013-05-31;8212;760;7452
2013-06-01;8221;760;7461
2013-06-02;8225;760;7465
2013-06-03;8233;760;7473
2013-06-04;8235;760;7475
2013-06-05;8246;760;7486
2013-06-06;8261;760;7501
2013-06-07;8274;761;7513
2013-06-08;8274;762;7512
2013-06-09;8280;762;7518
2013-06-10;8276;762;7514
2013-06-11;8283;762;7521
2013-06-20;8319;766;7553
2013-06-21;8323;766;7557
2013-06-22;8322;766;7556
2013-06-23;8325;766;7559
2013-06-24;8331;766;7565
2013-06-25;8330;766;7564
2013-06-26;8334;766;7568
2013-06-27;8331;766;7565
2013-06-28;8330;766;7564
2013-06-29;8350;766;7584
2013-06-30;8346;766;7580
2013-07-02;8343;766;7577
2013-07-03;8343;766;7577
2013-07-04;8349;766;7583
2013-07-05;8344;767;7577
2013-07-06;8346;767;7579
2013-07-07;8345;767;7578
2013-07-08;8345;767;7578
2013-07-09;8349;767;7582
2013-07-11;8346;767;7579
2013-07-12;8346;767;7579
2013-07-13;8349;767;7582
2013-07-14;8347;767;7580
2013-07-15;8349;767;7582
2013-07-16;8347;767;7580
2013-07-17;8342;767;7575
2013-07-18;8342;767;7575
2013-07-19;8335;768;7567
2013-07-20;8345;768;7577
2013-07-21;8343;768;7575
2013-07-22;8344;768;7576
2013-07-23;8340;793;7547
2013-07-24;8339;793;7546
2013-07-25;8342;800;7542
2013-07-26;8346;803;7543
2013-07-27;8339;803;7536
2013-07-28;8340;803;7537
2013-07-29;8332;803;7529
2013-07-30;8339;804;7535
2013-07-31;8340;807;7533
2013-08-01;8338;808;7530
2013-08-03;8347;809;7538
2013-08-04;8341;809;7532
2013-08-05;8339;809;7530
2013-08-06;8339;809;7530
2013-08-07;8342;810;7532
2013-08-08;8352;810;7542
2013-08-09;8352;810;7542
2013-08-10;8349;810;7539
2013-08-11;8347;810;7537
2013-08-12;8345;810;7535
2013-08-13;8342;810;7532
2013-08-14;8352;810;7542
2013-08-15;8355;810;7545
2013-08-16;8359;810;7549
2013-08-17;8362;811;7551
2013-08-18;8368;811;7557
2013-08-19;8371;811;7560
2013-08-20;8379;812;7567
2013-08-21;8390;812;7578
2013-08-22;8395;812;7583
2013-08-23;8446;815;7631
2013-08-24;8456;815;7641
2013-08-25;8449;815;7634
2013-08-26;8473;815;7658
2013-08-27;8474;815;7659
2013-08-28;8498;816;7682
2013-08-29;8559;819;7740
2013-08-30;8618;820;7798
2013-08-31;8665;822;7843
2013-09-01;8678;822;7856
2013-09-02;8691;823;7868
2013-09-03;8754;823;7931
2013-09-04;8800;824;7976
2013-09-05;8950;826;8124
2013-09-06;9345;826;8519
2013-09-07;9370;826;8544
2013-09-08;9381;826;8555
2013-09-09;9838;826;9012
2013-09-10;9879;826;9053
2013-09-11;9888;826;9062
2013-09-12;9902;826;9076
2013-09-13;9966;834;9132
2013-09-14;10047;840;9207
2013-09-15;10075;840;9235
2013-09-16;10091;840;9251
2013-09-17;10094;840;9254
2013-09-18;10096;841;9255
2013-09-19;10085;841;9244
2013-09-20;10083;841;9242
2013-09-21;10091;842;9249
2013-09-22;10085;842;9243
2013-09-23;10083;842;9241
2013-09-24;10096;842;9254
2013-09-25;10087;842;9245
2013-09-26;10095;847;9248
2013-09-27;10096;848;9248
2013-09-28;10095;848;9247
2013-09-29;10092;848;9244
2013-10-01;10085;847;9238
2013-10-02;10079;847;9232
2013-10-03;10074;847;9227
2013-10-04;10078;847;9231
2013-10-05;10073;847;9226
2013-10-06;10077;847;9230
2013-10-07;10073;847;9226
2013-10-08;10067;850;9217
2013-10-09;10063;850;9213
2013-10-10;10060;850;9210
2013-10-11;10062;851;9211
2013-10-12;10069;851;9218
2013-10-13;10072;851;9221
2013-10-14;10073;851;9222
2013-10-15;10072;851;9221
2013-10-16;10083;853;9230
2013-10-17;10095;859;9236
2013-10-18;10107;879;9228
2013-10-19;10112;880;9232
2013-10-20;10114;880;9234
2013-10-21;10115;880;9235
2013-10-22;10114;891;9223
2013-10-23;10117;891;9226
2013-10-24;10109;891;9218
2013-10-25;10110;891;9219
2013-10-26;10108;895;9213
2013-10-27;10106;895;9211
2013-10-29;10100;894;9206
2013-10-30;10096;894;9202
2013-10-31;10098;894;9204
2013-11-01;10114;897;9217
2013-11-02;10110;897;9213
2013-11-03;10117;897;9220
2013-11-05;10121;898;9223
2013-11-06;10123;898;9225
