date;followers;following;fans
2013-04-18;1500;178;1322
2013-04-20;1501;178;1323
2013-04-22;1502;178;1324
2013-04-24;1508;178;1330
2013-04-26;1513;178;1335
2013-04-28;1516;178;1338
2013-04-30;1521;178;1343
2013-05-02;1524;178;1346
2013-05-04;1526;178;1348
2013-05-06;1528;178;1350
2013-05-08;1529;178;1351
2013-05-10;1533;178;1355
2013-05-12;1531;178;1353
2013-05-14;1533;178;1355
2013-05-16;1533;178;1355
2013-05-18;1534;178;1356
2013-05-20;1533;178;1355
2013-05-22;1537;178;1359
2013-05-24;1543;178;1365
2013-05-26;1545;178;1367
2013-05-28;1547;178;1369
2013-05-30;1547;178;1369
2013-06-01;1553;178;1375
2013-06-03;1553;178;1375
2013-06-05;1556;178;1378
2013-06-07;1558;179;1379
2013-06-09;1557;179;1378
2013-06-11;1556;179;1377
2013-06-20;1559;179;1380
2013-06-22;1559;179;1380
2013-06-24;1558;179;1379
2013-06-26;1567;179;1388
2013-06-28;1568;179;1389
2013-06-30;1568;179;1389
2013-07-02;1570;179;1391
2013-07-04;1567;179;1388
2013-07-06;1569;179;1390
2013-07-08;1571;183;1388
2013-07-10;1570;183;1387
2013-07-12;1572;183;1389
2013-07-14;1575;183;1392
2013-07-16;1576;183;1393
2013-07-18;1577;183;1394
2013-07-20;1581;183;1398
2013-07-22;1583;183;1400
2013-07-24;1581;183;1398
2013-07-26;1586;182;1404
2013-07-28;1583;182;1401
2013-07-30;1590;182;1408
2013-08-01;1587;182;1405
2013-08-03;1587;182;1405
2013-08-05;1588;182;1406
2013-08-07;1591;182;1409
2013-08-09;1591;182;1409
2013-08-11;1592;182;1410
2013-08-13;1593;182;1411
2013-08-15;1592;182;1410
2013-08-17;1596;182;1414
2013-08-19;1596;182;1414
2013-08-21;1600;183;1417
2013-08-23;1601;183;1418
2013-08-25;1604;183;1421
2013-08-27;1603;183;1420
2013-08-29;1602;183;1419
2013-08-31;1604;183;1421
2013-09-02;1607;183;1424
2013-09-04;1610;183;1427
2013-09-06;1611;183;1428
2013-09-08;1614;183;1431
2013-09-10;1618;183;1435
2013-09-12;1620;183;1437
2013-09-14;1618;183;1435
2013-09-16;1623;183;1440
2013-09-18;1629;183;1446
2013-09-20;1631;183;1448
2013-09-22;1635;183;1452
2013-09-24;1639;183;1456
2013-09-26;1638;183;1455
2013-09-28;1638;183;1455
2013-09-29;1639;183;1456
2013-10-02;1641;183;1458
2013-10-04;1641;183;1458
2013-10-06;1644;183;1461
2013-10-08;1641;183;1458
2013-10-10;1645;183;1462
2013-10-12;1643;183;1460
2013-10-14;1648;183;1465
2013-10-16;1648;183;1465
2013-10-18;1649;183;1466
2013-10-20;1650;183;1467
2013-10-22;1650;183;1467
2013-10-24;1651;183;1468
2013-10-26;1654;184;1470
2013-10-28;1652;184;1468
2013-10-30;1654;184;1470
2013-11-01;1656;184;1472
2013-11-03;1656;184;1472
2013-11-05;1656;184;1472
2013-11-07;1660;184;1476
2013-11-09;1663;184;1479
2013-11-10;1663;184;1479
2013-11-12;1666;184;1482
2013-11-15;1675;184;1491
2013-11-17;1679;184;1495
2013-11-19;1681;184;1497
2013-11-21;1684;184;1500
2013-11-23;1684;184;1500
2013-11-25;1685;184;1501
2013-11-27;1688;184;1504
2013-11-29;1692;184;1508
2013-12-01;1692;184;1508
2013-12-03;1693;184;1509
2013-12-05;1694;184;1510
2013-12-07;1696;184;1512
2013-12-08;1699;184;1515
2013-12-11;1701;184;1517
2013-12-13;1703;184;1519
2013-12-15;1704;184;1520
2013-12-17;1745;184;1561
2013-12-19;1759;184;1575
2013-12-21;1759;184;1575
2013-12-23;1759;184;1575
2013-12-24;1760;184;1576
2013-12-27;1757;184;1573
2013-12-29;1756;184;1572
2013-12-31;1759;184;1575
2014-01-02;1764;184;1580
2014-01-04;1769;184;1585
2014-01-06;1768;184;1584
2014-01-08;1772;184;1588
2014-01-10;1774;184;1590
2014-01-12;1777;184;1593
2014-01-14;1778;184;1594
2014-01-16;1778;184;1594
2014-01-18;1796;186;1610
2014-01-20;1799;186;1613
2014-01-22;1802;186;1616
2014-01-24;1806;186;1620
2014-01-26;1813;186;1627
2014-01-28;1815;186;1629
2014-01-30;1816;186;1630
2014-02-01;1819;193;1626
2014-02-03;1817;193;1624
2014-02-05;1821;193;1628
2014-02-07;1828;193;1635
2014-02-09;1831;193;1638
2014-02-11;1833;193;1640
2014-02-13;1837;193;1644
2014-02-15;1838;193;1645
2014-02-17;1841;193;1648
2014-02-19;1838;193;1645
2014-02-21;1844;193;1651
2014-02-23;1845;193;1652
2014-02-25;1844;193;1651
2014-02-27;1844;193;1651
2014-03-01;1843;193;1650
2014-03-03;1842;193;1649
2014-03-05;1847;193;1654
2014-03-07;1851;193;1658
2014-03-09;1852;193;1659
2014-03-11;1854;193;1661
2014-03-13;1854;193;1661
2014-03-15;1855;200;1655
2014-03-17;1855;201;1654
2014-03-19;1858;201;1657
2014-03-21;1859;201;1658
2014-03-23;1860;201;1659
2014-03-25;1860;201;1659
2014-03-27;1866;201;1665
2014-03-29;1868;201;1667
2014-03-31;1870;201;1669
2014-04-02;1871;201;1670
2014-04-04;1876;202;1674
2014-04-06;1877;202;1675
2014-04-08;1882;202;1680
2014-04-10;1883;203;1680
2014-04-12;1884;203;1681
2014-04-14;1885;203;1682
2014-04-16;1887;205;1682
2014-04-18;1889;205;1684
2014-04-20;1889;205;1684
2014-04-22;1890;205;1685
2014-04-24;1893;205;1688
2014-04-26;1895;205;1690
2014-04-28;1899;205;1694
2014-04-30;1899;205;1694
2014-05-02;1901;205;1696
2014-05-04;1904;205;1699
