date;followers;following;fans
2013-09-25;1379;162;1217
2013-09-27;1392;163;1229
2013-09-29;1407;164;1243
2013-10-01;1420;163;1257
2013-10-03;1439;163;1276
2013-10-05;1452;163;1289
2013-10-07;1475;163;1312
2013-10-09;1492;163;1329
2013-10-11;1502;165;1337
2013-10-13;1509;165;1344
2013-10-15;1520;167;1353
2013-10-17;1544;167;1377
2013-10-19;1554;168;1386
2013-10-21;1559;169;1390
2013-10-23;1564;169;1395
2013-10-25;1572;174;1398
2013-10-27;1585;175;1410
2013-10-29;1588;175;1413
2013-10-31;1596;176;1420
2013-11-02;1604;176;1428
2013-11-04;1623;178;1445
2013-11-06;1637;179;1458
2013-11-08;1654;181;1473
2013-11-10;1676;181;1495
2013-11-12;1714;182;1532
2013-11-14;1734;183;1551
2013-11-16;1759;179;1580
2013-11-18;1804;180;1624
2013-11-20;1886;180;1706
2013-11-22;1925;181;1744
2013-11-24;1956;184;1772
2013-11-26;1998;184;1814
2013-11-28;2037;184;1853
2013-11-30;2071;185;1886
2013-12-02;2105;185;1920
2013-12-04;2131;185;1946
2013-12-06;2154;186;1968
2013-12-08;2194;186;2008
2013-12-10;2227;186;2041
2013-12-12;2229;189;2040
2013-12-14;2246;192;2054
2013-12-16;2271;192;2079
2013-12-18;2296;192;2104
2013-12-20;2311;192;2119
2013-12-22;2344;194;2150
2013-12-24;2368;194;2174
2013-12-26;2388;192;2196
2013-12-28;2416;194;2222
2013-12-30;2427;194;2233
2014-01-01;2469;194;2275
2014-01-03;2504;194;2310
2014-01-05;2525;194;2331
2014-01-07;2553;193;2360
2014-01-09;2576;193;2383
2014-01-11;2593;193;2400
2014-01-13;2623;193;2430
2014-01-15;2634;194;2440
2014-01-17;2652;198;2454
2014-01-19;2680;199;2481
2014-01-21;2742;203;2539
2014-01-22;2753;204;2549
2014-01-23;2764;205;2559
2014-01-24;2805;208;2597
2014-01-26;2834;208;2626
2014-01-27;2860;208;2652
2014-01-28;2892;207;2685
2014-01-30;2915;207;2708
2014-01-31;2930;207;2723
2014-02-01;2976;208;2768
2014-02-03;2990;208;2782
2014-02-04;3015;210;2805
2014-02-05;3047;210;2837
2014-02-07;3066;211;2855
2014-02-08;3077;211;2866
2014-02-09;3105;211;2894
2014-02-11;3115;215;2900
2014-02-12;3120;215;2905
2014-02-13;3146;215;2931
2014-02-15;3166;215;2951
2014-02-16;3189;215;2974
2014-02-17;3193;216;2977
2014-02-19;3220;216;3004
2014-02-20;3235;217;3018
2014-02-21;3244;217;3027
2014-02-23;3262;216;3046
2014-02-24;3281;216;3065
2014-02-25;3301;216;3085
2014-02-26;3322;216;3106
2014-02-28;3332;219;3113
2014-03-01;3334;219;3115
2014-03-03;3349;219;3130
2014-03-04;3367;221;3146
2014-03-05;3392;221;3171
2014-03-06;3418;221;3197
2014-03-08;3438;221;3217
2014-03-09;3445;221;3224
2014-03-11;3461;221;3240
2014-03-12;3476;221;3255
2014-03-13;3504;221;3283
2014-03-15;3518;221;3297
2014-03-16;3530;221;3309
2014-03-17;3576;224;3352
2014-03-19;3605;224;3381
2014-03-20;3619;224;3395
2014-03-21;3632;224;3408
2014-03-23;3650;225;3425
2014-03-24;3663;226;3437
2014-03-25;3678;226;3452
2014-03-27;3695;226;3469
2014-03-28;3707;226;3481
2014-03-29;3716;226;3490
2014-03-31;3737;226;3511
2014-04-01;3746;226;3520
2014-04-02;3759;226;3533
2014-04-04;3776;225;3551
2014-04-05;3780;226;3554
2014-04-06;3790;226;3564
2014-04-08;3805;226;3579
2014-04-09;3811;226;3585
2014-04-11;3823;226;3597
2014-04-12;3834;226;3608
2014-04-13;3842;226;3616
2014-04-15;3851;226;3625
2014-04-16;3865;230;3635
2014-04-18;3881;231;3650
2014-04-19;3890;231;3659
2014-04-20;3897;231;3666
2014-04-22;3913;231;3682
2014-04-23;3925;231;3694
2014-04-24;3927;232;3695
2014-04-26;3943;232;3711
2014-04-27;3950;232;3718
2014-04-28;3968;232;3736
2014-04-30;3976;232;3744
2014-05-01;3980;232;3748
2014-05-03;4002;232;3770
2014-05-04;4011;232;3779
2014-05-05;4041;233;3808
