date;followers;following;fans
2013-04-18;1321;311;1010
2013-04-20;1322;311;1011
2013-04-22;1321;311;1010
2013-04-24;1320;311;1009
2013-04-26;1320;311;1009
2013-04-28;1322;311;1011
2013-04-30;1324;311;1013
2013-05-02;1322;310;1012
2013-05-04;1321;310;1011
2013-05-06;1322;310;1012
2013-05-08;1323;311;1012
2013-05-10;1323;310;1013
2013-05-12;1315;310;1005
2013-05-14;1315;310;1005
2013-05-16;1318;310;1008
2013-05-18;1320;310;1010
2013-05-20;1320;310;1010
2013-05-22;1319;310;1009
2013-05-24;1317;310;1007
2013-05-26;1317;310;1007
2013-05-28;1318;310;1008
2013-05-30;1315;310;1005
2013-06-01;1315;310;1005
2013-06-03;1317;310;1007
2013-06-05;1317;310;1007
2013-06-07;1318;310;1008
2013-06-09;1318;310;1008
2013-06-11;1319;311;1008
2013-06-20;1321;311;1010
2013-06-22;1320;312;1008
2013-06-24;1317;311;1006
2013-06-26;1315;311;1004
2013-06-28;1315;311;1004
2013-06-30;1315;311;1004
2013-07-02;1315;311;1004
2013-07-04;1315;311;1004
2013-07-06;1315;311;1004
2013-07-08;1315;311;1004
2013-07-10;1315;311;1004
2013-07-12;1314;311;1003
2013-07-14;1314;310;1004
2013-07-16;1315;311;1004
2013-07-18;1315;314;1001
2013-07-24;1314;314;1000
2013-08-18;1314;314;1000
